產線編號,產線名稱,可生產料號類型,日產能(件),目前稼動率(%),目前在製品,備註
LINE-A1,冷鍛 A1 線(M6),M6 系列,18000,82,PO-2026-0805,主力 M6 產線
LINE-A2,冷鍛 A2 線(M8),M8 系列,15000,90,PO-2026-0801,稼動率偏高
LINE-A3,冷鍛 A3 線(M10),M10 系列,12000,75,PO-2026-0803,
LINE-A4,冷鍛 A4 線(M12),M12 系列,8000,68,PO-2026-0806,
LINE-B1,熱處理 B1 線,M6-M10 滲碳,10000,95,PO-2026-0811,瓶頸產線
LINE-B2,熱處理 B2 線,M10-M12 淬火,8000,80,PO-2026-0814,
LINE-C1,表面處理 C1 線(白鋅),全系列 鍍白鋅,30000,70,委外為主,
LINE-C2,表面處理 C2 線(達克羅),全系列 達克羅,15000,85,PO-2026-0807,
LINE-D1,SUS 不鏽鋼 D1 線,M6-M10 SUS304/316,8000,60,PO-2026-0812,
LINE-D2,SUS 不鏽鋼 D2 線,M6-M8 SUS304,6000,55,PO-2026-0818,
LINE-E1,包裝 E1 線(小包),M6-M8 小包裝,40000,72,日常輪轉,
LINE-E2,包裝 E2 線(大包),M10-M12 大包裝,30000,65,日常輪轉,
