產品系列,型號,測量對象,感測原理,量程,輸出訊號,防爆認證,IP等級,適用溫度(°C),適用壓力(MPa),連接規格,參考售價(NTD)
料位開關,FTE-100-A,液體,音叉式,N/A,PNP/NPN開關,ATEX Zone1,IP67,-40~100,0~0.5,G3/4,3800
料位開關,FTE-200-B,固體粉末,音叉式,N/A,繼電器,IECEx Zone1,IP67,-40~120,0~0.3,G1,4200
料位開關,FTM-100,液體,磁浮球式,0~3m,PNP開關,N/A,IP65,-20~80,0~1.0,G1/2,1800
液位感測器,FTG-200,液體,導波雷達,0~20m,4-20mA HART,ATEX Zone1,IP68,-40~150,0~4.0,G1.5,28000
液位感測器,FTU-100,液體,超音波,0.3~5m,4-20mA,N/A,IP67,-20~60,N/A,G1,6500
流量計,FFM-100,液體,電磁式,DN25~DN300,4-20mA Modbus,N/A,IP68,-10~60,1.0,法蘭PN16,35000
流量計,FFU-200,液體/氣體,超音波,DN50~DN500,4-20mA RS485,N/A,IP67,-20~80,1.6,夾管式,42000
溫濕度,FTH-100,溫濕度,電容式,T:-20~60 RH:0~100%,RS485 Modbus,N/A,IP65,-20~60,N/A,M20,1200
壓力感測器,FTP-100,液體/氣體,壓電式,0~10 bar,4-20mA,N/A,IP67,-20~85,N/A,G1/4,2800
壓力感測器,FTP-200,液體,壓電式,0~40 bar,4-20mA HART,ATEX Zone2,IP67,-40~100,N/A,G1/2,4500
