母件料號,母件品名,子件料號,子件品名,用量,單位,替代料號,備注
FTE-100-A,音叉料位開關-液體型A,FTE-100-A-FORK,音叉振動組件,1,PC,,
FTE-100-A,音叉料位開關-液體型A,FTE-100-A-PCB,控制電路板,1,PC,FTE-100-A-PCB-R2,
FTE-100-A,音叉料位開關-液體型A,FTE-100-A-CONN,M12防水接頭,1,PC,,
FTE-100-A,音叉料位開關-液體型A,FTE-100-A-HSG,不鏽鋼304外殼,1,PC,,
FTE-100-A,音叉料位開關-液體型A,FTE-100-A-OTP,PE防護蓋,1,PC,,
FTG-200,導波雷達液位計,FTG-200-ANT,導波天線組件,1,PC,,
FTG-200,導波雷達液位計,FTG-200-PCB-M,主控電路板,1,PC,,
FTG-200,導波雷達液位計,FTG-200-PCB-P,電源電路板,1,PC,,
FTG-200,導波雷達液位計,FTG-200-LCD,液晶顯示模組,1,PC,,
FTG-200,導波雷達液位計,FTG-200-HSG-SS316,不鏽鋼316外殼,1,PC,,
FTG-200,導波雷達液位計,FTG-200-SEAL-V,Viton O環,3,PC,FTG-200-SEAL-E,
FFM-100,電磁流量計DN50,FFM-100-COIL,勵磁線圈組,1,SET,,
FFM-100,電磁流量計DN50,FFM-100-ELEC,測量電極對,1,SET,,
FFM-100,電磁流量計DN50,FFM-100-LINING-T,PTFE內襯,1,PC,FFM-100-LINING-E,
FFM-100,電磁流量計DN50,FFM-100-CONV,訊號轉換器,1,PC,,
