種類,英文,中文
褲,POCKET,口袋
褲,INSIDE POCKET,內口袋
褲,POCKET BAG,袋布
褲,POCKET BAG HEIGHT ,口袋高
褲,POCKET BAG WIDTH,口袋寬
褲,POCKET HEM HEIGHT,口袋反折高
褲,POCKET OPENING WIDTH,袋口寬
褲,POCKET OPENING LENGTH,袋口高
褲,POCKET OPENING,袋口長
褲,POCKET FLAP ,袋蓋
褲,POCKET FLAP HEIGH,袋蓋高
褲,POCKET BAG WIDTH - SIDE BODY,側口袋寬
褲,POCKET BAG HEIGHT - SIDE BODY,側口袋高
褲,POCKET OPENING HEIGH,袋口高
褲,INSET WIDTH,剪接片寬
褲,DRAWCORD,穿繩
褲,ELASTIC,鬆緊帶
褲,CB,後中
褲,CF,前中
褲,BK,後
褲,FT,前
褲,WB,腰頭
褲,TOP OF WB ,腰頂
褲,GUSSET,襠底
褲,THIGH,大腿
褲,HIP/SEAT,臀圍
褲,HEM,下擺
褲,SWEEP,下擺
褲,INSEAM,內長
褲,SIDE BODY,側邊
褲,ONSEAM,在縫上
褲,OUTSEAM,外長
褲,INSIDE LEG,內長 
褲,INSET,剪接片
褲,SIDE BODY,側大身
褲,SIDE INSET,側剪接片
褲,INSET,剪接片
褲,THIGH,大腿圍
褲,CALF WIDTH,小腿圍
褲,INCLUDING,含
褲,EXCLUDING,不含
褲,3 POINT MEASUREMENT ,三點量
褲,TO CROTCH SEAM ,到襠底縫
褲,INCLUDING WB & GUSSET,含腰含襠底
褲,"1"" BELOW CROTCH/GUSSET SEAM ","前襠/襠衩 交叉點下1""量"
褲,"1"" BELOW CROTCH","檔下1""量"
褲,EXCLUDING FLATLOCK STITCH,縫內量(不含四併縫線)
褲,POCKET PLACMENT,口袋位置
褲,FROM WAIST SEAM,距腰縫
褲,CROTCH TO HEM AT MID KNEE,襠底到膝中
褲,HIP POSITION,臀圍位置
褲,"IN A ""V""",三點量
褲,"MEASURING IN A ""V""",三點量
褲,CROTCH TO HEM AT MID THIGH,檔底中心量
褲,AT HALF INSEAM,內長半量
褲,CALF PLACEMENT,小腿圍位置
褲,CALF PLACEMENT DOWN FROM CROTCH,小腿圍位置 - 襠衩與前襠交接處下量
褲,DOWN FROM CROTCH,檔底下量
褲,KNEE PLACEMENT FROM CROTCH (FROM FRONT RISE/GUSSET SEAM),膝圍位置(前襠/襠衩 交叉點下量)
褲,ALONG WB SEAM,沿腰縫量
褲,KNEE POSITION,膝圍位置
褲,KNEE PLACEMENT,膝圍位置
褲,KNEE PLACEMENT FROM CROTCH - FROM FT RISE/ GUSSET SEAM ,膝圍位置 - 襠衩與前襠交接處下量
褲,VENT LENGTH,開衩長
褲,SLIT LENGTH,開衩長
褲,WAIST- RELAXED,腰圍-平量
褲,WAIST- FULLY ELASTICATED,腰圍-平量
褲,WAIST- ALONG SEAM ,腰圍-沿腰縫量
褲,WAIST EXTENDED ,腰圍-拉量
褲,WAISTBAND HEIGHT,腰高
褲,WAISTBAND DEPTH,腰高
褲,WAISTBAND,腰頭
褲,KNEE WIDTH,膝圍
褲,"KNEE WIDTH - X"" BELOW CROTCH",膝圍
褲,LEG OPENING ,褲口寬
褲,HEM HEIGHT AT LEG OPENING,褲口高
褲,HEM AT KNEE,褲口寬
褲,HEM HEIGHT,下擺高
褲,HEM/SWEEP AT KNEE- BOTTOMS,褲口寬
褲,HEM/SWEEP AT MID THIGH- SHORTS,褲口寬
褲,LEG OPENING AT CALF,褲口寬
褲,LEG OPENING AT ANKLE,褲口寬
褲,LEG OPENING HEM HEIGHT ,褲口反摺高
褲,LEG CUFF HEIGHT,褲口剪接片高
褲,"HIP POSITION FROM WAIST MEASURING IN A ""V""",臀圍位置- 腰頂下量 三點量
褲,HIP/SEAT PLACEMENT FROM TOP OF WAIST - 3 PT MSMT - LOW HIP,臀圍三點量位置 - 腰頂下量
褲,HIP/SEAT PLACEMENT FROM TOP OF WAIST ,臀圍位置- 腰頂下量 三點量
褲,"HIP/SEAT, 3 POINT MSMT - TIGHT FIT",臀圍三點量
褲,FRONT RISE,前襠
褲,FRONT RISE (EXCLUDE GUSSET),前檔 (含腰不含檔衩)
褲,BACK RISE,後襠
褲,BACK RISE (EXCLUDE GUSSET),後檔 (含腰不含檔衩)
褲,GUSSET SEAM,襠底縫
褲,CROTCH GUSSET WIDTH (TRIANGLE),襠底寬-橫向量 (三角片)
褲,CROTCH GUSSET LENGTH (TRIANGLE),襠底長-直向量 (三角片)
褲,GUSSET LENGTH- VERTICAL,檔底-直量
褲,GUSSET LENGTH- HORIZONTAL,檔底-平量
褲,"THIGH- 2.5cm/1"" BELOW CROTCH","腿圍-襠下2.5cm/1""處"
褲,DRAWCORD LENGTH-HALF,腰繩長(半量)
褲,VENT,邊衩
褲,SLIT,邊衩
褲,VENT/ SLIT HEIGHT,邊衩高
褲,MAIN LABEL,主標
褲,HEAT SEAL LABEL,熱轉印標
褲,CARE LABEL,洗標
褲,PO LABEL,PO標
褲,LABEL PLACEMENT,標位
褲,CLEAR ELASTIC ,透明併肩帶
褲,DRACORD ELASTIC,中空彈性腰繩
褲,CUT LENGTH,裁長
褲,FINISHED LENGTH,完成長
褲,DART,摺子
褲,CUT EDGE,裁邊
上衣,BODY LENGTH FRONT FROM HPS,前身長 從領肩點量
上衣,BODY LENGTH BACK FROM HPS,後身長 從領肩點量
上衣,BODY LENGTH BACK FROM CBN ,後身長 從後中領縫處量
上衣,"CHEST WIDTH FLAT- MEASU RE 1"" BELOW ARMHO LE","胸圍 腋下1"" 處量"
上衣,WAIST PLACEMENT FROM HPS,腰圍 距肩點 
上衣,WAIST WIDTH,腰圍 
上衣,BOTTOM SWEEP WIDTH FLAT,下擺 平量
上衣,BOTTOM OPENING WIDTH FLAT,下擺 平量
上衣,SWEEP HEM HEIGHT,下擺高
上衣,SHOULDER SLOPE FROM HPS,肩斜-從HPS 量
上衣,SHOULDER SEAM FORWARD,肩前傾
上衣,SHOULDER SEAM FORWARD AT NECK,肩前傾 -領圍處量
上衣,SHOULDER SEAM FORWARD AT ARMHOLE,肩前傾 -袖攏處量
上衣,SHOULDER SEAM BACKWARD AT NECK,肩後傾 -領圍處量
上衣,SHOULDER SEAM BACKWARD AT ARMHOLE,肩後傾 -袖攏處量
上衣,ACROSS SHOULDER SET IN  SEAM TO SEAM,肩寬 -縫至縫
上衣,"ACROSS FRONT MEASURE DOWN 6"" FROM HPS  SEAM TO SEAM","前胸寬-從HPS 下 6""處量"
上衣,"ACROSS BACK MEASURE DOWN  6"" FROM HPS  SEAM TO SEAM","後背寬 -從HPS 下6""量"
上衣,FORWARD SIDE SEAM WIDTH AT ARMPIT FRONT,脇邊 前移的寬度 在腋點量
上衣,FORWARD SIDE SEAM WIDTH AT FRONT BOTTOM SWEEP,脇邊 前移的寬度 在下擺量
上衣,SLEEVE LENGTH FROM CB NECK 3-POINT,袖長 從後中3點量
上衣,SLEEVE LENGTH FROM ARMHOLE,袖長 從袖攏處量
上衣,ARMHOLE STRAIGHT /SET IN,袖攏直量 縫至縫
上衣,ARMHOLE STRAIGHT -EDGE TO EDGE,袖攏直量 邊至邊
上衣,ARMHOLE DEPTH FROM HPS,袖隴深- 從 HPS 垂直量至腋下 
上衣,RAGLAN ARMHOLE- FRONT,前拉克蘭 袖攏長
上衣,RAGLAN ARMHOLE- BACK,後拉克蘭 袖攏長
上衣,"BICEP WIDTH FLAT 1"" BELOW ARMHOLE","臂圍- 袖攏下 1"" 處量"
上衣,"MUSCLE 1"" BELOW ARMHOLE","臂圍- 袖攏下 1"" 處量"
上衣,"FOREARM PLACEMENT SLEEVE OPENING EDGE  6"" UP","肘圍 位置- 袖口上 6"" 處量"
上衣,FOREARM WIDTH,肘圍 
上衣,SLEEVE HEM HEIGHT,袖口高
上衣,SLEEVE OPENING HEM HEIGHT,袖口高
上衣,SLEEVE TRIM HEIGHT,袖口高
上衣,SLEEVE OPENING WIDTH FLAT / LONG,袖口寬
上衣,SLEEVE OPENING WIDTH FLAT / SHORT LENGTH,袖口寬
上衣,SLEEVE OPENING WIDTH -RELAXED ,袖口寬 -鬆量
上衣,SLEEVE OPENING WIDTH -EXTENDED ,袖口寬 -拉量
上衣,CUFF HEIGHT ,卡夫高
上衣,NECK DEPTH / DROP FRONT FROM HPS TO SEAM,前領深/ 從肩頸點到縫線的垂直距離
上衣,NECK DEPTH / DROP BACK FROM HPS TO SEAM,後領深/ 從肩頸點到縫線的垂直距離
上衣,NECKLINE CIRCUMFERENCE ALONG NECKLINE SEAM,領圍-沿領縫處量
上衣,MINIMUM NECK STRETCH ,最小領拉量
上衣,COLLAR LENGTH AT TOP EDGE,領邊長-頂邊量
上衣,COLLAR HEIGHT AT CENTER BACK,領高-後中量
