種類,英文,中文
褲,INSEAM,內長
褲,INSEAM: MEASURE STRAIGHT FROM CROTCH POINT TO FINISHED HEM,內長 -襠底到褲口邊直量
褲,INSEAM CROP PANTS: MEASURE STRAIGHT FROM CROTCH POINT TO FINISHED HEM,內長 -襠底到褲口邊直量
褲,INSEAM SHORTS: MEASURE STRAIGHT FROM CROTCH POINT TO FINISHED HEM,內長 -襠底到褲口邊直量
褲,OUTSEAM,外長
褲,OUTSEAM: MEASURE STRAIGHT FROM WAISTBAND SEAM TO FINISHED HEM,外長-腰縫到褲口邊直量
褲,OUTSEAM CROP PANTS: MEASURE STRAIGHT FROM WAISTBAND SEAM TO FINISHED HEM,外長-腰縫到褲口邊直量
褲,OUTSEAM SHORTS: MEASURE STRAIGHT FROM WAISTBAND SEAM TO FINISHED HEM,外長-腰縫到褲口邊直量
褲,OUTSEAM PANT WITHOUT WAIST SEAM: MEASURE STRAIGHT FROM TOP OF WAIST TO FINISHED HEM,外長-腰頂到褲口邊直量
褲,OUTSEAM CROP PANT WITHOUT WAIST SEAM: MEASURE STRAIGHT FROM TOP OF WAIST TO FINISHED HEM,外長-腰頂到褲口邊直量
褲,OUTSEAM SHORTS WITHOUT WAIST SEAM: MEASURE STRAIGHT FROM TOP OF WAIST TO FINISHED HEM,外長-腰頂到褲口邊直量
褲,HIGH HIP,上臀
褲,HIGH HIP 1/2 CIRCUMFERENCE: MEASURE 4” DOWN FROM WAIST SEAM (3” FOR LADIES AND YOUTH) - 3 POINTS,"上臀圍(半圈)-腰縫下4""三點量（女生和小孩是腰頂下3“）"
褲,HIGH HIP 1/2 CIRCUMFERENCE PANT WITHOUT WAIST SEAM: MEASURE 4” DOWN FROM LOWEST WAIST STITCH LINE (3” FOR LADIES AND YOUTH) - 3 POINTS,"上臀圍(半圈)-腰頭最底車縫線下4""三點量"
褲,HIP,臀圍
褲,SEAT,臀圍
褲,SEAT PLACEMENT: MEASURE UP X” FROM CROTCH POINT,"臀圍位置 - 襠底往上X""量"
褲,SEAT 1/2 CIRCUMFERENCE: MEASURE Y” DOWN FROM WAIST SEAM AND THEN MEASURE FROM SIDE FOLD TO SIDE FOLD AT SEAT PLACEMENT - 3 POINTS,臀圍(半圈) - 腰縫下Y字型三點量
褲,SEAT 1/2 CIRCUMFERENCE PANT WITHOUT WAIST SEAM: MEASURE Y” DOWN FROM TOP OF WAIST AND THEN MEASURE FROM SIDE FOLD TO SIDE FOLD AT SEAT PLACEMENT - 3 POINTS,臀圍(半圈) - 腰頂下Y字型三點量
褲,FRONT RISE,前襠
褲,FRONT RISE: MEASURE FROM CROTCH POINT TO WAIST SEAM (ALONG CURVE). ,前襠長(不含腰頭高)-彎量
褲,FRONT RISE: MEASURE FROM CROTCH POINT TO TOP EDGE ON STYLES WITHOUT WAIST SEAM,前襠長(含腰頭高)-彎量
褲,FRONT RISE: MEASURE FROM CROTCH POINT TO TOP EDGE OF WAISTBAND (ALONG CURVE),前襠長(含腰頭高)-彎量
褲,BACK RISE,後襠
褲,BACK RISE: MEASURE FROM CROTCH POINT TO WAIST SEAM (ALONG CURVE).,後襠長(不含腰頭高)-彎量
褲,BACK RISE: MEASURE FROM CROTCH POINT TO TOP EDGE ON STYLES WITHOUT WAIST SEAM,後襠長(含腰頭高)-彎量
褲,BACK RISE: MEASURE FROM CROTCH POINT TO TOP EDGE OF WAISTBAND (ALONG CURVE).,後襠長(含腰頭高)-彎量
褲,CROTCH GUSSET ,檔底
褲,CROTCH GUSSET HEIGHT: MEASURE STRAIGHT FROM FRONT RISE TO BACK RISE,檔底高-前檔至後檔直量
褲,CROTCH GUSSET WIDTH: MEASURE STRAIGHT FROM INSEAM TO INSEAM,檔底寬-內長縫到縫直量
褲,WAIST,腰
褲,WAIST 1/2 CIRCUMFERENCE: MEASURE STRAIGHT AT TOP EDGE OF WAISTBAND,腰圍(半圈)- 腰頂直量
褲,WAIST 1/2 CIRCUMFERENCE KNIT/ELASTIC RELAXED: MEASURE STRAIGHT AT TOP EDGE OF WAISTBAND,腰圍(半圈)- 腰頂直量
褲,WAIST 1/2 CIRCUMFERENCE KNIT/ELASTIC EXTENDED: MEASURE STRAIGHT AT WAIST SEAM,腰圍拉量(半圈)- 腰縫直量
褲,THIGH ,大腿
褲,THIGH WIDTH 1/2 CIRCUMFERENCE: MEASURE 1” DOWN FROM CROTCH POINT PERPENDICULAR TO GRAIN,"腿圍(半圈)-襠底下1""量"
褲,THIGH WIDTH 1/2 CIRCUMFERENCE (GUSSET STYLES): MEASURE STRAIGHT AT BOTTOM OF GUSSET PERPENDICULAR TO GRAIN,腿圍(半圈)-襠底縫下量
褲,KNEE,膝
褲,KNEE WIDTH 1/2 CIRCUMFERENCE: MEASURE AT 1/2 INSEAM LENGTH,膝圍(半圈)-內長一半處量
褲,CALF WIDTH,小腿圍
褲,CALF PLACEMENT DOWN FROM CROTCH,小腿圍位置 - 襠衩與前襠交接處下量
褲,LEG OPENING,褲口
褲,SHORT LEG OPENING 1/2 CIRCUMFERENCE: MEASURE STRAIGHT ACROSS FINISHED HEM,褲口寬(半圈) - 邊直量
褲,CROP LEG OPENING 1/2 CIRCUMFERENCE: MEASURE STRAIGHT ACROSS FINISHED HEM,褲口寬(半圈) - 邊直量
褲,PANT LEG OPENING 1/2 CIRCUMFERENCE: MEASURE STRAIGHT ACROSS FINISHED HEM,褲口寬(半圈) - 邊直量
褲,LEG OPENING 1/2 CIRCUMFERENCE WITH CUFF RELAXED: MEASURE STRAIGHT ACROSS FINISHED HEM,褲口寬(半圈) - 邊直量
褲,LEG OPENING 1/2 CIRCUMFERENCE WITH CUFF EXTENDED: MEASURE STRAIGHT ACROSS CUFF SEAM,褲口寬拉量(半圈) - 褲口縫直量
褲,BACK YOKE,後約克
褲,BACK YOKE DEPTH AT CB: MEASURE FROM CB WAIST SEAM TO YOKE SEAM,後約克高(後中)-後中腰縫直量
褲,BACK YOKE DEPTH AT SIDE SEAM: MEASURE FROM WAIST SEAM TO YOKE SEAM,後約克高(脇邊)-脇邊腰縫直量
褲,FLY ,前立
褲,FLY OPENING: MEASURE FROM WAIST SEAM TO BARTACK,前立長-腰縫到打結車量
褲,Faux fly,J形假前立
褲,“J” STITCH LENGTH: MEASURE FROM WAIST SEAM TO BOTTOM STITCH LINE,J形假前立長 - 腰縫到壓線底量
褲,FLY WIDTH: MEASURE FROM FLY EDGE TO FIRST STITCH LINE,J形假前立寬 - 邊到第一道壓線量
褲,ZIPPER LENGTH: MEASURE FROM WAIST SEAM TO BOTTOM OF ZIPPER STOP,拉鍊長
褲,WAISTBAND,腰頭
褲,WAISTBAND HEIGHT: MEASURE FROM TOP OF WAISTBAND TO WAIST SEAM OR STITCH LINE,腰頭剪接高 - 腰頂到縫量
褲,WAISTBAND EXTENSION LENGTH: MEASURE FROM FLY EDGE TO EXTENSION AT LONGEST POINT,腰頭延伸長度-前立邊至最長處量
褲,CUT & SEW WB,腰頭剪接
褲,OUTER WB,腰頭表面
褲,BELT LOOP,褲耳
褲,BELT LOOP LENGTH: MEASURE FROM TOP TO BOTTOM NOT INCLUDING UNDERLAP,褲耳長(不含反折)
褲,BELT LOOP WIDTH: MEASURE FROM EDGE TO EDGE,褲耳寬
褲,FRONT BELT LOOP POSITION: MEASURE FROM WAISTBAND EDGE TO INSIDE EDGE OF BELT LOOP,前褲耳
褲,FRONT BELT LOOP POSITION: MEASURE FROM WAISTBAND EDGE TO INSIDE EDGE OF BELT LOOP,前褲耳位置-腰頭脇邊至褲耳內邊處量
褲,BACK BELT,後褲耳
褲,BELT LOOP POSITION FROM CB: MEASURE FROM CB TO INSIDE EDGE OF BELT LOOP,後褲耳位置-後中距褲耳內側邊量
褲,SIDE BELT LOOP,側邊褲耳
