種類,英文,中文
褲,ELASTIC,鬆緊帶
褲,CLEAR ELASTIC ,"1/4""透明併肩帶"
褲,"1/4"" DRAWCORD ELASTIC",中空彈性腰繩
褲,INCLUDING,含
褲,EXCLUDING,不含
褲,Width,寬
褲,EXCLUDING FLATLOCK STITCH,縫內量(不含四併縫線)
褲,FINISHED LENGTH,完成長
褲,CUT EDGE,裁邊
褲,CUT LENGTH,裁長
褲,Mobilon tape,QQ帶
褲,FT,前
褲,BK,後
褲,CF,前中
褲,CB,後中
褲,WB,腰頭
褲,WAISTBAND,腰頭
褲,TOP OF WB ,腰頂
褲,SIDE SEAM,脇邊/側邊
褲,Front Waist Drop - For Development only,前腰深- 僅供開發
褲,Back Waist Drop - For Development Only,後腰深- 僅供開發
褲,WAIST- RELAXED,腰圍-平量
褲,WAIST- FULLY ELASTICATED,腰圍-平量
褲,WAIST EXTENDED ,腰圍-拉量
褲,Waist Relaxed @ Top Edge of Waistband - Flat,腰圍-頂邊鬆量-平量
褲,Waist Relaxed @ Bottom Edge of Waistband - Flat,腰圍-底端鬆量-平量
褲,WAIST- ALONG SEAM ,腰圍-沿腰縫量
褲,FROM WAIST SEAM,距腰縫
褲,ALONG WB SEAM,沿腰縫量
褲,WAISTBAND HEIGHT,腰高
褲,WAISTBAND DEPTH,腰高
褲,Waistband Height,腰頭高
褲,Space between drawcord opening,鎖眼間距
褲,HIP,臀圍
褲,HIP POSITION,臀圍位置
褲,Low Hip Position from Top of Waistband,臀圍位置-腰頭下
褲,"HIP POSITION FROM WAIST MEASURING IN A ""V""",臀圍位置- 腰頂下量 三點量
褲,HIP/SEAT PLACEMENT FROM TOP OF WAIST - 3 PT MSMT - LOW HIP,臀圍三點量位置 - 腰頂下量
褲,HIP/SEAT PLACEMENT FROM TOP OF WAIST ,臀圍位置- 腰頂下量 三點量
褲,"HIP/SEAT, 3 POINT MSMT - TIGHT FIT",臀圍三點量
褲,Low Hip @ Specified Position - Flat - 3 point,臀圍-平量-三點量
褲,"IN A ""V""",三點量
褲,"MEASURING IN A ""V""",三點量
褲,3 POINT MEASUREMENT ,三點量
褲,DART,摺子
褲,FRONT RISE,前襠
褲,Front Rise from Top Edge of Waistband,前檔-腰頂邊~檔縫處量
褲,"1"" BELOW CROTCH/GUSSET SEAM ","前襠/襠衩 交叉點下1""量"
褲,FRONT RISE (EXCLUDE GUSSET),前檔 (含腰不含檔衩)
褲,BACK RISE,後襠
褲,Back Rise from Top Edge of Waistband,後檔-腰頂邊~檔縫處量
褲,BACK RISE (EXCLUDE GUSSET),後檔 (含腰不含檔衩)
褲,Gusset Length - CF to CB @ center - seam to seam,檔片長-檔片中央量-縫~縫
褲,GUSSET,襠底
褲,GUSSET SEAM,襠底縫
褲,GUSSET LENGTH- VERTICAL,檔底-直量
褲,GUSSET LENGTH- HORIZONTAL,檔底-平量
褲,CROTCH GUSSET LENGTH (TRIANGLE),襠底長-直向量 (三角片)
褲,Gusset Width - Inseam - seam to seam,檔片寬-縫到縫
褲,CROTCH GUSSET WIDTH (TRIANGLE),襠底寬-橫向量 (三角片)
褲,TO CROTCH SEAM ,到襠底縫
褲,INCLUDING WB & GUSSET,含腰含襠底
褲,CROTCH TO HEM AT MID KNEE,襠底到膝中
褲,CROTCH TO HEM AT MID THIGH,檔底中心量
褲,DOWN FROM CROTCH,檔底下量
褲,"1"" BELOW CROTCH","檔下1""量"
褲,THIGH,大腿
褲,THIGH,大腿圍
褲,"Thigh - 1"" Below Crotch- Flat","腿圍-前檔縫下1""平量"
褲,"THIGH- 2.5cm/1"" BELOW CROTCH","腿圍-襠下2.5cm/1""處"
褲,KNEE WIDTH,膝圍
褲,"KNEE WIDTH - X"" BELOW CROTCH",膝圍
褲,Knee @ Specified Placement - Flat,膝圍-平量
褲,KNEE POSITION,膝圍位置
褲,KNEE PLACEMENT,膝圍位置
褲,KNEE PLACEMENT FROM CROTCH (FROM FRONT RISE/GUSSET SEAM),膝圍位置(前襠/襠衩 交叉點下量)
