種類,英文,中文
褲,POCKET,口袋
褲,INSIDE POCKET,內口袋
褲,POCKET BAG,袋布
褲,POCKET BAG HEIGHT ,口袋高
褲,POCKET BAG WIDTH,口袋寬
褲,POCKET HEM HEIGHT,口袋反折高
褲,POCKET OPENING WIDTH,袋口寬
褲,POCKET OPENING LENGTH,袋口高
褲,POCKET OPENING,袋口長
褲,POCKET FLAP ,袋蓋
褲,POCKET FLAP HEIGH,袋蓋高
褲,POCKET BAG WIDTH - SIDE BODY,側口袋寬
褲,POCKET BAG HEIGHT - SIDE BODY,側口袋高
褲,POCKET OPENING HEIGH,袋口高
褲,INSET WIDTH,剪接片寬
褲,DRAWCORD,穿繩
褲,ELASTIC,鬆緊帶
褲,CB,後中
褲,CF,前中
褲,BK,後
褲,FT,前
褲,WB,腰頭
褲,TOP OF WB ,腰頂
褲,GUSSET,襠底
褲,THIGH,大腿
褲,HIP/SEAT,臀圍
褲,HEM,褲口
褲,SWEEP,下擺
褲,INSEAM,內長
褲,SIDE BODY,側邊
褲,ONSEAM,在縫上
褲,OUTSEAM,外長
褲,INSIDE LEG,內長 
褲,INSET,剪接片
褲,SIDE BODY,側大身
褲,SIDE INSET,側剪接片
褲,INSET,剪接片
褲,THIGH,大腿圍
褲,CALF WIDTH,小腿圍
褲,INCLUDING,含
褲,EXCLUDING,不含
褲,3 POINT MEASUREMENT ,三點量
褲,TO CROTCH SEAM ,到襠底縫
褲,INCLUDING WB & GUSSET,含腰含襠底
褲,"1"" BELOW CROTCH/GUSSET SEAM ","前襠/襠衩 交叉點下1""量"
褲,"1"" BELOW CROTCH","檔下1""量"
褲,EXCLUDING FLATLOCK STITCH,縫內量(不含四併縫線)
褲,POCKET PLACMENT,口袋位置
褲,FROM WAIST SEAM,距腰縫
褲,CROTCH TO HEM AT MID KNEE,襠底到膝中
褲,HIP POSITION,臀圍位置
褲,"IN A ""V""",三點量
褲,"MEASURING IN A ""V""",三點量
褲,CROTCH TO HEM AT MID THIGH,檔底中心量
褲,AT HALF INSEAM,內長半量
褲,CALF PLACEMENT,小腿圍位置
褲,CALF PLACEMENT DOWN FROM CROTCH,小腿圍位置 - 襠衩與前襠交接處下量
褲,DOWN FROM CROTCH,檔底下量
褲,KNEE PLACEMENT FROM CROTCH (FROM FRONT RISE/GUSSET SEAM),膝圍位置(前襠/襠衩 交叉點下量)
褲,ALONG WB SEAM,沿腰縫量
褲,KNEE POSITION,膝圍位置
褲,KNEE PLACEMENT,膝圍位置
褲,KNEE PLACEMENT FROM CROTCH - FROM FT RISE/ GUSSET SEAM ,膝圍位置 - 襠衩與前襠交接處下量
褲,VENT LENGTH,開衩長
褲,SLIT LENGTH,開衩長
褲,WAIST- RELAXED,腰圍-平量
褲,WAIST- FULLY ELASTICATED,腰圍-平量
褲,WAIST- ALONG SEAM ,腰圍-沿腰縫量
褲,WAIST EXTENDED ,腰圍-拉量
褲,WAISTBAND HEIGHT,腰高
褲,WAISTBAND DEPTH,腰高
褲,WAISTBAND,腰頭
褲,KNEE WIDTH,膝圍
褲,"KNEE WIDTH - X"" BELOW CROTCH",膝圍
褲,LEG OPENING ,褲口寬
褲,HEM HEIGHT AT LEG OPENING,褲口高
褲,HEM AT KNEE,褲口寬
褲,HEM HEIGHT,下擺高
褲,HEM/SWEEP AT KNEE- BOTTOMS,褲口寬
褲,HEM/SWEEP AT MID THIGH- SHORTS,褲口寬
褲,LEG OPENING AT CALF,褲口寬
褲,LEG OPENING AT ANKLE,褲口寬
褲,LEG OPENING HEM HEIGHT ,褲口反摺高
褲,LEG CUFF HEIGHT,褲口剪接片高
褲,"HIP POSITION FROM WAIST MEASURING IN A ""V""",臀圍位置- 腰頂下量 三點量
褲,HIP/SEAT PLACEMENT FROM TOP OF WAIST - 3 PT MSMT - LOW HIP,臀圍三點量位置 - 腰頂下量
褲,HIP/SEAT PLACEMENT FROM TOP OF WAIST ,臀圍位置- 腰頂下量 三點量
褲,"HIP/SEAT, 3 POINT MSMT - TIGHT FIT",臀圍三點量
褲,FRONT RISE,前襠
褲,FRONT RISE (EXCLUDE GUSSET),前檔 (含腰不含檔衩)
褲,BACK RISE,後襠
褲,BACK RISE (EXCLUDE GUSSET),後檔 (含腰不含檔衩)
褲,GUSSET SEAM,襠底縫
褲,CROTCH GUSSET WIDTH (TRIANGLE),襠底寬-橫向量 (三角片)
褲,CROTCH GUSSET LENGTH (TRIANGLE),襠底長-直向量 (三角片)
褲,GUSSET LENGTH- VERTICAL,檔底-直量
褲,GUSSET LENGTH- HORIZONTAL,檔底-平量
褲,"THIGH- 2.5cm/1"" BELOW CROTCH","腿圍-襠下2.5cm/1""處"
褲,DRAWCORD LENGTH-HALF,腰繩長(半量)
褲,VENT,邊衩
褲,SLIT,邊衩
褲,VENT/ SLIT HEIGHT,邊衩高
褲,MAIN LABEL,主標
褲,HEAT SEAL LABEL,熱轉印標
褲,CARE LABEL,洗標
褲,PO LABEL,PO標
褲,LABEL PLACEMENT,標位
褲,CLEAR ELASTIC ,透明併肩帶
褲,DRACORD ELASTIC,中空彈性腰繩
褲,CUT LENGTH,裁長
褲,FINISHED LENGTH,完成長
褲,DART,摺子
褲,CUT EDGE,裁邊
褲,CATCH,固定
褲,TEMPLATE,紙板
褲,SEAM,縫
褲,HT MAIN LABEL,熱轉印標
褲,STRAP,貼條
褲,BINDING,滾條
褲,YOKE,約克
褲,PANEL,裁片
褲,INSERT,剪接片
褲,PIPING,排品
副料,PLUSH ELASTIC,中空彈性腰繩
副料,HT MAIN LABEL,熱轉印主標
,BTM PKT BAG,下袋布(手心布)
,TOP PKT BAG,上袋布(手背布)
,NATURAL FOLD,自然摺邊
副料,SHOELACE,腰繩
,STRAIGHT CUT,直裁
,CROSS CUT,橫裁
褲,STRAPPING,貼條
褲,FORWARD FRT SIDE SEAM FM NATURAL FOLD,前側縫至自然折邊距離
,NOTCHES,牙口
,WAISTBAND SEAM,腰縫
,TOP OF WB SEAM,腰頂
外套,BACK NECK WIDTH,後領寬
外套,FRONT NECK DROP TO SEAM,前領深(至縫)
外套,BACK NECK DROP TO SEAM,後領深(至縫)
T恤,FRONT NECK DROP TO EDGE,前領深(至邊)
T恤,BACK NECK DROP TO EDGE,後領深(至邊)
T恤,NECK TRIM DEPTH,領高
外套,COLLAR STAND DEPTH,領台高
帽T,HOOD OPENING HEM,帽口反摺高
帽T,HOOD,帽
帽T,HOOD WIDTH,帽寬
外套,ACROSS SHOULDER,肩寬
帽T,FORWARD SHOULDER,肩前傾
外套,SLEEVE LENGTH,袖長
外套,SLEEVE OPENING,袖口寬
外套,CUFF DEPTH,袖口高
T恤,HEM HEIGHT AT SLV OPENING,袖口高
帽T,ARMHOLE,袖攏
外套,FRONT LENGTH,前身長
T恤,BACK LENGTH,後身長
外套,BUST AND CHEST WIDTH,胸圍寬度
帽T,ACROSS FRONT,前胸寬
帽T,ACROSS BACK,後背寬
外套,WAIST,腰圍
外套,HEM,下擺寬
外套,SWEEP,下擺寬
外套,HEM HEIGHT,下擺高
外套,POCKET BAG WIDTH,口袋寬
外套,POCKET BAG HEIGHT,口袋高
帽T,POCKET OPENING LENGTH,口袋開口長
T恤,VENT,衩
T恤,SLIT,衩
外套,NECK,頸
T恤,FRONT NECK,前領
T恤,BACK NECK,後領
外套,LONG SLEEVE,長袖
外套,BICEP,臂圍
外套,PRINCESS SEAM,公主線縫
外套,SHOULDER,肩膀
T恤,SHOULDER SEAM,肩縫
外套,BODY,大身
外套,INNER COLLAR,內領
外套,HPS TO HEM AT HIP,從肩高點到臀部下擺
T恤,EDGE TO EDGE AT HPS,肩高點量至邊
外套,SEAM TO SEAM AT HPS,從肩高點縫線到縫線
外套,AT CB NECK,後中
外套,"2.5cm/1"" BELOW ARMHOLE",腋下2.5厘米/1英寸
外套,OVERARM FROM SHOULDER,從肩點直量
外套,WAIST POSITION,腰圍位置
外套,FROM HPS,從肩高點往下量
T恤,AT HPS,在肩高點
帽T,POINT TO POINT,點到點
帽T,ACROSS FRONT POSITION,前胸寬位置
帽T,FROM HPS,肩高點下
帽T,CROSS BACK POSITION,後背寬位置
帽T,STRAIGHT,直量
帽T,SEAM TO SEAM,縫到縫
帽T,HALF,半量
T恤,NARROWEST,最窄處
外套,ZIPPER LENGTH,拉鍊長度
外套,STRAPPING,條狀裝飾
外套,BINDING,滾邊
外套,ZIPPER EDGE,拉鍊邊
帽T,DRAWCORD LENGTH,帽繩長
T恤,INSIDE BACK NECK TAPEING,後領貼條
T恤,STRAIGHT CUT,直裁
T恤,OVERLAPP,交疊
T恤,EDGE TURN BACK,邊反折
T恤,FINISHED LENGTH,完成長
