種類,英文,中文,品牌,第一分類,第二分類
褲,POCKET,口袋,,,
褲,INSIDE POCKET,內口袋,,,
褲,POCKET BAG,袋布,,,
褲,POCKET BAG HEIGHT ,口袋高,,,
褲,POCKET BAG WIDTH,口袋寬,,,
褲,POCKET HEM HEIGHT,口袋反折高,,,
褲,POCKET OPENING WIDTH,袋口寬,,,
褲,POCKET OPENING LENGTH,袋口高,,,
褲,POCKET OPENING,袋口長,,,
褲,POCKET FLAP ,袋蓋,,,
褲,POCKET FLAP HEIGH,袋蓋高,,,
褲,POCKET BAG WIDTH - SIDE BODY,側口袋寬,,,
褲,POCKET BAG HEIGHT - SIDE BODY,側口袋高,,,
褲,POCKET OPENING HEIGH,袋口高,,,
褲,INSET WIDTH,剪接片寬,,,
褲,DRAWCORD,穿繩,,,
褲,ELASTIC,鬆緊帶,,,
褲,CB,後中,,,
褲,CF,前中,,,
褲,BK,後,,,
褲,FT,前,,,
褲,WB,腰頭,,,
褲,TOP OF WB ,腰頂,,,
褲,GUSSET,襠底,,,
褲,THIGH,大腿,,,
褲,HIP/SEAT,臀圍,,,
褲,HEM,下擺,,,
褲,SWEEP,下擺,,,
褲,INSEAM,內長,,,
褲,SIDE BODY,側邊,,,
褲,ONSEAM,在縫上,,,
褲,OUTSEAM,外長,,,
褲,INSIDE LEG,內長 ,,,
褲,INSET,剪接片,,,
褲,SIDE BODY,側大身,,,
褲,SIDE INSET,側剪接片,,,
褲,INSET,剪接片,,,
褲,THIGH,大腿圍,,,
褲,CALF WIDTH,小腿圍,,,
褲,INCLUDING,含,,,
褲,EXCLUDING,不含,,,
褲,3 POINT MEASUREMENT ,三點量,,,
褲,TO CROTCH SEAM ,到襠底縫,,,
褲,INCLUDING WB & GUSSET,含腰含襠底,,,
褲,"1"" BELOW CROTCH/GUSSET SEAM ","前襠/襠衩 交叉點下1""量",,,
褲,"1"" BELOW CROTCH","檔下1""量",,,
褲,EXCLUDING FLATLOCK STITCH,縫內量(不含四併縫線),,,
褲,POCKET PLACMENT,口袋位置,,,
褲,FROM WAIST SEAM,距腰縫,,,
褲,CROTCH TO HEM AT MID KNEE,襠底到膝中,,,
褲,HIP POSITION,臀圍位置,,,
褲,"IN A ""V""",三點量,,,
褲,"MEASURING IN A ""V""",三點量,,,
褲,CROTCH TO HEM AT MID THIGH,檔底中心量,,,
褲,AT HALF INSEAM,內長半量,,,
褲,CALF PLACEMENT,小腿圍位置,,,
褲,CALF PLACEMENT DOWN FROM CROTCH,小腿圍位置 - 襠衩與前襠交接處下量,,,
褲,DOWN FROM CROTCH,檔底下量,,,
褲,KNEE PLACEMENT FROM CROTCH (FROM FRONT RISE/GUSSET SEAM),膝圍位置(前襠/襠衩 交叉點下量),,,
褲,ALONG WB SEAM,沿腰縫量,,,
褲,KNEE POSITION,膝圍位置,,,
褲,KNEE PLACEMENT,膝圍位置,,,
褲,KNEE PLACEMENT FROM CROTCH - FROM FT RISE/ GUSSET SEAM ,膝圍位置 - 襠衩與前襠交接處下量,,,
褲,VENT LENGTH,開衩長,,,
褲,SLIT LENGTH,開衩長,,,
褲,WAIST- RELAXED,腰圍-平量,,,
褲,WAIST- FULLY ELASTICATED,腰圍-平量,,,
褲,WAIST- ALONG SEAM ,腰圍-沿腰縫量,,,
褲,WAIST EXTENDED ,腰圍-拉量,,,
褲,WAISTBAND HEIGHT,腰高,,,
褲,WAISTBAND DEPTH,腰高,,,
褲,WAISTBAND,腰頭,,,
褲,KNEE WIDTH,膝圍,,,
褲,"KNEE WIDTH - X"" BELOW CROTCH",膝圍,,,
褲,LEG OPENING ,褲口寬,,,
褲,HEM HEIGHT AT LEG OPENING,褲口高,,,
褲,HEM AT KNEE,褲口寬,,,
褲,HEM HEIGHT,下擺高,,,
褲,HEM/SWEEP AT KNEE- BOTTOMS,褲口寬,,,
褲,HEM/SWEEP AT MID THIGH- SHORTS,褲口寬,,,
褲,LEG OPENING AT CALF,褲口寬,,,
褲,LEG OPENING AT ANKLE,褲口寬,,,
褲,LEG OPENING HEM HEIGHT ,褲口反摺高,,,
褲,LEG CUFF HEIGHT,褲口剪接片高,,,
褲,"HIP POSITION FROM WAIST MEASURING IN A ""V""",臀圍位置- 腰頂下量 三點量,,,
褲,HIP/SEAT PLACEMENT FROM TOP OF WAIST - 3 PT MSMT - LOW HIP,臀圍三點量位置 - 腰頂下量,,,
褲,HIP/SEAT PLACEMENT FROM TOP OF WAIST ,臀圍位置- 腰頂下量 三點量,,,
褲,"HIP/SEAT, 3 POINT MSMT - TIGHT FIT",臀圍三點量,,,
褲,FRONT RISE,前襠,,,
褲,FRONT RISE (EXCLUDE GUSSET),前檔 (含腰不含檔衩),,,
褲,BACK RISE,後襠,,,
褲,BACK RISE (EXCLUDE GUSSET),後檔 (含腰不含檔衩),,,
褲,GUSSET SEAM,襠底縫,,,
褲,CROTCH GUSSET WIDTH (TRIANGLE),襠底寬-橫向量 (三角片),,,
褲,CROTCH GUSSET LENGTH (TRIANGLE),襠底長-直向量 (三角片),,,
褲,GUSSET LENGTH- VERTICAL,檔底-直量,,,
褲,GUSSET LENGTH- HORIZONTAL,檔底-平量,,,
褲,"THIGH- 2.5cm/1"" BELOW CROTCH","腿圍-襠下2.5cm/1""處",,,
褲,DRAWCORD LENGTH-HALF,腰繩長(半量),,,
褲,VENT,邊衩,,,
褲,SLIT,邊衩,,,
褲,VENT/ SLIT HEIGHT,邊衩高,,,
褲,MAIN LABEL,主標,,,
褲,HEAT SEAL LABEL,熱轉印標,,,
褲,CARE LABEL,洗標,,,
褲,PO LABEL,PO標,,,
褲,LABEL PLACEMENT,標位,,,
褲,CLEAR ELASTIC ,透明併肩帶,,,
褲,DRACORD ELASTIC,中空彈性腰繩,,,
褲,CUT LENGTH,裁長,,,
褲,FINISHED LENGTH,完成長,,,
褲,DART,摺子,,,
褲,CUT EDGE,裁邊,,,
衣,HOOD LINING,內帽,YOC,HOODIE,
衣,HOOD CENTER,帽中,YOC,,POSITION
衣,SHELL-A,主布-A,YOC,,FABRIC
衣,SH.A,主布-A,YOC,,FABRIC
衣,SHELL-B,主布-B,YOC,,FABRIC
衣,SH.B,主布-B,YOC,,FABRIC
衣,NECK TAPE,領織帶,YOC,NECK,TRIMS
衣,HPS,領肩點,YOC,POSITION,POSITION
衣,CONCEAL ZIPPER,隱型拉鍊,YOC,CONSTRUCTION,TRIMS
衣,STRING,繩帶,YOC,CONSTRUCTION,TRIMS
衣,TIP,束頭,YOC,DETIALS,TRIMS
衣,EXPOSED LENGTH,外露長度,YOC,CONSTRUCTION,
衣,E/BAND,鬆緊帶,YOC,CONSTRUCTION,TRIMS
衣,EYELET,鎖眼,YOC,CONSTRUCTION,TRIMS
衣,LINING A,裡布-A,YOC,,FABRIC
衣,LN.A,裡布-A,YOC,,FABRIC
衣,LINING B,裡布-B,YOC,,FABRIC
衣,C.F,前中,YOC,,POSITION
衣,C.B,後中,YOC,,POSITION
衣,OVERLAPPED ,重疊,YOC,CONSTRUCTION,
衣,HAND POCKET OPENING,口袋開口,YOC,CONSTRUCTION,
衣,LOGO EYELET,LOGO 金屬雞眼,YOC,CONSTRUCTION,TRIMS
衣,INSIDE 5MM,5MM 內徑,YOC,DETIALS,TRIMS
衣,ENDING TIP,束頭,YOC,DETIALS,TRIMS
衣,TIED,打結,YOC,CONSTRUCTION,TRIMS
衣,VISLON #5 2WAY,5號塑鋼開口雙拉頭(左插),YOC,DETIALS,TRIMS
衣,V #5 2WAY,5號塑鋼開口雙拉頭(左插),YOC,DETIALS,TRIMS
衣,VISLON #3 2WAY,3號塑鋼開口雙拉頭(左插),YOC,DETIALS,TRIMS
衣,V #3 2WAY,3號塑鋼開口雙拉頭(左插),YOC,DETIALS,TRIMS
衣,V #3 CLOSE END,3號塑鋼閉口拉鍊,YOC,DETIALS,TRIMS
衣,ARM-HOLE,袖襱,YOC,POSITION,
衣,SHOULDER,肩,YOC,POSITION,
衣,CUFFS,袖口,YOC,POSITION,
衣,SWEEP,大身下擺,YOC,POSITION,
衣,NECK HEIGHT ,領高,YOC,POSITION,
衣,ZIPPER CAP,拉鍊車庫,YOC,CONSTRUCTION,
衣,HOOD DETAILS,帽作工細節,YOC,CONSTRUCTION,
衣,THREAD EYELET,繡花鎖眼,YOC,CONSTRUCTION,
衣,2 LAYER,雙層,YOC,CONSTRUCTION,
衣,MOBILON,透明併肩帶,YOC,CONSTRUCTION,TRIMS
衣,HOT MELT BAND,熱融膠,YOC,CONSTRUCTION,TRIMS
衣,OPENING SIZE,開口尺寸,YOC,CONSTRUCTION,
衣,@,在,YOC,POSITION,
衣,OPEN EDGE,開口邊緣,YOC,POSITION,
衣,POCKET CONSTRUCTION,口袋結構,YOC,CONSTRUCTION,
