種類,英文,中文
上衣,CB,後中
上衣,BODY LENGTH AT BACK: MEASURE FROM HPS TO FINISHED HEM EDGE AT CB.,後中身長-肩高點量
上衣,BODY LENGTH AT BACK: MEASURE FROM CB NECK SEAM TO FINISHED HEM EDGE AT CB.,後中身長-領縫量
上衣,BODY LENGTH AT FRONT,前中身長
上衣,BODY LENGTH AT FRONT: MEASURE FROM BOUND NECK TO FINISHED HEM EDGE AT CF.,前中身長-肩高點領滾邊量
上衣,BODY LENGTH AT SIDE SEAM: MEASURE FROM BOUND NECK TO FINISHED SIDE SEAM HEM EDGE.,身長-肩高點領滾邊脇邊量
上衣,HEM DROP FROM CF: MEASURE FROM CF HEM TO SIDE HEM.,下襬垂高-脇邊到前中水平
上衣,CHEST WIDTH (1/2 MEASURE): MEASURE FROM SIDE TO SIDE AT 1” BELOW ARMHOLE.,"胸圍(半圈)-腋下1""量"
上衣,CF ZIPPER LENGTH (PARTIAL): MEASURE FROM TOP STOPPER TO BOTTOM OF OPENING.,半門襟前中拉鍊長
上衣,CF INTERIOR ZIPPER LENGTH: MEASURE FROM TOP TO BOTTOM OF ZIPPER.,全開襟前中拉鍊內側量
上衣,SIDE SEA,脇邊
上衣,WAIST PLACEMENT FROM HPS: MEASURE FROM BOUND NECK TO WAIST.,腰圍位置-肩高點領滾邊下量
上衣,"WAIST DRAWCORD TOTAL LENGTH: MEASURE TOTAL LENGTH END TO END, INCLUDING LOOP.",腰繩長(整圈)-含打結
上衣,"BOTTOM WIDTH EXTENDED - FLAT - MEASURE BODY PANEL EXTENDED
",下擺延伸平量-大身片延伸寬
上衣,HEM WIDTH RELAXED (RIB/ELASTIC 1/2 MEASURE): MEASURE ALONG BOTTOM EDGE WITH RIB/ELASTIC RELAXED.,下擺鬆量(半圈)-邊量
上衣,HEM WIDTH EXTENDED (RIB/ELASTIC 1/2 MEASURE): MEASURE ALONG BOTTOM SEAM WITH RIB/ELASTIC EXTENDED.,下擺拉量(半圈)-縫量
上衣,HIP WIDTH PLACEMENT FROM HPS: MEASURE FROM HPS TO HIP.,臀圍位置-肩高點下
上衣,HIP WIDTH PLACEMENT FROM CB: MEASURE FROM CB BOUND NECK TO HIP.,臀圍位置-後中領滾邊下
上衣,ACROSS SHOULDER FOR VESTS (OR SHOULDER WIDTH): MEASURE FROM LPS TO LPS.,背心肩寬-肩點量
上衣,ACROSS CHEST/BACK PLACEMENT: MEASURE DOWN FROM HPS.,前胸/後背寬位置-肩高點下量
上衣,ACROSS CHEST PLACEMENT: MEASURE DOWN FROM BOUND NECK.,前胸寬位置-肩高點領滾邊下量
