日期,工作階段,總人數,事件數,交易數,總營收,電子商務轉換率,平均訂單金額
20240716,1195,1081,15023,8,"14,817",0.67%,"1,852"
20240715,1532,1371,20237,9,"25,588",0.59%,"2,843"
20240714,3386,3128,36313,46,"327,823",1.36%,"7,127"
20240713,7301,6634,76149,148,"1,138,830",2.03%,"7,695"
20240712,9047,7928,97551,144,"1,063,881",1.59%,"7,388"
20240711,3471,2986,45313,145,"1,142,781",4.18%,"7,881"
20240710,1924,1638,33410,18,"74,333",0.94%,"4,130"
20240709,1243,1109,17713,10,"21,147",0.80%,"2,115"
20240708,1199,1068,15348,5,"13,152",0.42%,"2,630"
20240707,1274,1159,15223,6,"14,274",0.47%,"2,379"
20240706,1129,1053,12569,1,799,0.09%,799
20240705,1532,1364,16047,2,"6,220",0.13%,"3,110"
20240704,1756,1613,19699,4,"10,983",0.23%,"2,746"
20240703,2047,1856,27560,9,"22,016",0.44%,"2,446"
20240702,1907,1727,23174,9,"11,574",0.47%,"1,286"
20240701,1417,1298,18674,6,"17,312",0.42%,"2,885"
20240630,1782,1662,18057,2,"5,664",0.11%,"2,832"
20240629,1427,1317,15115,3,"8,914",0.21%,"2,971"
20240628,2089,1880,26841,14,"51,699",0.67%,"3,693"
20240627,2080,1853,30985,18,"79,558",0.87%,"4,420"
20240626,1973,1775,29637,8,"29,843",0.41%,"3,730"
20240625,1591,1433,19406,2,"3,118",0.13%,"1,559"
20240624,1471,1324,22665,9,"24,765",0.61%,"2,752"
20240623,1312,1227,14762,2,"2,490",0.15%,"1,245"
20240622,1164,1058,16560,5,"7,993",0.43%,"1,599"
20240621,1247,1098,15141,4,"9,401",0.32%,"2,350"
20240620,1771,1542,28664,17,"71,474",0.96%,"4,204"
20240619,1920,1629,34911,18,"46,625",0.94%,"2,590"
20240618,1618,1432,26343,13,"43,654",0.80%,"3,358"
20240617,1839,1619,30056,22,"50,241",1.20%,"2,284"
20240616,1689,1640,21817,5,"9,491",0.30%,"1,898"
20240615,1645,1539,17096,5,"11,042",0.30%,"2,208"
20240614,2420,2153,27837,14,"92,617",0.58%,"6,616"
20240613,3886,3540,48704,32,"210,553",0.82%,"6,580"
20240612,2355,2094,38674,28,"86,870",1.19%,"3,103"
20240611,2353,2136,29821,15,"46,019",0.64%,"3,068"
20240610,1242,1146,13617,2,"4,735",0.16%,"2,367"
20240609,1334,1233,15110,3,"4,457",0.22%,"1,486"
20240608,1138,1041,14290,8,"25,364",0.70%,"3,171"
20240607,1243,1120,15985,7,"13,445",0.56%,"1,921"
20240606,1372,1238,20735,5,"19,393",0.36%,"3,879"
20240605,1956,1726,31450,12,"21,654",0.61%,"1,805"
20240604,1938,1775,25844,8,"18,564",0.41%,"2,320"
20240603,1503,1390,20760,7,"19,777",0.47%,"2,825"
20240602,1750,1623,21260,7,"19,223",0.40%,"2,746"
20240601,1570,1449,17919,2,"6,205",0.13%,"3,103"
20240531,1824,1662,25686,21,"70,733",1.15%,"3,368"
20240530,2998,2648,47562,24,"68,143",0.80%,"2,839"
20240529,2042,1720,54197,44,"125,462",2.15%,"2,851"
20240528,1424,1252,25255,9,"27,205",0.63%,"3,023"
20240527,1417,1234,23361,8,"22,829",0.56%,"2,854"
20240526,1406,1292,24950,9,"22,997",0.64%,"2,555"
20240525,1172,1085,19119,3,"6,650",0.26%,"2,217"
20240524,1115,983,20934,4,"10,204",0.36%,"2,551"
20240523,1372,1185,27872,10,"27,488",0.73%,"2,749"
20240522,2401,2057,57283,31,"71,222",1.29%,"2,297"
20240521,1685,1509,31972,5,"12,716",0.30%,"2,543"
20240520,1756,1491,38491,8,"20,044",0.46%,"2,505"
20240519,1133,1031,21453,3,"5,607",0.26%,"1,869"
20240518,1044,931,18432,4,"6,662",0.38%,"1,665"
20240517,1502,1303,26917,8,"32,079",0.53%,"4,010"
20240516,2155,1834,47457,57,"343,666",2.65%,"6,029"
