日期,事件名稱,事件數,每用戶的事件數,轉換事件數
20240716,page_view,2059,3.47,0
20240716,dimensions,1975,2.62,0
20240716,Scrolling 0%,1699,2.72,0
20240716,view_item,1412,7.28,0
20240716,Scrolling 25%,1371,2.59,0
20240716,user_engagement,1213,2.88,0
20240716,session_start,1006,1.96,0
20240716,Scrolling 50%,993,2.21,0
20240716,first_visit,712,1.81,0
20240716,Scrolling 75%,671,1.96,0
20240716,view_item_list,449,2.49,0
20240716,scroll,381,1.65,0
20240716,product_view,244,8.13,0
20240716,add_to_cart,198,7.07,0
20240716,begin_checkout,170,5.86,0
20240716,Scrolling 100%,154,1.57,0
20240716,form_start,91,2.39,0
20240716,form_submit,64,2.67,0
20240716,remove_from_cart,34,11.33,0
20240716,view_cart,30,2.14,30
20240716,purchase,29,3.22,29
20240716,sign_up,18,3.60,0
20240716,outbound_click,16,1.78,0
20240716,add_payment_info,13,2.17,0
20240716,view_search_results,9,1.80,0
20240716,Measuring Checkout Step5 // Order ID: 31,3,1.00,0
20240716,add_shipping_info,2,1.00,0
20240716,Measuring Purchases // Order ID: 3122091,1,1.00,0
20240716,Measuring Purchases // Order ID: 3122185,1,1.00,0
20240716,Measuring Purchases // Order ID: 3122609,1,1.00,0
20240716,Measuring Purchases // Order ID: 3123046,1,1.00,0
20240716,完成結帳,1,1.00,1
20240716,完成結帳_信用卡_atm,1,1.00,1
20240716,完成結帳_貨到付款,1,1.00,1
20240715,page_view,2829,2.33,0
20240715,dimensions,2697,2.47,0
20240715,Scrolling 0%,2376,2.61,0
20240715,Scrolling 25%,1801,2.61,0
20240715,view_item,1696,6.89,0
20240715,user_engagement,1592,3.07,0
20240715,session_start,1408,1.20,0
20240715,Scrolling 50%,1305,2.42,0
20240715,first_visit,1014,1.00,0
20240715,Scrolling 75%,833,2.26,0
20240715,product_view,532,7.82,0
20240715,scroll,477,1.73,0
20240715,view_item_list,463,2.45,0
20240715,begin_checkout,332,11.45,0
20240715,add_to_cart,267,14.05,0
20240715,Scrolling 100%,157,1.51,0
20240715,remove_from_cart,100,11.11,0
20240715,form_start,85,2.18,0
20240715,view_cart,71,3.23,71
20240715,form_submit,68,2.27,0
20240715,purchase,29,3.22,29
20240715,sign_up,26,3.71,0
20240715,outbound_click,23,1.28,0
20240715,add_payment_info,18,3.00,0
20240715,Measuring Checkout Step5 // Order ID: 31,7,1.40,0
20240715,add_shipping_info,6,6.00,0
20240715,view_search_results,6,1.00,0
20240715,完成結帳,4,1.00,4
20240715,完成結帳_信用卡_atm,4,1.00,4
20240715,完成結帳_貨到付款,4,1.00,4
20240715,Measuring Purchases // Order ID: 3120899,3,3.00,0
20240715,Measuring Purchases // Order ID: 3119846,1,1.00,0
20240715,Measuring Purchases // Order ID: 3119882,1,1.00,0
20240715,Measuring Purchases // Order ID: 3119970,1,1.00,0
20240715,Measuring Purchases // Order ID: 3120741,1,1.00,0
20240714,page_view,4780,1.98,0
20240714,dimensions,4584,2.94,0
20240714,Scrolling 0%,4214,3.00,0
20240714,product_view,3757,8.20,0
20240714,Scrolling 25%,3383,3.15,0
20240714,session_start,2455,1.14,0
20240714,Scrolling 50%,2383,2.79,0
20240714,user_engagement,2055,2.49,0
20240714,view_item,2019,3.58,0
20240714,first_visit,1935,1.00,0
20240714,Scrolling 75%,1595,2.40,0
20240714,scroll,855,1.83,0
20240714,view_item_list,463,2.32,0
20240714,Scrolling 100%,419,1.55,0
20240714,begin_checkout,403,4.24,0
20240714,add_to_cart,200,15.38,0
20240714,remove_from_cart,174,21.75,0
20240714,view_cart,158,1.82,158
20240714,form_start,119,1.70,0
20240714,form_submit,94,1.92,0
20240714,purchase,58,1.93,58
20240714,outbound_click,45,1.18,0
20240714,完成結帳,43,1.54,43
20240714,完成結帳_信用卡_atm,43,1.54,43
20240714,完成結帳_貨到付款,43,1.54,43
20240714,view_search_results,9,1.00,0
20240714,Measuring Checkout Step5 // Order ID: 31,7,1.75,0
20240714,add_payment_info,6,3.00,0
20240714,add_shipping_info,6,3.00,0
20240714,Measuring Purchases // Order ID: 3108877,4,4.00,0
20240714,Measuring Purchases // Order ID: 3116620,1,1.00,0
20240714,Measuring Purchases // Order ID: 3117842,1,1.00,0
20240714,Measuring Purchases // Order ID: 3118985,1,1.00,0
20240714,click_phone,1,1.00,0
20240713,product_view,11126,8.73,0
20240713,page_view,9718,2.00,0
20240713,dimensions,9343,3.73,0
20240713,Scrolling 0%,8740,3.74,0
20240713,Scrolling 25%,7483,3.74,0
20240713,Scrolling 50%,5152,3.09,0
20240713,session_start,4600,1.11,0
20240713,first_visit,3802,1.01,0
20240713,user_engagement,3731,2.82,0
20240713,Scrolling 75%,3323,2.54,0
20240713,view_item,3266,2.71,0
20240713,scroll,1921,1.97,0
20240713,Scrolling 100%,924,1.68,0
20240713,begin_checkout,697,3.37,0
20240713,view_item_list,536,2.25,0
20240713,view_cart,365,1.91,365
20240713,form_start,310,1.97,0
20240713,form_submit,278,2.60,0
20240713,purchase,148,2.18,148
20240713,完成結帳,148,1.92,148
20240713,完成結帳_信用卡_atm,148,1.92,148
20240713,完成結帳_貨到付款,148,1.92,148
