日期,來源,媒介,工作階段,總人數,互動工作階段,新用戶,總營收,交易數
20240701,google,organic,612,572,384,533,"1,998.00",1
20240701,facebook,ad,298,292,88,239,0.00,0
20240701,google,cpc,228,203,146,170,0.00,0
20240701,(direct),(none),131,114,73,90,"3,940.00",2
20240701,phone,line,43,37,18,9,"3,339.00",1
20240701,phone,sms,19,12,10,3,0.00,0
20240701,tw.search.yahoo.com,referral,15,13,11,9,"6,235.00",1
20240701,m.facebook.com,referral,11,11,5,9,0.00,0
20240701,(not set),(not set),9,9,0,0,"1,800.00",1
20240701,member,edm,9,7,4,1,0.00,0
20240701,google,business,5,5,5,4,0.00,0
20240701,l.facebook.com,referral,5,2,3,0,0.00,0
20240701,reurl.cc,referral,5,5,3,5,0.00,0
20240701,baidu,organic,4,4,3,4,0.00,0
20240701,facebook,CPC,3,3,3,3,0.00,0
20240701,access.line.me,referral,2,2,2,0,0.00,0
20240701,facebook.com,referral,2,2,2,2,0.00,0
20240701,groupbuy,chefchouchou,2,2,0,2,0.00,0
20240701,groupbuy,menustudy,2,2,1,0,0.00,0
20240701,groupbuy,rosalinakitchen,2,2,2,2,0.00,0
20240701,l.instagram.com,referral,2,2,0,2,0.00,0
20240701,mitdub.cyberbiz.co,referral,2,1,2,0,0.00,0
20240701,seller.shopee.tw,referral,2,1,0,0,0.00,0
20240701,104.com.tw,referral,1,1,1,1,0.00,0
20240701,bing,organic,1,1,1,1,0.00,0
20240701,facebook,newsfeed,1,1,0,1,0.00,0
20240701,google,cpc_keywords,1,1,0,1,0.00,0
20240701,google,cpc_pmax,1,1,1,1,0.00,0
20240701,mitdub.page.link,referral,1,1,1,0,0.00,0
20240701,webcache.googleusercontent.com,referral,1,1,1,0,0.00,0
20240702,google,organic,657,592,378,544,"4,216.00",2
20240702,google,cpc,520,484,295,437,"1,572.00",1
20240702,facebook,ad,387,375,147,301,0.00,0
20240702,(direct),(none),135,108,79,91,"1,849.00",1
20240702,member,edm,85,72,57,42,"2,279.00",1
20240702,phone,line,32,28,20,11,720.00,1
20240702,(not set),(not set),14,14,0,0,0.00,0
20240702,phone,sms,14,12,4,3,0.00,0
20240702,m.facebook.com,referral,11,11,6,7,0.00,0
20240702,member,(not set),9,9,0,9,0.00,0
20240702,tw.search.yahoo.com,referral,9,8,9,7,0.00,0
20240702,groupbuy,menustudy,4,1,1,0,0.00,0
20240702,mitdub.cyberbiz.co,referral,4,2,4,0,0.00,0
20240702,facebook,newsfeed,3,3,1,2,0.00,0
20240702,google,cpc_pmax,3,3,1,3,0.00,0
20240702,line_oa,referral,3,3,2,2,330.00,1
20240702,access.line.me,referral,2,2,2,0,0.00,0
20240702,bing,organic,2,2,1,1,0.00,0
20240702,l.facebook.com,referral,2,2,2,0,0.00,0
20240702,lm.facebook.com,referral,2,2,1,1,0.00,0
20240702,reurl.cc,referral,2,2,2,2,0.00,0
20240702,104.com.tw,referral,1,1,1,1,0.00,0
20240702,1620.one,referral,1,1,1,1,0.00,0
20240702,google,business,1,1,1,0,0.00,0
20240702,google,cpc_keywords,1,1,1,1,0.00,0
20240702,internalsys.sinlead.com,referral,1,1,0,1,0.00,0
20240702,line_oa,(not set),1,1,1,0,608.00,2
20240702,oil.contenta.tw,referral,1,1,1,1,0.00,0
20240702,yahoo,cpc,1,1,1,1,0.00,0
20240703,google,organic,648,587,382,532,0.00,0
20240703,phone,line,445,391,282,187,"14,147.00",5
20240703,google,cpc,371,350,220,292,0.00,0
20240703,facebook,ad,360,346,152,288,"4,539.00",2
20240703,(direct),(none),121,106,73,90,"3,330.00",2
20240703,member,edm,37,34,26,13,0.00,0
20240703,(not set),(not set),10,10,0,0,0.00,0
20240703,phone,sms,9,5,5,1,0.00,0
20240703,facebook.com,referral,8,8,8,8,0.00,0
20240703,tw.search.yahoo.com,referral,8,8,7,8,0.00,0
20240703,m.facebook.com,referral,5,5,2,5,0.00,0
20240703,groupbuy,menustudy,4,4,3,2,0.00,0
20240703,lm.facebook.com,referral,3,3,2,2,0.00,0
20240703,doyoubo.com.tw,referral,2,2,2,1,0.00,0
20240703,mitdub.cyberbiz.co,referral,2,1,2,0,0.00,0
20240703,oil.contenta.tw,referral,2,1,2,1,0.00,0
20240703,104.com.tw,referral,1,1,0,1,0.00,0
20240703,bing,organic,1,1,1,1,0.00,0
20240703,ecosia.org,organic,1,1,1,1,0.00,0
20240703,facebook,newsfeed,1,1,1,1,0.00,0
20240703,google,cpc_keywords,1,1,1,1,0.00,0
20240703,groupbuy,linkuokuo,1,1,1,1,0.00,0
20240703,instagram.com,referral,1,1,1,1,0.00,0
20240703,reurl.cc,referral,1,1,0,0,0.00,0
20240703,yahoo,organic,1,1,1,1,0.00,0
20240704,google,cpc,580,557,237,506,"5,887.00",1
20240704,google,organic,560,508,336,465,"1,851.00",1
20240704,facebook,ad,231,227,90,195,0.00,0
20240704,(direct),(none),140,127,84,113,0.00,0
