銷貨單號,出貨日期,客戶代碼,客戶名稱,品號,品名,銷售數量,單位,幣別,銷售金額,訂單類型
SO20240301,2024-03-01,C001,Bostitch USA,EW-T50-15GA,氣動釘槍 T50 15GA,800,PCS,USD,102800,常態
SO20240315,2024-03-15,C002,BeA Germany,EW-3000-Pro,專業氣動打釘槍 3000,500,PCS,EUR,71000,常態
SO20240331,2024-03-31,C003,MAX Japan,EW-NT65-J,結構釘槍 NT65,300,PCS,JPY,4740000,常態
SO20240615,2024-06-15,C001,Bostitch USA,EW-T50-15GA,氣動釘槍 T50 15GA,1200,PCS,USD,154200,常態
SO20240720,2024-07-20,C004,Senco Distributor,EW-FN90,完成釘槍 FN90,3500,PCS,USD,406000,專案大單(離群值)
SO20240801,2024-08-01,C005,Paslode AU,EW-IM250-A,瓦斯打釘槍 IM250,400,PCS,AUD,67200,常態
SO20241001,2024-10-01,C001,Bostitch USA,EW-T50-15GA,氣動釘槍 T50 15GA,900,PCS,USD,115650,常態
SO20241015,2024-10-15,C002,BeA Germany,EW-3000-Pro,專業氣動打釘槍 3000,550,PCS,EUR,78100,常態
SO20241201,2024-12-01,C006,Hilti EU,EW-DX5,直接緊固系統 DX5,200,PCS,EUR,42000,常態
SO20250115,2025-01-15,C003,MAX Japan,EW-NT65-J,結構釘槍 NT65,350,PCS,JPY,5530000,常態
SO20250301,2025-03-01,C001,Bostitch USA,EW-T50-15GA,氣動釘槍 T50 15GA,950,PCS,USD,122075,常態
SO20250415,2025-04-15,C002,BeA Germany,EW-3000-Pro,專業氣動打釘槍 3000,600,PCS,EUR,85200,常態
SO20250601,2025-06-01,C001,Bostitch USA,EW-T50-15GA,氣動釘槍 T50 15GA,1300,PCS,USD,167050,季節旺季
SO20250801,2025-08-01,C005,Paslode AU,EW-IM250-A,瓦斯打釘槍 IM250,420,PCS,AUD,70560,常態
SO20251015,2025-10-15,C002,BeA Germany,EW-3000-Pro,專業氣動打釘槍 3000,580,PCS,EUR,82360,常態
SO20251201,2025-12-01,C006,Hilti EU,EW-DX5,直接緊固系統 DX5,180,PCS,EUR,37800,常態
SO20260115,2026-01-15,C001,Bostitch USA,EW-T50-15GA,氣動釘槍 T50 15GA,1000,PCS,USD,128500,常態
SO20260201,2026-02-01,C003,MAX Japan,EW-NT65-J,結構釘槍 NT65,400,PCS,JPY,6320000,常態
SO20260301,2026-03-01,C002,BeA Germany,EW-3000-Pro,專業氣動打釘槍 3000,620,PCS,EUR,88040,常態
SO20260315,2026-03-15,C004,Senco Distributor,EW-FN90,完成釘槍 FN90,800,PCS,USD,92800,常態
SO20260401,2026-04-01,C001,Bostitch USA,EW-T50-15GA,氣動釘槍 T50 15GA,1100,PCS,USD,141350,常態
SO20260415,2026-04-15,C005,Paslode AU,EW-IM250-A,瓦斯打釘槍 IM250,450,PCS,AUD,75600,常態
