異動日期,品號,品名,異動類別,數量,單據編號,備註
2024-08-15,P-TRIGGER-T50,T50 板機,進貨,5000,PO20240815,
2024-11-20,P-TRIGGER-T50,T50 板機,領料,200,M20241120,小批量補
2024-10-22,P-BATTERY-7V,7V 老舊電池模組,進貨,5500,PO20241022,新舊機型過渡採購
2024-03-10,P-COIL-50OLD,舊型 50mm 捲釘體(停產),進貨,12000,PO20240310,客戶最後一批訂單
2025-08-22,P-TRIGGER-T50,T50 板機,領料,150,M20250822,
2025-09-10,P-BATTERY-DX5,DX5 內建電池,進貨,9000,PO20250910,大量補貨
2025-11-20,P-RUBBER-3000,3000 緩衝橡膠,領料,400,M20251120,
2025-12-15,P-MAGAZINE-FN90,FN90 釘匣,領料,200,M20251215,
2026-01-10,P-TRIGGER-T50,T50 板機,領料,80,M20260110,小批量補
2026-02-15,P-BATTERY-DX5,DX5 內建電池,領料,300,M20260215,
2026-03-22,P-BARREL-3000,3000 槍管組,進貨,2000,PO20260112,
2026-04-08,P-FRAME-FN90,FN90 機身,領料,200,M20260408,
2026-04-10,P-FRAME-IM250,IM250 機身,領料,300,M20260410,
2026-04-12,P-PISTON-IM250,IM250 活塞組,領料,250,M20260412,
2026-04-15,P-MAGAZINE-NT65,NT65 釘匣,領料,150,M20260415,
2026-04-20,P-FRAME-DX5,DX5 機身,領料,200,M20260420,
2026-04-28,P-FRAME-NT65,NT65 機身,領料,300,M20260428,
2026-05-06,P-PIN-3000,3000 撞針,領料,500,M20260506,
2026-05-07,P-FRAME-3000,3000 機身,領料,400,M20260507,
2026-05-08,P-FRAME-T50,T50 機身,領料,500,M20260508,
2026-05-10,P-SPRING-T50,T50 彈簧組,進貨,3000,PO20260501,
2026-05-11,P-SCREW-M4,M4 螺絲組,領料,800,M20260511,
2026-05-20,P-MOTOR-DX5,DX5 觸發馬達,進貨,800,PO20260120,
