品牌,碳粉匣/墨水型號,品名規格,適用機型,副/原廠,數量,單位,"印表大王
蝦皮定價","印表大王LINE
線下售價",618年中慶
brother,TN269BK,brother L3280CDW TN269BK副廠標容黑色碳粉匣,"HL-L3280CDW,MFC-L3760CDW,MFC-L3780CDW",副廠,1.0,盒,1390.0,1390.0,X
brother,TN269LC,brother L3280CDW TN269LC副廠標容藍色碳粉匣,"HL-L3280CDW,MFC-L3760CDW,MFC-L3780CDW",副廠,1.0,盒,1390.0,1390.0,X
brother,TN269LM,brother L3280CDW TN269LM副廠標容量洋紅色碳粉匣,"HL-L3280CDW,MFC-L3760CDW,MFC-L3780CDW",副廠,1.0,盒,1390.0,1390.0,X
brother,TN269LY,brother L3280CDW TN269LY副廠標容黃色碳粉匣,"HL-L3280CDW,MFC-L3760CDW,MFC-L3780CDW",副廠,1.0,盒,1390.0,1390.0,X
brother,TN269XLBK,brother L3280CDW TN269XLBK副廠高容黑色碳粉匣,"HL-L3280CDW,MFC-L3760CDW,MFC-L3780CDW",副廠,1.0,盒,1890.0,1890.0,X
brother,TN269XLC,brother L3280CDW TN269XLC副廠高容藍色碳粉匣,"HL-L3280CDW,MFC-L3760CDW,MFC-L3780CDW",副廠,1.0,盒,1890.0,1890.0,X
brother,TN269XLM,brother L3280CDW TN269XLM副廠高容洋紅色碳粉匣,"HL-L3280CDW,MFC-L3760CDW,MFC-L3780CDW",副廠,1.0,盒,1890.0,1890.0,X
brother,TN269XLY,brother L3280CDW TN269XLY副廠高容黃色碳粉匣,"HL-L3280CDW,MFC-L3760CDW,MFC-L3780CDW",副廠,1.0,盒,1890.0,1890.0,X
brother,TN451BK,brother L8360CDW TN451BK副廠標容黑色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,950.0,950.0,X
brother,TN451C,brother L8360CDW TN451LC副廠標容藍色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,950.0,950.0,X
brother,TN451M,brother L8360CDW TN451LM副廠標容量洋紅色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,950.0,950.0,X
brother,TN451Y,brother L8360CDW TN451LY副廠標容黃色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,950.0,950.0,X
brother,TN456XLBK,brother L8360CDW TN456XLBK副廠高容黑色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,1050.0,1050.0,X
brother,TN456XLC,brother L8360CDW TN456XLC副廠高容藍色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,1050.0,1050.0,X
brother,TN456XLM,brother L8360CDW TN456XLM副廠高容洋紅色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,1050.0,1050.0,X
brother,TN456XLY,brother L8360CDW TN456XLY副廠高容黃色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,1050.0,1050.0,X
brother,TN459XLBK,brother L8360CDW TN459XLBK副廠高容黑色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,1890.0,1890.0,X
brother,TN459XLC,brother L8360CDW TN459XLC副廠高容藍色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,1890.0,1890.0,X
brother,TN459XLM,brother L8360CDW TN459XLM副廠高容洋紅色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,1890.0,1890.0,X
brother,TN459XLY,brother L8360CDW TN459XLY副廠高容黃色碳粉匣,"HL-L8360CDW,MFC-L8900CDW",副廠,1.0,盒,1890.0,1890.0,X
EPSON,S110079,EPSON S110079/AL-M310 環保碳匣R,"AL-M220DN,AL-M310DN,AL-M320DN",副廠,1.0,盒,1890.0,1890.0,V
EPSON,S110080,EPSON S110080 環保碳匣R,"AL-M220DN,AL-M310DN,AL-M320DN",副廠,1.0,盒,1480.0,1480.0,V
EPSON,T03Q100,Epson-M1170 T03Q100副廠黑色高容量墨水,"M1100,M1120,M1170,M2110,M2120,M2140,M2170,M2050,M3170",副廠,1.0,盒,360.0,360.0,X
HP,CE505X,HP CE505X 環保碳匣R,"LaserJet P2055d,LaserJet P2055dn,LaserJet P2055x,",副廠,1.0,盒,1245.0,1245.0,V
HP,CF217A,HP CF217A 環保碳粉匣,"LaserJet Pro M102a / M102w,LaserJet Pro MFP M130a / M130fn / M130fw / M130nw,LaserJet Pro MFP M132a / M132fn / M132fp / M132fw / M132nw / M132snw",副廠,1.0,盒,940.0,940.0,V
HP,CF214A,HP M712/CF214A 環保碳粉匣R,"LaserJet Enterprise 700 M712n / M712dn / M712xh,LaserJet Enterprise MFP M725dn / M725f,M725z,M725z+",副廠,1.0,盒,2499.0,2499.0,V
HP,CF214X,HP M712/CF214X 環保碳粉匣,"LaserJet Enterprise 700 M712n / M712dn / M712xh,LaserJet Enterprise MFP M725dn / M725f,M725z,M725z+",副廠,1.0,盒,2999.0,2999.0,V
