預收單號,日期,品名,數量,單價,"銷貨單總額
（含稅）",發票號碼,性質,餘額,,出貨單號,日期,品名,數量,單價,金額,表頭備註,寄倉狀態
KE20190700448,2019-07-18,FUJI C3350 黃色碳粉匣(雙包裝),2.0,4172.5,8345,RS39081341,預收,0.0,,KE20191000906,2019-10-25,XEROX C3350 碳粉匣-黑色 B,1.0,2432.0,2432,寄倉出貨:KE20190700448，剩餘$8345(剩餘寄倉1C+1Y),餘C3350 一套
KE20190700448,2019-07-18,FUJI C3350 青色碳粉匣(雙包裝),2.0,4172.5,8345,RS39081341,預收,,,KE20191000906,2019-10-25,XEROX C3350 碳粉匣-青色 B,1.0,4173.0,4173,,
KE20190700450,2019-07-18,FUJI C3350 黑色碳粉匣(雙包裝),2.0,2432.0,4864,RS39081342,預收,0.0,,KE20191000906,2019-10-25,XEROX C3350 碳粉匣-紅色 B,1.0,4172.5,4172.5,寄倉出貨:KE20190700450，剩餘$6604.5(剩餘寄倉1K+1M),
KE20190700450,2019-07-18,FUJI C3350 紅色碳粉匣(雙包裝),2.0,4172.5,8345,RS39081342,預收,,,KE20191000906,2019-10-25,XEROX C3350 碳粉匣-黃色 B,1.0,4172.5,4172.5,,
MB20200700042,2020-07-27,K M C360 黃色高容量碳粉匣,1.0,10660.0,10660,CS39487217,預收,0.0,,KE20210200420,2021-02-22,FUJI C5005 碳粉匣-黑色 B,1.0,4661.0,4661,"KE20210200420($19061)-EK20210200032($4112)=14949(剩餘需負擔費用)由預收貨款扣除
沖預收KE20190700448($8345)、預收KE20190700450($6604) 剩餘餘額=$0",餘額$0
MB20200700043,2020-07-27,K M C360 紅色高容量碳粉匣,1.0,10660.0,10660,CS39487252,預收,4847.0,,,,FUJI C5005 碳粉匣-藍色 B,1.0,7180.0,7200.0,,
MB20200700044,2020-07-27,FUJI C5005 藍色碳粉匣,1.0,9375.0,9375,CS39487218,預收,0.0,,,,FUJI C5005 碳粉匣-紅色 B,1.0,7180.0,7200.0,,
,2020-07-27,FUJI C5005 紅色碳粉匣,1.0,9375.0,9375,CS39487218,預收,,,EK20210200032,TP0003-45,XEROX C3350 碳粉匣,1.0,-4112.0,-4112.0,,
,2020-07-27,FUJI C5005 黃色碳粉匣,1.0,9375.0,9375,CS39487218,預收,,,KE20210800755,2021-08-27,XEROX C5005d碳粉匣-黑色 B,1.0,8345.0,8345,沖預收MB20200700044$28125後，餘$0(已結案)；MB20200700045$17220後，餘$0(已結案)。,餘額$0
MB20200700045,2020-07-27,FUJI C5005 黑色碳粉匣,1.0,8345.0,8345,CS39487219,預收,0.0,,,,XEROX C5005d碳粉匣-藍色 B,1.0,9375.0,9375,,
,2020-07-27,FUJI C5005 黃色碳粉匣,1.0,9375.0,9375,CS39487219,預收,,,,,XEROX C5005d碳粉匣-紅色 B,1.0,9375.0,9375,,
MB20211000049,2021-10-27,KONICA MINOLTA C368 黑色碳粉匣(OD標容),1.0,7037.0,7037,,預收,0.0,,,,XEROX C5005d碳粉匣-黃色 B,2.0,9375.0,18750,,
,,KONICA MINOLTA C368 紅色碳粉匣(OD標容),1.0,9436.0,9436,,預收,,,KE20211200405,2021-12-07,K.M C258/308/368碳粉匣 黑 B,1.0,7037.0,7037,沖預收MB20211000049 $35345後，餘$0。(已結案),餘額$0
,,KONICA MINOLTA C368 黃色碳粉匣(OD標容),1.0,9436.0,9436,,預收,,,,,K.M C258/308/368碳粉匣 青 B,1.0,9436.0,9436,,
,,KONICA MINOLTA C368 青色碳粉匣(OD標容),1.0,9436.0,9436,,預收,,,,,K.M C258/308/368碳粉匣 紅 B,1.0,9436.0,9436,,
MB20230300040,2023-03-24,KONICA MINOLTA C368 廢粉回收盒(OD),1.0,3500.0,3500,,預收,7000.0,,,,K.M C258/308/368碳粉匣 黃 B,1.0,9436.0,9436,,
,,Fuji C5005 廢粉回收盒(OD),1.0,3500.0,3500,,預收,,,KE20230400771,2023-04-21,K.M C258/C368/TN324碳粉匣-黑-B,1.0,7037.0,7037,沖預收MB20230400028 餘額$42382-$7037=$35345(未結案)。,餘額$35345
MB20230400028,2023-04-21,KONICA MINOLTA C368 黑色碳粉匣(OD標容),2.0,7037.0,14074,,預收,0.0,,KE20240300761,2024-03-15,KONICA MINOLTA C368黑色碳粉匣,1.0,7037.0,7037,沖預收MB20230400028餘$35345-$35345=$0已結案),0.0
,,KONICA MINOLTA C368 紅色碳粉匣(OD低容),1.0,9436.0,9436,,預收,,,,,KONICA MINOLTA C368青色碳粉匣,1.0,9436.0,9436,,
,,KONICA MINOLTA C368 黃色碳粉匣(OD低容),1.0,9436.0,9436,,預收,,,,,KONICA MINOLTA C368黃色碳粉匣,1.0,9436.0,9436,,
,,KONICA MINOLTA C368 藍色碳粉匣(OD低容),1.0,9436.0,9436,,預收,,,,,KONICA MINOLTA C368紅色碳粉匣,1.0,9436.0,9436,,
MB20231100079,2023-11-16,KONICA MINOLTA C368 黑色碳粉匣(OD標容),1.0,7037.0,7037,,預收,"0
已申請贈品",,KE20240700595,2024-07-11,KONICA MINOLTA C368黑色碳粉匣,1.0,7037.0,7037,"沖預收MB20200700042餘額$10660-$10660=$0(已結案)
沖預收MB20200700043餘額$10660-$5813=$4847(未結案)",
,,KONICA MINOLTA C368 紅色碳粉匣(OD低容),1.0,9436.0,9436,,預收,,,,,KONICA MINOLTA C368黃色碳粉匣,1.0,9436.0,9436,,
,,KONICA MINOLTA C368 黃色碳粉匣(OD低容),1.0,9436.0,9436,,預收,,,KE20250100444,2025-01-09,KONICA MINOLTA C368 黑色碳粉匣(OD標容),1.0,7037.0,7037,扣預收單MB20231100079$35345-$16473=餘$18872,
,,KONICA MINOLTA C368 藍色碳粉匣(OD低容),1.0,9436.0,9436,,預收,,,,,KONICA MINOLTA C368 藍色碳粉匣(OD標容),1.0,9436.0,9436,,
MB20240300034,2024-03-18,KONICA MINOLTA C368 黑色碳粉匣(OD標容),1.0,7037.0,7037,,預收,56725.0,,KE20250500933,2025-05-14,KONICA MINOLTA C368黑色碳粉匣,1.0,7037.0,7037,沖預收：MB20231100079 $18872-$16473=$2399(未結案),
,,KONICA MINOLTA C368 紅色碳粉匣(OD標容),1.0,9436.0,9436,,預收,,,,,KONICA MINOLTA C368黃色碳粉匣,1.0,9436.0,9436,,
,,KONICA MINOLTA C368 黃色碳粉匣(OD標容),1.0,9436.0,9436,,預收,,,KE20250701077,2025-07-21,KONICA MINOLTA C368 轉寫皮帶組,1.0,32890.0,32890,建議售價$25000(已過);扣預收MB20250500050$32890-$32890=0可結案,
,,KONICA MINOLTA C368 藍色碳粉匣(OD標容),1.0,9436.0,9436,,預收,,,KE20250701254,2025-07-24,KONICA MINOLTA C368 黑色碳粉匣(OD標容),1.0,7037.0,7037,扣預收MB20250700075$35345-$35345=0可結案,
,,KONICA MINOLTA C368 黑色感光滾筒,1.0,21380.0,21380,,預收,,,,,KONICA MINOLTA C368 紅色碳粉匣(OD標容),1.0,9436.0,9436,,
MB20240300035,2024-03-18,KONICA MINOLTA C368 黃色感光滾筒,1.0,23677.0,23677,,預收,23677.0,,,,KONICA MINOLTA C368 黃色碳粉匣(OD標容),1.0,9436.0,9436,,
MB20240600016,2024-06-05,預收貨款,1.0,17720.0,17720.0,,預收,17720.0,,,,KONICA MINOLTA C368 藍色碳粉匣(OD標容),1.0,9436.0,9436,,
MB20240600017,2024-06-05,預收貨款,1.0,18750.0,0.0,預收歸零,預收,0.0,,KE20251101295,2025-11-19,XEROX C5005d碳粉匣-黑-B,1.0,4412.0,4412,"扣預收MB20231100079$2399-$2399=0可結案
扣預收MB20241000056$35345-$2013=餘$33332未結案",
MB20241000056,2024-10-14,KONICA MINOLTA C368 黑色碳粉匣(OD標容),1.0,7037.0,7037,,預收,"33332
已申請贈品",,,,,,,,,
,,KONICA MINOLTA C368 紅色碳粉匣(OD標容),1.0,9436.0,9436,,預收,,,,,,,,,,
,,KONICA MINOLTA C368 黃色碳粉匣(OD標容),1.0,9436.0,9436,,預收,,,,,,,,,,
,,KONICA MINOLTA C368 藍色碳粉匣(OD標容),1.0,9436.0,9436,,預收,,,,,,,,,,
MB20250200030,2025-02-13,預收貨款,1.0,34416.0,34416,,預收,34416.0,,,,,,,,,
MB20250500050,2025-05-08,KONICA MINOLTA C368 轉寫皮帶組,1.0,32890.0,32890.0,,預收,0.0,,,,,,,,,
MB20250700075,2025-07-21,KONICA MINOLTA C368 黑色碳粉匣(OD標容),1.0,7037.0,7037,,預收,0.0,,,,,,,,,
