料號,品名,規格,單位,替代料號,最後維護日
M-SH-001,SGCC 鈑金,1.0 mm × 1219 × 2438,張,M-SH-101,2026-05-01
M-SH-002,SGCC 鈑金,1.2 mm × 1219 × 2438,張,M-SH-102,2026-05-01
M-SH-003,SUS304 鈑金,1.0 mm × 1219 × 2438,張,M-SH-103,2026-05-01
M-SH-004,Al5052 鋁板,1.5 mm × 1000 × 2000,張,M-SH-104,2026-05-01
M-FA-001,M3 × 8 防拆螺絲,304 不鏽鋼,顆,M-FA-101,2026-04-15
M-FA-002,M4 × 10 內六角,304 不鏽鋼,顆,M-FA-102,2026-04-15
M-FA-003,M3 × 6 自攻螺絲,鍍鋅碳鋼,顆,-,2026-04-15
M-CN-001,USB 3.0 Type-A 連接器,公頭,顆,M-CN-101,2026-03-20
M-CN-002,RJ45 連接器,Cat6,顆,M-CN-102,2026-03-20
M-FN-001,80mm × 80mm × 25mm 風扇,12V / 0.30A / 3000RPM,顆,M-FN-101,2026-04-01
M-FN-002,80mm × 80mm × 38mm 高速風扇,12V / 0.60A / 5000RPM,顆,M-FN-102,2026-04-01
M-EP-001,EPDM 密封條,寬 10 mm × 厚 3 mm,公尺,M-EP-101,2026-03-10
M-EP-002,EPDM 密封條,寬 12 mm × 厚 5 mm,公尺,M-EP-102,2026-03-10
