日期,客戶代碼,客戶名稱,通路類別,業務人員,產品代號,產品名稱,數量,單價,金額
2026-04-01,C001,里仁宜蘭店,有機通路,張小婷,P001,有機優蛋白滴積精,120,180,21600
2026-04-01,C001,里仁宜蘭店,有機通路,張小婷,P004,甘糀,30,420,12600
2026-04-02,C015,杏一藥局信義店,藥局,陳大明,P001,有機優蛋白滴積精,200,180,36000
2026-04-02,C022,聖德科斯北市總店,有機通路,張小婷,P002,烏梅汁,80,295,23600
2026-04-03,C015,杏一藥局信義店,藥局,陳大明,P001,有機優蛋白滴積精,150,180,27000
2026-04-03,C030,無毒有偶台中店,有機通路,陳大明,P003,有機胡蘿蔔汁,50,285,14250
2026-04-04,C001,里仁宜蘭店,有機通路,張小婷,P005,有機紅棗茶,25,380,9500
2026-04-05,C055,大樹藥局板橋店,藥局,陳大明,P001,有機優蛋白滴積精,180,180,32400
2026-04-07,C001,里仁宜蘭店,有機通路,張小婷,P006,黑豆水,40,150,6000
2026-04-08,C015,杏一藥局信義店,藥局,陳大明,P004,甘糀,15,420,6300
2026-04-10,C088,官網會員-CYBERBIZ,官網,系統,P001,有機優蛋白滴積精,12,200,2400
2026-04-10,C088,官網會員-CYBERBIZ,官網,系統,P007,GABA安心茶,8,420,3360
2026-04-12,C022,聖德科斯北市總店,有機通路,張小婷,P001,有機優蛋白滴積精,160,180,28800
2026-04-15,C030,無毒有偶台中店,有機通路,陳大明,P004,甘糀,22,420,9240
2026-04-18,C055,大樹藥局板橋店,藥局,陳大明,P001,有機優蛋白滴積精,200,180,36000
2026-04-20,C001,里仁宜蘭店,有機通路,張小婷,P002,烏梅汁,100,295,29500
2026-04-22,C088,官網會員-CYBERBIZ,官網,系統,P004,甘糀,18,450,8100
2026-04-25,C015,杏一藥局信義店,藥局,陳大明,P001,有機優蛋白滴積精,250,180,45000
2026-04-28,C022,聖德科斯北市總店,有機通路,張小婷,P005,有機紅棗茶,30,380,11400
2026-04-30,C001,里仁宜蘭店,有機通路,張小婷,P001,有機優蛋白滴積精,180,180,32400
