訂單號,訂單序號,訂單版本,主鍵標示,客戶簡稱,客戶簡碼,款號,款號名稱,COLORWAY,客戶款號代碼,訂單數量,加產數量,客戶訂單號,款號尺寸,下單日期,客戶要求交期,建立日期,生效日期
VS2501001,1,1,VS2501001-1,CALIFORNIA INNOVATIONS,CAU,CIS020C26Z14,"SAM'S 26""大購物袋",Z14/粉色,2173SUP18001,15120,5,SL006793~SL006804,,2025/1/1,2025/6/5 下午 11:00:00,2025/1/2,2025/1/2
VS2501001,2,1,VS2501001-2,CALIFORNIA INNOVATIONS,CAU,CIS020C26Z15,"SAM'S 26""大購物袋",Z15/深綠,2173SUP18001,16128,5,SL006793~SL006804,,2025/1/1,2025/6/5 下午 11:00:00,2025/1/2,2025/1/2
VS2501001,3,1,VS2501001-3,CALIFORNIA INNOVATIONS,CAU,CIS020C26Z16,"SAM'S 26""大購物袋",Z16/藍色豎向條紋印花,2173SUP18001,21168,5,SL006793~SL006804,,2025/1/1,2025/6/5 下午 11:00:00,2025/1/2,2025/1/2
VS2501001,4,1,VS2501001-4,CALIFORNIA INNOVATIONS,CAU,CIS020C26Z09,"SAM'S 26""大購物袋",Z09/紅白橫向條紋印花,2173SUP18001,18144,5,SL006793~SL006804,,2025/1/1,2025/6/5 下午 11:00:00,2025/1/2,2025/1/2
VS2501002,1,1,VS2501002-1,CALIFORNIA INNOVATIONS,CAU,CIW063C9Z0,9罐無拉鏈冰袋,橄欖綠/Z0,10003035,30000,5,BLK_SL006239A~6240A,,2025/1/2,2025/3/19 下午 11:00:00,2025/1/3,2025/1/3
VS2501002,2,1,VS2501002-2,CALIFORNIA INNOVATIONS,CAU,CIW063C12Z0,16罐無拉鏈冰袋,橄欖綠/Z0,10003036,30000,5,BLK_SL006239A~6240A,,2025/1/2,2025/3/19 下午 11:00:00,2025/1/3,2025/1/3
VS2501003,1,1,VS2501003-1,CALIFORNIA INNOVATIONS,CAU,CIW028C8-2Z1,"8-2""方形午餐袋",Z1/水彩蝴蝶印花,10005653,40960,5,SL006805~6808,,2025/1/2,2025/3/14 下午 11:00:00,2025/1/3,2025/1/3
VS2501004,1,1,VS2501004-1,CALIFORNIA INNOVATIONS,CAU,CIS018C26Z10,"SAM'S 26""大購物袋",Z10/深海軍網格印花,2173SUP18001,2940,11,SL006750,,2025/1/5,2025/3/27 下午 11:00:00,2025/1/6,2025/1/6
VS2501004,2,1,VS2501004-2,CALIFORNIA INNOVATIONS,CAU,CIS018C26Z13,"SAM'S 26""大購物袋",Z13/線條灰印花,2173SUP18001,2940,11,SL006750,,2025/1/5,2025/3/27 下午 11:00:00,2025/1/6,2025/1/6
VS2501005,1,1,VS2501005-1,CALIFORNIA INNOVATIONS,CAU,CIW028C10P1,"10""側開午餐袋（無插扣）",P1/紫色,10005642,2532,0,BLK-SL006238,,2025/1/6,2025/3/31 下午 11:00:00,2025/1/7,2025/1/7
VS2501005,2,1,VS2501005-2,CALIFORNIA INNOVATIONS,CAU,CIW028C11Z0,"11""側開午餐袋(帶插扣)",Z0/抹茶迷彩印花,10005640,9042,0,BLK-SL006238,,2025/1/6,2025/3/31 下午 11:00:00,2025/1/7,2025/1/7
VS2501005,3,1,VS2501005-3,CALIFORNIA INNOVATIONS,CAU,CIW028C11Z1,"11""側開午餐袋(帶插扣)",Z1/夜空獨角獸印花,10005641,2532,0,BLK-SL006238,,2025/1/6,2025/3/31 下午 11:00:00,2025/1/7,2025/1/7
VS2501006,1,1,VS2501006-1,CALIFORNIA INNOVATIONS,CAU,CIW015C8-1Z3,8-1寸方形午餐袋,Z3/PR1818 四維立體印花,10004622,30720,5,SL006809~SL006811,,2025/1/6,2025/4/21 下午 11:00:00,2025/1/7,2025/1/7
VS2501007,1,1,VS2501007-1,Samsonite,SAM,SAM100B17.3G0,"17.3""背包(NU ROAD)",灰色/槍色,140499-1412,920,0,NA01260596,,2025/1/8,2025/6/9 下午 11:00:00,2025/1/9,2025/1/9
VS2501007,2,1,VS2501007-2,Samsonite,SAM,SAM100B15.6G0,"15.6""背包(NU ROAD)",灰色/槍色,140500-1412,860,0,NA01260596,,2025/1/8,2025/6/9 下午 11:00:00,2025/1/9,2025/1/9
VS2501007,3,1,VS2501007-3,Samsonite,SAM,SAM102B14P1,14.1''背包(NU ROAD),午夜紫/白叻色,140554-1705,1200,0,NA01260596,,2025/1/8,2025/6/9 下午 11:00:00,2025/1/9,2025/1/9
VS2501008,1,1,VS2501008-1,Samsonite,SAM,SAM100B17.3G0,"17.3""背包(NU ROAD)",灰色/槍色,140499-1412,3,0,NA01260596-產前樣,,2025/1/8,2025/4/18 下午 11:00:00,2025/1/9,2025/1/9
VS2501008,2,1,VS2501008-2,Samsonite,SAM,SAM100B15.6G0,"15.6""背包(NU ROAD)",灰色/槍色,140500-1412,3,0,NA01260596-產前樣,,2025/1/8,2025/4/18 下午 11:00:00,2025/1/9,2025/1/9
VS2501008,3,1,VS2501008-3,Samsonite,SAM,SAM102B14P1,14.1''背包(NU ROAD),午夜紫/白叻色,140554-1705,3,0,NA01260596-產前樣,,2025/1/8,2025/4/18 下午 11:00:00,2025/1/9,2025/1/9
VS2501009,1,1,VS2501009-1,SPG,SPG,SPG210K131T0,工具袋,CARHARTT BROWN 棕色,B000052121199,16,0,27221,,2025/1/8,2025/5/11 下午 11:00:00,2025/1/9,2025/1/10
VS2501010,1,1,VS2501010-1,SPG,SPG,SPG210K131A0,工具袋,BLACK 黑色,B000052100199,16,0,27227,,2025/1/8,2025/5/11 下午 11:00:00,2025/1/9,2025/1/10
VS2501011,1,1,VS2501011-1,SPG,SPG,SPG171B10T0,12罐冰袋,CARHARTT BROWN棕色,B000054621199,3696,0,27293,,2025/1/8,2025/4/15 下午 11:00:00,2025/1/9,2025/1/10
VS2501011,2,1,VS2501011-2,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,4260,0,27293,,2025/1/8,2025/4/15 下午 11:00:00,2025/1/9,2025/1/10
VS2501011,3,1,VS2501011-3,SPG,SPG,SPG171B10G0,12罐冰袋,GRAVEL灰色,B000054603999,1464,0,27293,,2025/1/8,2025/4/15 下午 11:00:00,2025/1/9,2025/1/10
VS2501012,1,1,VS2501012-1,SPG,SPG,SPG210K11A0,"25""多功能旅行袋C0（常規）",黑色,B000049900199,2008,0,27293,,2025/1/8,2025/4/15 下午 11:00:00,2025/1/9,2025/1/10
VS2501012,2,1,VS2501012-2,SPG,SPG,SPG210K5T0,女士生活用品袋C0（常規）,棕色 CARHARTT BROWN,B000051221199,2040,0,27293,,2025/1/8,2025/4/15 下午 11:00:00,2025/1/9,2025/1/10
VS2501012,3,1,VS2501012-3,SPG,SPG,SPG210K8A0,手提午餐袋C0（常規）,黑色,B000054300199,2272,0,27293,,2025/1/8,2025/4/15 下午 11:00:00,2025/1/9,2025/1/10
VS2501012,4,1,VS2501012-4,SPG,SPG,SPG210K8T0,手提午餐袋C0（常規）,棕色 CARHARTT BROWN,B000054321199,2000,0,27293,,2025/1/8,2025/4/15 下午 11:00:00,2025/1/9,2025/1/10
VS2501013,1,1,VS2501013-1,Travelpro,TLP,TLP100G19G5,"39""西裝套",GREY/灰色,40218AE05,800,1,OB#13100,,2025/1/9,2025/4/29 下午 11:00:00,2025/1/10,2025/1/11
VS2501014,1,1,VS2501014-1,Travelpro,TLP,TLP120B18.5B0,"18.5""大號電腦背包",AVIATOR NAVY / 海藍色,430245822,600,1,OB#13099,,2025/1/9,2025/4/22 下午 11:00:00,2025/1/10,2025/1/11
VS2501014,2,1,VS2501014-2,Travelpro,TLP,TLP120D9G0,"9""組織功能袋",FALCON GREY / 灰色,43024AZ05,600,1,OB#13099,,2025/1/9,2025/4/29 下午 11:00:00,2025/1/10,2025/1/11
VS2501014,3,1,VS2501014-3,Travelpro,TLP,TLP120D9B0,"9""組織功能袋",AVIATOR NAVY / 海藍色,43024AZ22,600,1,OB#13099,,2025/1/9,2025/4/29 下午 11:00:00,2025/1/10,2025/1/11
VS2501014,4,1,VS2501014-4,Travelpro,TLP,TLP120B17.5B0,"17.5""小號電腦背包",AVIATOR NAVY / 海藍色,430240622,600,1,OB#13099,,2025/1/9,2025/4/29 下午 11:00:00,2025/1/10,2025/1/11
VS2501014,5,1,VS2501014-5,Travelpro,TLP,TLP120B18G0,"18""中號電腦背包",FALCON GREY / 灰色,430240005,600,1,OB#13099,,2025/1/9,2025/5/2 下午 11:00:00,2025/1/10,2025/1/11
VS2501014,6,1,VS2501014-6,Travelpro,TLP,TLP120B18B0,"18""中號電腦背包",AVIATOR NAVY / 海藍色,430240022,600,1,OB#13099,,2025/1/9,2025/5/2 下午 11:00:00,2025/1/10,2025/1/11
VS2501015,1,1,VS2501015-1,Samsonite,SAM,SAM220K15N0,"15.55""背包（ Backpack）",深藍色NAVY,149196-1596,300,0,NA01263457,,2025/1/12,2025/6/6 下午 11:00:00,2025/1/13,2025/1/14
VS2501015,2,1,VS2501015-2,Samsonite,SAM,SAM220K15W0,"15.55""背包（ Backpack）",白色OFF-WHITE,149196-1627,350,0,NA01263457,,2025/1/12,2025/6/6 下午 11:00:00,2025/1/13,2025/1/14
VS2501015,3,1,VS2501015-3,Samsonite,SAM,SAM220K15L0,"15.55""背包（ Backpack）",橄欖綠PINE GREEN,149196-1693,450,0,NA01263457,,2025/1/12,2025/6/6 下午 11:00:00,2025/1/13,2025/1/14
VS2501015,4,1,VS2501015-4,Samsonite,SAM,SAM220K12W0,"17.71""旅行袋(Weekender)",白色OFF-WHITE,149197-1627,200,0,NA01263457,,2025/1/12,2025/6/6 下午 11:00:00,2025/1/13,2025/1/14
VS2501017,1,2,VS2501017-1,CALIFORNIA INNOVATIONS,CAU,CIW029C8Z1,"8""方形午餐袋",Z1/四維立體印花,10004622,81920,5,SL006821~SL006832,,2025/1/14,2025/5/19 下午 11:00:00,2025/1/15,2025/1/15
VS2501017,2,1,VS2501017-2,CALIFORNIA INNOVATIONS,CAU,CIW015C10-2A0,"10-2""側開午餐袋(無插扣)",A0/黑色/灰色,10004630,28288,5,SL006821~SL006832,,2025/1/14,2025/5/12 下午 11:00:00,2025/1/15,2025/1/15
VS2501018,1,1,VS2501018-1,CALIFORNIA INNOVATIONS,CAU,CIW063C9Z0,9罐無拉鏈冰袋,橄欖綠/Z0,10003035,40000,5,BLK_SL006239B~6240B,,2025/1/14,2025/3/30 下午 11:00:00,2025/1/15,2025/1/18
