指定生產線,訂單號,客戶簡碼,款號型体,款號名稱,颜色,款号代码,订单号,下單日期,客戶要求交期,訂單數量,加產數量,總數量,排程时间,"预计出成品
日期",已出口的数量,"未出口
数量"
,VS2409027,CAU,CIG043C13P0,P0/粉色,16罐手提冰袋,10005217,BLK_SL006032A,2024/9/24,2024/11/30,10092,5,10097,2024/9/28,2024/11/6,7876,2221
,VS2409027,CAU,CIG043C9B1,B1/淺藍色,9罐手提冰袋,10005218,BLK_SL006032A,2024/9/24,2024/11/30,22500,5,22505,2024/9/28,2024/11/13,18710,3795
,VS2501001,CAU,CIS020C26Z14,Z14/粉色,"SAM'S 26""大購物袋",2173SUP18001,SL006793~SL006804,2025/1/1,2025/6/5,15120,5,15125,2025.01.22,2025/5/27,15125,0
,VS2501001,CAU,CIS020C26Z15,Z15/深綠,"SAM'S 26""大購物袋",2173SUP18001,SL006793~SL006804,2025/1/1,2025/6/5,16128,5,16133,2025.01.22,2025/5/27,16133,0
,VS2501001,CAU,CIS020C26Z16,Z16/藍色豎向條紋印花,"SAM'S 26""大購物袋",2173SUP18001,SL006793~SL006804,2025/1/1,2025/6/5,21168,5,21173,2025.01.22,2025/5/27,21173,0
,VS2501001,CAU,CIS020C26Z09,Z09/紅白橫向條紋印花,"SAM'S 26""大購物袋",2173SUP18001,SL006793~SL006804,2025/1/1,2025/6/5,18144,5,18149,2025.01.22,2025/5/27,18149,0
,VS2501002,CAU,CIW063C9Z0,橄欖綠/Z0,9罐無拉鏈冰袋,10003035,BLK_SL006239A~6240A,2025/1/2,2025/3/19,30000,5,30005,2025.01.22,2025/3/14,30005,0
,VS2501002,CAU,CIW063C12Z0,橄欖綠/Z0,16罐無拉鏈冰袋,10003036,BLK_SL006239A~6240A,2025/1/2,2025/3/19,30000,5,30005,2025.01.22,2025/3/13,30005,0
,VS2501003,CAU,CIW028C8-2Z1,Z1/水彩蝴蝶印花,"8-2""方形午餐袋",10005653,SL006805~6808,2025/1/2,2025/3/14,40960,5,40965,2025.01.25,2025/2/25,40965,0
,VS2501004,CAU,CIS018C26Z10,Z10/深海軍網格印花,"SAM'S 26""大購物袋",2173SUP18001,SL006750,2025/1/3,2025/3/27,2940,11,2951,2025.01.22,2025/3/20,2951,0
,VS2501004,CAU,CIS018C26Z13,Z13/線條灰印花,"SAM'S 26""大購物袋",2173SUP18001,SL006750,2025/1/3,2025/3/27,2940,11,2951,2025.01.22,2025/3/21,2951,0
,VS2501005,CAU,CIW028C10P1,P1/紫色,"10""側開午餐袋（無插扣）",10005642,BLK-SL006238,2025/1/6,2025/3/31,2532,0,2532,2025.01.22,2025/3/31,2532,0
,VS2501005,CAU,CIW028C11Z0,Z0/抹茶迷彩印花,"11""側開午餐袋(帶插扣)",10005640,BLK-SL006238,2025/1/6,2025/3/31,9042,0,9042,2025.01.22,2025/3/24,9042,0
,VS2501005,CAU,CIW028C11Z1,Z1/夜空獨角獸印花,"11""側開午餐袋(帶插扣)",10005641,BLK-SL006238,2025/1/6,2025/3/31,2532,0,2532,2025.01.22,2025/3/28,2532,0
,VS2501006,CAU,CIW015C8-1Z3,Z3/PR1818 四維立體印花,8-1寸方形午餐袋,10004622,SL006809~SL006811,2025/1/6,2025/4/21,30720,5,30725,2025.01.25,2025/5/2,30725,0
,VS2501007,SAM,SAM100B17.3G0,灰色/槍色,"17.3""背包(NU ROAD)",140499-1412,NA01260596,2025/1/8,2025/6/9,920,0,920,2025.01.25,2025/5/5,920,0
,VS2501007,SAM,SAM100B15.6G0,灰色/槍色,"15.6""背包(NU ROAD)",140500-1412,NA01260596,2025/1/8,2025/6/9,860,0,860,2025.01.25,2025/4/23,860,0
,VS2501007,SAM,SAM102B14P1,午夜紫/白叻色,14.1''背包(NU ROAD),140554-1705,NA01260596,2025/1/8,2025/6/9,1200,0,1200,2025.01.25,2025/5/5,1200,0
,VS2501008,SAM,SAM100B17.3G0,灰色/槍色,"17.3""背包(NU ROAD)",140499-1412,NA01260596-產前樣,2025/1/8,2025/4/18,3,0,3,2025.01.25,样品,3,0
,VS2501008,SAM,SAM100B15.6G0,灰色/槍色,"15.6""背包(NU ROAD)",140500-1412,NA01260596-產前樣,2025/1/8,2025/4/18,3,0,3,2025.01.25,样品,3,0
,VS2501008,SAM,SAM102B14P1,午夜紫/白叻色,14.1''背包(NU ROAD),140554-1705,NA01260596-產前樣,2025/1/8,2025/4/18,3,0,3,2025.01.25,样品,3,0
,VS2501009,SPG,SPG210K131T0,CARHARTT BROWN 棕色,工具袋,B000052121199,27221,2025/1/8,2025/5/11,16,0,16,2025.01.25,2025/3/26,16,0
,VS2501010,SPG,SPG210K131A0,BLACK 黑色,工具袋,B000052100199,27227,2025/1/8,2025/5/11,16,0,16,2025.01.25,2025/3/29,16,0
,VS2501011,SPG,SPG171B10T0,CARHARTT BROWN棕色,12罐冰袋,B000054621199,27293,2025/1/8,2025/4/15,3696,0,3696,2025.01.25,2025/3/31,3696,0
,VS2501011,SPG,SPG171B10A0,BLACK黑色,12罐冰袋,B000054600199,27293,2025/1/8,2025/4/15,4260,0,4260,2025.01.25,2025/4/4,4260,0
