※ 示範資料 - 國際品牌規格主檔（上線前需替換為三達榮真實資料）
品牌,款號族群,品名,尺寸(吋),主布料,襯料,五金件,印刷規範,備註
Victorinox,VIC170,15 寸背包,15,420D 牛津布,200T 滌綸,金屬扣 + YKK 拉鏈,雷射 LOGO 燙印,Swiss Army 標誌位置固定
Victorinox,VIC170-2,17 寸背包,17,420D 牛津布,200T 滌綸,金屬扣 + YKK 拉鏈,雷射 LOGO 燙印,肩帶尾調節同 VIC150
Victorinox,VIC150,13 寸背包,13,420D 牛津布,200T 滌綸,金屬扣 + YKK 拉鏈,雷射 LOGO 燙印,
Samsonite,SAM-LITE,拉桿箱 24 寸,24,PC 殼,210D 滌綸,TSA 鎖 + 8 輪,射出 LOGO,需符合美國民航標準
Samsonite,SAM-LITE,拉桿箱 28 寸,28,PC 殼,210D 滌綸,TSA 鎖 + 8 輪,射出 LOGO,
Hartmann,HM-Lux,拉桿箱 24 寸真皮,24,全粒面牛皮,150D 緞布,Hartmann 經典扣,燙金 LOGO,高端線，工藝要求最嚴
CALIFORNIA INNOVATIONS,CIS022,Sam's 26 寸大購物袋,26,600D PVC 塗層,鋁箔 PE 內襯,雙提把車縫 + YKK 拉鏈,絹印 LOGO,需做保溫測試
CALIFORNIA INNOVATIONS,CIS073,Sam's 9 寸保鮮午餐桶,9,600D 滌綸 PVC 塗層,PE 鋁箔,拉桿 + 提把,絹印,5721SU 系列
CALIFORNIA INNOVATIONS,CIW211,24罐無拉鏈冰袋,-,420D 滌綸,PE + EPE,雙提把,熱轉印,免拉鏈設計
CALIFORNIA INNOVATIONS,CIW029,8 寸方形午餐袋,8,600D 滌綸,PE + EPE,拉鏈式,熱轉印,印花款
CALIFORNIA INNOVATIONS,CIC016,10 寸 EVA 壓膜午餐袋,10,EVA 壓膜布,PE 鋁箔,拉鏈 + 提把,壓膜壓花,防水
CALIFORNIA INNOVATIONS,CIC017,COSTCO 40 罐 EVA 壓膜折疊冰袋,-,EVA 壓膜布,PE + 鋁箔,雙提把 + 折疊扣,壓膜壓花,COSTCO 專屬
Sam's Club,TLP053,14 寸冰袋,14,600D 滌綸,PE + 鋁箔,提把 + 拉鏈,絹印 Sam's LOGO,
Mandarina Duck,MD-CT,通勤包系列,-,MD-Tex 專利布,200T 滌綸,MD 經典鈕扣,壓印 LOGO,義大利設計
