※ 示範資料 - 設計案索引表（上線前需替換為三達榮真實資料）
案號,年份,客戶,款式類別,主要材質,五金件,設計師,結案狀態,備註
DC2024-001,2024,Sam's Club,12 罐冰袋,420D 滌綸 + EPE,YKK 拉鏈 + 雙提把,王小明,量產中,暢銷款
DC2024-005,2024,Sam's Club,26 寸購物袋,600D PVC 塗層,YKK + 雙提把,李小華,量產中,Sam's 招牌款
DC2023-012,2023,Victorinox,15 寸背包,420D 牛津布,金屬扣 + YKK,王小明,已停產,客戶要求改版
DC2023-018,2023,Hartmann,真皮 24 寸,全粒面牛皮,Hartmann 經典扣,張小強,量產中,高端線
DC2022-008,2022,California Innovations,EVA 壓膜午餐袋,EVA 壓膜布,壓膜壓花 + 拉鏈,李小華,量產中,防水款
DC2022-015,2022,Samsonite,PC 殼 24 寸,PC,TSA 鎖 + 8 輪,陳小美,量產中,
DC2021-003,2021,COSTCO,40 罐折疊冰袋,EVA 壓膜布,折疊扣 + 雙提把,李小華,量產中,COSTCO 經典
DC2020-009,2020,Mandarina Duck,MD-CT 通勤包,MD-Tex,MD 經典鈕扣,陳小美,已停產,義大利下架
DC2019-005,2019,Victorinox,13 寸背包,420D 牛津布,金屬扣,王小明,量產中,經典款
DC2018-012,2018,Sam's Club,9 寸保鮮午餐桶,600D 滌綸 PVC,拉桿 + 提把,李小華,量產中,暢銷款
