※ 示範資料 - BOM 參考庫（上線前需替換為三達榮真實資料）
BOM 編號,對應款式類別,尺寸,物料代碼,物料品名,用量,單位
BOM-BG13,背包 13 寸,13,F-420D-BK,420D 牛津布,1.5,碼
BOM-BG13,背包 13 寸,13,LN-200T,200T 襯,1.0,碼
BOM-BG13,背包 13 寸,13,Z-YKK-5,YKK 5 拉鏈,2,支
BOM-BG13,背包 13 寸,13,H-BUCKLE-METAL,金屬扣,4,顆
BOM-BG13,背包 13 寸,13,S-WEBBING-50,織帶 50mm,2.5,碼
BOM-IC24,24 罐無拉鏈冰袋,-,F-420D-NV,420D 牛津布,1.0,碼
BOM-IC24,24 罐無拉鏈冰袋,-,LN-PE-ALU,PE 鋁箔保溫襯,1.0,碼
BOM-IC24,24 罐無拉鏈冰袋,-,FN-EPE-5MM,EPE 保溫棉 5mm,1.0,碼
BOM-IC24,24 罐無拉鏈冰袋,-,S-WEBBING-50,織帶 50mm,1.5,碼
BOM-LB24-PC,拉桿箱 24 寸 PC,24,F-PC,PC 殼,1.5,公斤
BOM-LB24-PC,拉桿箱 24 寸 PC,24,LN-150D,150D 緞布襯,2.5,碼
BOM-LB24-PC,拉桿箱 24 寸 PC,24,H-WHEEL-8,輪子 8 輪,1,套
BOM-LB24-PC,拉桿箱 24 寸 PC,24,H-TSA-LOCK,TSA 鎖,1,顆
BOM-LB24-PC,拉桿箱 24 寸 PC,24,Z-YKK-8,YKK 8 拉鏈,1,支
BOM-EVALB10,EVA 壓膜午餐袋 10 寸,10,F-EVA-BK,EVA 壓膜布,0.8,碼
BOM-EVALB10,EVA 壓膜午餐袋 10 寸,10,LN-PE-ALU,PE 鋁箔保溫襯,0.6,碼
BOM-EVALB10,EVA 壓膜午餐袋 10 寸,10,Z-YKK-5,YKK 5 拉鏈,1,支
BOM-EVALB10,EVA 壓膜午餐袋 10 寸,10,S-WEBBING-25,織帶 25mm,1.0,碼
