※ 示範資料 - 缺陷分類對照表（多 Agent 共用）（上線前需替換為三達榮真實資料）
缺陷類型,嚴重度,判定標準,適用品牌
車縫不平整,Major,影響外觀且超過 5mm,全部
車縫脫線,Major,任何脫線,全部
LOGO 位置偏差,Major (Vic),Vic 容忍 ±2mm，其他 ±5mm,Victorinox 嚴格
LOGO 印刷模糊,Minor,輕微模糊但可辨識,全部
顏色色差,Major,色差超出 ΔE>2.0,高端品牌
顏色色差,Minor,色差 ΔE 1.5-2.0,一般品牌
拉鏈卡頓,Major,任何卡頓,全部
金屬扣鬆動,Major,扣具松動或脫落,全部
保溫不達標（冰袋）,Major,冰袋類，保溫時數 < 4 小時,"Sam's, CALIFORNIA INNOVATIONS"
外箱壓痕,Minor,輕微壓痕不影響內品,全部
嘜頭位置錯誤,Major,位置誤差超過 5cm,"Sam's, COSTCO"
入數錯誤,Major,每箱入數不符,全部
皮件邊緣未上色,Major (Hartmann),Hartmann 對皮件嚴,Hartmann
車針距不符（Vic）,Major (Vic),Vic 規定 8 針/英寸,Victorinox
