※ 示範資料 - 供應商主檔（上線前需替換為三達榮真實資料）
供應商代碼,供應商名稱,供應類別,聯絡人,電話,Email,付款條件,備註
S001,深圳鴻運紡織,布料 (420D/600D/PVC),張總,0755-12345678,hongyun@example.com,T/T 30 days,主要供應商
S002,東莞欣達,EVA 壓膜 / 保溫襯,王經理,0769-22334455,xinda@example.com,T/T 30 days,EVA 壓膜獨家
S003,東莞利達塑膠,PC / 塑膠扣,陳廠長,0769-66778899,lida@example.com,T/T 60 days,硬殼大廠
S004,義大利皮料代理,皮料,Marco,+39 02 12345678,marco@leather.it,T/T 50% deposit,Hartmann 專用
S005,佛山紡織,襯料 / 織帶,李經理,0757-88990011,foshan@example.com,T/T 30 days,
S006,深圳達寶,EPE 保溫棉,Mr. Liu,0755-77665544,dabao@example.com,T/T 30 days,
S007,YKK 中國,拉鏈,Tony Chen,0755-99887766,tony@ykk.cn,T/T 30 days,拉鏈第一品牌
S008,東莞五金行,金屬扣 / 五金,黃老闆,0769-33445566,metal@example.com,T/T 30 days,
S009,東莞達富,輪子 / TSA 鎖,蘇經理,0769-44556677,dafu@example.com,T/T 30 days,拉桿箱五金
S010,東莞紙箱廠,包材,周老闆,0769-55667788,carton@example.com,T/T 60 days,
