※ 示範資料 - 供應商績效紀錄（上線前需替換為三達榮真實資料）
供應商,年份,季度,品質允收率%,交期達成率%,價格波動%,配合度評分,綜合評分
深圳鴻運紡織,2025,Q1,98.5,95.0,0,4.5,A
深圳鴻運紡織,2025,Q2,97.8,94.0,2,4.5,A
深圳鴻運紡織,2025,Q3,98.0,96.5,0,4.5,A
深圳鴻運紡織,2025,Q4,98.5,95.5,0,4.5,A
深圳鴻運紡織,2026,Q1,98.0,95.0,1,4.5,A
東莞欣達,2025,Q1,95.0,90.0,3,4.0,B
東莞欣達,2025,Q2,96.0,92.0,0,4.2,B
東莞欣達,2025,Q3,95.5,91.0,0,4.2,B
東莞欣達,2025,Q4,96.0,93.0,-2,4.3,B
東莞欣達,2026,Q1,96.5,92.5,0,4.3,B
YKK 中國,2025,Q1,99.5,98.0,0,5.0,A+
YKK 中國,2025,Q2,99.5,97.5,0,5.0,A+
YKK 中國,2025,Q3,99.5,98.5,0,5.0,A+
YKK 中國,2025,Q4,99.5,98.0,0,5.0,A+
YKK 中國,2026,Q1,99.5,98.0,1,5.0,A+
佛山紡織,2025,Q1,92.0,88.0,0,3.5,B
佛山紡織,2025,Q2,90.0,85.0,5,3.5,C
佛山紡織,2025,Q3,88.0,82.0,3,3.0,C
佛山紡織,2025,Q4,91.0,87.0,0,3.5,B
佛山紡織,2026,Q1,90.0,86.0,2,3.5,B
