※ 示範資料 - 過往詢價比價紀錄（上線前需替換為三達榮真實資料）
詢價單號,物料代碼,物料品名,供應商,報價,單位,詢價日期,結果
RFQ2603001,F-420D-BK,420D 牛津布黑色,深圳鴻運紡織,17.5,碼,2026-03-01,成交
RFQ2603001,F-420D-BK,420D 牛津布黑色,佛山紡織,18.0,碼,2026-03-01,備案
RFQ2603001,F-420D-BK,420D 牛津布黑色,新供應商 X,16.8,碼,2026-03-01,未成交 (新供應商需先打樣)
RFQ2604002,Z-YKK-5,YKK 5# 拉鏈,YKK 中國,4.5,支,2026-04-02,成交
RFQ2604002,Z-YKK-5,YKK 5# 拉鏈,本地拉鏈廠,2.5,支,2026-04-02,未成交 (品質風險)
RFQ2604005,F-EVA-BK,EVA 壓膜布黑色,東莞欣達,35.0,碼,2026-04-05,成交
RFQ2604005,F-EVA-BK,EVA 壓膜布黑色,深圳鴻運紡織,38.0,碼,2026-04-05,備案
RFQ2604010,L-LEATHER-BK,全粒面牛皮黑色,義大利皮料代理,280,尺,2026-04-10,成交
RFQ2604015,FN-EPE-5MM,EPE 5mm,深圳達寶,12.0,碼,2026-04-15,成交
RFQ2604015,FN-EPE-5MM,EPE 5mm,東莞發泡廠,11.5,碼,2026-04-15,備案
