※ 示範資料 - 物料主檔（多 Agent 共用）（上線前需替換為三達榮真實資料）
物料代碼,物料品名,類別,規格,單位,平均單價(NT),主要供應商
F-420D-BK,420D 牛津布黑色,布料,420D 100% 滌綸,碼,17.5,深圳鴻運紡織
F-420D-NV,420D 牛津布藏藍,布料,420D 100% 滌綸,碼,17.5,深圳鴻運紡織
F-600D-BK,600D 滌綸黑色,布料,600D 100% 滌綸,碼,22.0,深圳鴻運紡織
F-EVA-BK,EVA 壓膜布黑色,布料,EVA + 滌綸,碼,35.0,東莞欣達
F-PVC-CL,PVC 塗層,布料,600D + PVC 塗層,碼,28.0,深圳鴻運紡織
F-PC,PC 殼,硬殼,聚碳酸酯,公斤,95.0,東莞利達塑膠
L-LEATHER-BK,全粒面牛皮黑色,皮料,義大利進口,尺,280.0,義大利皮料代理
L-LEATHER-BR,全粒面牛皮棕色,皮料,義大利進口,尺,280.0,義大利皮料代理
LN-200T,200T 滌綸襯,襯料,200T 滌綸,碼,6.5,佛山紡織
LN-150D,150D 緞布襯,襯料,150D,碼,12.0,佛山紡織
LN-PE-ALU,PE 鋁箔保溫襯,襯料,PE + 鋁箔,碼,18.0,東莞欣達
FN-EPE-3MM,EPE 保溫棉 3mm,保溫,EPE 發泡 3mm,碼,8.0,深圳達寶
FN-EPE-5MM,EPE 保溫棉 5mm,保溫,EPE 發泡 5mm,碼,12.0,深圳達寶
Z-YKK-5,YKK 5# 拉鏈,拉鏈,YKK 5 號,支,4.5,YKK 中國
Z-YKK-8,YKK 8# 拉鏈,拉鏈,YKK 8 號,支,7.5,YKK 中國
H-BUCKLE-METAL,金屬扣,五金,Vic 規格,顆,12.0,東莞五金行
H-WHEEL-8,輪子 8 輪組,五金,靜音 8 輪,套,65.0,東莞達富
H-TSA-LOCK,TSA 鎖,五金,海關鎖,顆,38.0,東莞達富
S-WEBBING-25,織帶 25mm,提把,PP 織帶,碼,3.5,佛山紡織
S-WEBBING-50,織帶 50mm,提把,PP 織帶,碼,6.5,佛山紡織
P-CARTON-K=K,5 層 K=K 瓦楞,包材,依品項,個,12.0,東莞紙箱廠
