訂單編號,客戶,產品別,製造標準,規格,鍍層碼,鍍層量,厚度mm,寬度mm,材質別,退火碼,標準熱軋材質,用途碼,選配碼,背面標識,正面色碼,正面漆膜厚um,保證年限
2503DFD002/002,,PPGL,CNS,CGLCC-32,AZ250,250,0.476,1219,CQ,S1,SAE1008,CIA008,ON006,C829,FB71V4,40MIN,-
2503DFD055/003,,PPGL,CNS,CGLC570-10,AZ50,50,0.2,1174,FH,H2,SAE1008,COR007,ON015,C817,1W0862,NOM,-
2503DFD024/003,,PPGL,CNS,CGLCC-20,AZ150,150,0.35,1000,CQ,S1,SAE1008,COA020,ON008,C811,NWS1ZS,NOM,-
2503EFE065/002,,PPGL,ASTM,A792SSGR80,AZ50,153,0.381,1041,FH,H2,SAE1008,COG003,ON007,S000,SWH364,25,-
2504DCD007/002,,PPGL,ASTM,A792MSSGR550,AZM150,150,0.52,1218,FH,H2,SAE1008,CIA008,ON006,C104,SG6802,25,-
2506EFE024/001,,PPGL,ASTM,A792SSGR80,AZ50,153,0.361,1038,FH,H2,SAE1008,COG003,ON007,S000,SLH404,25,-
2504DFD097/001,,PPGI,CNS,CGCD1-10,Z08,80,0.426,1216,DQ,D3,HRD3,CIR029,-,S000,RYE922,25,-
2506DFD054/001,,PPGL,CNS,CGLC400-20,AZ150,150,0.52,1219,SQ1,S1,SAE1012,CIA008,ON006,C814,SW3362,25,-
2506DFD054/002,,PPGL,CNS,CGLC400-20,AZ150,150,0.52,914,SQ1,S1,SAE1012,CIA008,ON006,C814,SW3362,25,-
2506AIX001/001,,PPGL,ASTM,A792SSGR33,AZ50,153,0.508,1225,CQ,S1,SAE1008,COG007,ON007,S000,SYT9P4,25,-
2507DFD002/003,,PPGI,CNS,CGCC-10,Z08,80,0.326,797,CQ,S3,SAE1008,CIC001,OA001,S000,AYF632,25,R2
2503DFD028/001,,PPGL,CNS,CGLC400-10,AZ70,70,0.476,911,SQ1,S1,SAE1012,CIA007,OL001,C008,LC1664,25,-
2503DFD030/001,,PPGL,CNS,CGLC400-10,AZ70,70,0.426,912,SQ1,S1,SAE1012,CIA007,OL001,C008,LY1664,25,-
2504EFE011/002,,PPGL,ASTM,A792SSGR80,AZ35,107,0.361,1038,FH,H2,SAE1008,COG001,-,S000,4Y51T4,25,-
2503DFD032/002,,PPGL,CNS,CGLC400-10,AZ70,70,0.476,1210,SQ1,S1,SAE1012,CIA006,OL001,C008,EY1262,25,-
2503DFD028/002,,PPGL,CNS,CGLC400-10,AZ70,70,0.476,911,SQ1,S1,SAE1012,CIA006,OL001,C008,EC4364,25,-
2502DFD062/001,,PPGL,CNS,CGLC400-30,AZ150,150,0.52,914,SQ1,S1,SAE1012,CIA008,ON006,C815,FW3864,25,-
2502DFD067/001,,PPGL,CNS,CGLC570-32,AZ150,150,0.426,914,FH,H2,SAE1008,CIA008,ON006,C815,FW3864,25,-
2503DFD031/004,,PPGL,SYSCO,CGLC-10,AZ070,70,0.476,1219,CQ,S1,SAE1008,CIR030,ON025,C008,7W7B84,18,-
2502DCD007/005,,PPGL,CNS,CGLCC-20,AZ150,150,0.35,1000,CQ,S1,SAE1008,COA020,ON008,C811,NYS3XS,NOM,-
2505EFE009/001,,PPGL,ASTM,A792SSGR80,AZ50,153,0.467,1092,FH,H2,SAE1008,COG003,ON007,S000,SWG484,25,-
2503DFD087/001,,PPGL,CNS,CGLC400-20,AZ150,150,0.52,914,SQ1,S1,SAE1012,CIA008,ON006,C814,SW3362,25,-
2502DCD007/004,,PPGL,CNS,CGLCC-20,AZ150,150,0.3,1010,CQ,S1,SAE1008,CHA020,ON008,C811,NYS3XS,NOM,-
2504DFD021/001,,PPGL,CNS,CGLC570-20,AZ150,150,0.52,1219,FH,H2,SAE1008,CIA008,ON006,C814,SW3362,25,-
2506EFE006/002,,PPGL,ASTM,A792SSGR80,AZ50,153,0.381,1029,FH,H2,SAE1008,COG003,ON007,S000,SWH582,25,-
