訂單編號,產品別,規格,鍍層碼,厚度mm,寬度mm,用途碼,業務需求備註
2503DFD002/002,PPGL,CGLCC-32,AZ250,0.476,1219,CIA008,"2025/3/3:確認此項次

案名：205聯勤兵工廠工程案(補料)"
2506EFE024/001,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506DFD054/001,PPGL,CGLC400-20,AZ150,0.52,1219,CIA008,1.限重4~4.9，最後一顆可不依限重。
2506DFD054/002,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,1.限重4~4.9，最後一顆可不依限重。
2506AIX001/001,PPGL,A792SSGR33,AZ50,0.508,1225,COG007,=2507EOE001/001
2503DFD028/001,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,"2025/4/10: 修改數量至30噸

1.目標寬度912~914mm
2.單捲限重2.8-3.2噸，最後一顆可不依限重。
3.請生產足量"
2502DCD013/001,PPSUS,CSUS304-20,-,0.36,914,CIA008,"1.限重4~4.9噸，最後一顆可不依限重。
2.由TWZ0887轉入，請勿投產。"
2503DFD030/001,PPGL,CGLC400-10,AZ70,0.426,912,CIA007,"1.目標寬度914-916.
2.單捲限重不超過4.3噸.
3.請生產足量.
4.非抗靜電, 單顆重量(3T~4.3T)

變更包裝方式，S4 --> D4

變更色碼，LY130 -->  LY166"
2504EFE011/002,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2503DFD032/002,PPGL,CGLC400-10,AZ70,0.476,1210,CIA006,1.限重2.8~3.2噸，最後一顆可不依限重。
2503DFD028/002,PPGL,CGLC400-10,AZ70,0.476,911,CIA006,"2025/4/10: 修改數量至50噸

1.目標寬度912~914mm
2.單捲限重2.8-3.2噸，最後一顆可不依限重。
3.請生產足量"
2502DFD062/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,1.限重4.5~4.9噸，最後一顆可不依限重。
2503DMD003/001,,,,,,,重新下訂一張大色500噸→1000噸
2502DFD067/001,PPGL,CGLC570-32,AZ150,0.426,914,CIA008,"1.項次1數量18噸(不低於18噸 ，控制在19噸內)，挑一顆大於18噸的鋼捲。
2.FW386修補漆1加侖。
3.SW736修補漆1加侖。
4.要做TAF試驗，請現場留板。"
2503DMD003/002,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/003,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/004,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/005,,,,,,,重新下訂一張大色500噸→1000噸
2502DCD013/003,PPSUS,CSUS304-20,-,0.36,914,CIA008,"1.限重4~4.9噸，最後一顆可不依限重。
2.由TWZ0887轉入，請勿投產。"
2503DMD003/006,,,,,,,重新下訂一張大色500噸→1000噸
2503DFD031/004,PPGL,CGLC-10,AZ070,0.476,1219,CIR030,"1.用戶:啟貿
2.請注意版形、邊波、注意正背面不可板翹
3.請生產足量
4.限重3.8-4.5噸，最後一顆可不依限重"
2503DMD003/007,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/008,,,,,,,重新下訂一張大色500噸→1000噸
2502DCD013/002,PPSUS,CSUS304-20,-,0.36,914,CIA008,"1.限重4~4.9噸，最後一顆可不依限重。
2.由TWZ0887轉入，請勿投產。"
2505EFE009/001,PPGL,A792SSGR80,AZ50,0.467,1092,COG003,2025/06/19* 修改測試*
2503DFD087/001,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,1.請投入4顆HR
2504DMD030/005,,,,,,,2025/4/25: 數量修改為180噸
2503DMD003/009,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/010,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/011,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/012,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/013,,,,,,,重新下訂一張大色500噸→1000噸
2502DFD063/002,PPSUS,CSUS304-20,-,0.36,914,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2503DMD003/014,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/015,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/016,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/017,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/018,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/019,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/020,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/021,,,,,,,重新下訂一張大色500噸→1000噸
2503DMD003/022,,,,,,,重新下訂一張大色500噸→1000噸
2506EFE006/002,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2504DFD078/002,PPGL,CGLC400-32,AZ200,0.6,1219,CIA008,"2025/4/29:新增此項次

1.修補漆*1
2.限重4~4.5噸，最後一顆可不依限重。"
2504EFE011/005,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE011/006,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2502DFD063/003,PPSUS,CSUS304-20,-,0.36,914,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2502DFD064/001,PPGI,CGCD1-10,Z08,0.426,1190,CIR029,"114/03/20 Revised 
數量修正: 40MT-->20MT"
2504DFD001/001,PPGL,CGLC400-10,AZ70,0.426,912,CIA007,"1.目標寬度914-916.
2.單捲限重不超過4.3噸.
3.請生產足量.
4.非抗靜電, 單顆重量(3t~4.3t), 交期請安排4/10號以前

變更色碼，LC220 --> LC266"
2504EFE010/001,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
