CONK,cust_num,cust_num_name,Trader,Trader_name,buyer_cust,buyer_cust_name,A6SNO,STAND,SPEC,GAOF,OGAG,OWID,ZINC,CTTY,A5ANNE,A1SPLY,A1MTRL,A1STHR,A1GAG,A1WID,A3GAG,A7SNO,COLOT,PGAOT,COLOB,PGABT,USAGE,DEC2,OPCD,DEC6,BORE,SLEEV,BMAK,PCOD,GRNTE,WLOW,WUP
2503DFD002/002,TWS0093,久鋒國際企業股份有限公司,TWS0093,久鋒國際企業股份有限公司,TWS0093,久鋒國際企業股份有限公司,PL00001,CNS,CGLCC-32,-3,0.476,1219.0,AZ250,BC,S1,CSC,1008C,SAE1008,2.21,1229.0,0.467,FB71V4Y1,FB71V4,40MIN,3W72Z4,20MIN,CIA008,戶外壁板,ON006,無選配,508,R,C829,D2,-,3.0,5.0
2503DFD055/003,TWS0178,弘曄金屬工業有限公司,TWS0178,弘曄金屬工業有限公司,TWS0178,弘曄金屬工業有限公司,PL05193,CNS,CGLC570-10,0,0.2,1174.0,AZ50,BC,H2,CH,SAE1008,SAE1008,1.97,1205.0,0.2,1W0862L4,1W0862,NOM,BW7362,NOM,COR007,壁板背板,ON015,無選配,508,P,C817,D2,-,3.0,5.0
2503DFD024/003,TWZ0887,國內業務處,TWZ0887,國內業務處,TWZ0887,國內業務處,PL05187,CNS,CGLCC-20,-1.6,0.35,1000.0,AZ150,BC,S1,CSC,SAE1008,SAE1008,2.0,1010.0,0.347,NWS1ZSY1,NWS1ZS,NOM,BW74X2,15,COA020,印刷戶外壁板,ON008,無選配,508,S,C811,D2,-,3.0,5.0
2503EFE065/002,CA00002,WESTFORMMETALINC.,CA00030,AMALGAMATEDTRADINGLTD.,CA00002,WESTFORMMETALINC.,PL03858,ASTM,A792SSGR80,0,0.381,1041.0,AZ50,AC,H2,CSC,1008C,SAE1008,2.01,1051.0,0.339,SWH364Y2,SWH364,25,BW73Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,3.0,4.5
2504DCD007/002,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,PL06153,ASTM,A792MSSGR550,-1.4,0.52,1218.0,AZM150,AC,H2,CSC,1008C,SAE1008,2.01,1229.0,0.471,SG6802Y5,SG6802,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,N,C104,D2,-,3.0,5.0
2506EFE024/001,US00217,CASCADIAMETALS,US00283,PACIFICSTEELSALESCORPORATION,US00217,CASCADIAMETALS,PL03843,ASTM,A792SSGR80,0,0.361,1038.0,AZ50,MIN,H2,CSC,1008C,SAE1008,2.01,1051.0,0.337,SLH404Y2,SLH404,25,BW57Y4,12.5,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,3.0,4.5
2504DFD097/001,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,PG04565,CNS,CGCD1-10,0,0.426,1216.0,Z08,BC,D3,CSC,HRD3M,HRD3,2.46,1235.0,0.43,RYE922W1,RYE922,25,7Y9A12,NOM,CIR029,垃圾桶,-,無選配,508,E,S000,D7,-,2.5,3.5
2506DFD054/001,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PL05258,CNS,CGLC400-20,-1.4,0.52,1219.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,1230.0,0.476,SW3362Y6,SW3362,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,4.0,4.9
2506DFD054/002,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PL05363,CNS,CGLC400-20,-1.4,0.52,914.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,925.0,0.476,SW3362Y6,SW3362,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,4.0,4.9
2506AIX001/001,CA00002,WESTFORMMETALINC.,CA00030,AMALGAMATEDTRADINGLTD.,CA00002,WESTFORMMETALINC.,PL06376,ASTM,A792SSGR33,0,0.508,1225.0,AZ50,AC,S1,MARU,1008LAK,SAE1008,2.01,1235.0,0.471,SYT9P4Y7,SYT9P4,25,SBH784,25,COG007,超保固屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,D9,-,6.0,8.4
