日期,星期,入園人數,天氣,特殊事件
2026-04-01,三,85,晴,
2026-04-02,四,72,晴,
2026-04-03,五,168,陰,清明連假首日
2026-04-04,六,420,晴,清明連假
2026-04-05,日,380,晴,清明連假
2026-04-06,一,210,晴,清明連假結束
2026-04-07,二,90,晴,
2026-04-08,三,75,陰,
2026-04-09,四,68,雨,
2026-04-10,五,82,雨,
2026-04-11,六,250,晴,媒體報導後第一個週末
2026-04-12,日,265,晴,
2026-04-13,一,95,晴,
2026-04-14,二,88,陰,
2026-04-15,三,92,晴,
2026-04-16,四,80,晴,
2026-04-17,五,98,陰,
2026-04-18,六,295,晴,
2026-04-19,日,310,晴,
2026-04-20,一,82,雨,
2026-04-21,二,75,雨,
2026-04-22,三,68,陰,
2026-04-23,四,85,晴,
2026-04-24,五,105,晴,
2026-04-25,六,355,晴,新竹某國中校外教學
2026-04-26,日,290,晴,
2026-04-27,一,72,陰,
2026-04-28,二,78,陰,
2026-04-29,三,82,晴,
2026-04-30,四,95,晴,
