活動編號,活動類型,題號,平均分,回收份數,活動日期
EV-2025-001,親子活動,Q1,4.6,75,2025-07-15
EV-2025-001,親子活動,Q3,4.7,75,2025-07-15
EV-2025-001,親子活動,Q5,4.5,75,2025-07-15
EV-2025-002,企業ESG,Q1,4.4,42,2025-08-20
EV-2025-002,企業ESG,Q3,4.5,42,2025-08-20
EV-2025-003,公部門案,Q1,4.3,28,2025-09-10
EV-2025-005,企業ESG,Q1,4.8,48,2025-11-12
EV-2025-005,企業ESG,Q3,4.8,48,2025-11-12
EV-2026-001,木育推廣,Q1,4.5,32,2026-03-08
EV-2026-002,親子活動,Q1,4.6,55,2026-04-12
EV-2026-002,親子活動,Q3,4.7,55,2026-04-12
EV-2026-003,大型市集,Q1,4.2,180,2026-04-20
EV-2026-003,大型市集,Q5,3.9,180,2026-04-20
