日期,商品編號,品名,單價,銷售數量,毛利率,剩餘庫存
2026-04-01,P001,滿月圓杉木明信片組,150,5,55,142
2026-04-02,P001,滿月圓杉木明信片組,150,3,55,139
2026-04-04,P002,國產材鑰匙圈,280,12,45,86
2026-04-04,P003,森林觀察口袋指南,250,8,40,55
2026-04-05,P002,國產材鑰匙圈,280,15,45,71
2026-04-05,P004,杉木線香,380,4,50,38
2026-04-11,P002,國產材鑰匙圈,280,10,45,61
2026-04-11,P003,森林觀察口袋指南,250,6,40,49
2026-04-12,P005,藍腹鷴貼紙組,80,18,60,72
2026-04-18,P002,國產材鑰匙圈,280,14,45,47
2026-04-19,P005,藍腹鷴貼紙組,80,22,60,50
2026-04-19,P006,新光教育繪本(外公家的小木貓),350,5,35,28
2026-04-25,P002,國產材鑰匙圈,280,8,45,39
2026-04-26,P006,新光教育繪本(外公家的小木貓),350,4,35,24
2026-04-30,P002,國產材鑰匙圈,280,3,45,36
2026-04-30,P007,蕨類書籤組,120,0,55,30
