廠商代碼,廠商名稱,發票號,發票日,應付金額,付款條件,預計付款日,實際付款日,狀態
V100,友華生技,AC45896226,11411-20,40359,月結 30 天,11412-22,,未付
V101,3M 醫療,AC29226889,11411-10,603830,月結 30 天,11412-11,11412-06,已付
V102,康那香,AC14114726,11411-03,106214,月結 30 天,11412-05,,未付
V103,康那香,AC51827259,11411-14,766648,月結 30 天,11412-15,11412-12,已付
V104,永猷企業,AC30881581,11411-19,175056,月結 30 天,11412-20,11412-02,已付
V105,友華生技,AC66910299,11411-03,519253,月結 30 天,11412-09,,逾期
V106,康那香,AC25276327,11411-09,371939,月結 30 天,11412-07,,逾期
V107,生達化學,AC75314742,11411-10,562530,月結 30 天,11412-22,,逾期
V108,友華生技,AC17352710,11411-08,18060,月結 30 天,11412-13,,未付
V109,3M 醫療,AC48848936,11411-07,354061,月結 30 天,11412-25,11412-09,已付
V110,生達化學,AC33581357,11411-01,145461,月結 30 天,11412-16,,逾期
V111,宏德化工,AC57535513,11411-17,85576,月結 30 天,11412-18,,逾期
V112,友華生技,AC20450542,11411-14,338267,月結 30 天,11412-01,,逾期
V113,康那香,AC53589647,11411-14,190222,月結 30 天,11412-10,11412-01,已付
V114,資安顧問,AC24208709,11411-12,265135,月結 30 天,11412-03,,逾期
