年度,部門,科目,預算數,累計實支,剩餘預算
114,醫務行政,人事,3859216,2793927,1065289
114,醫務行政,物料,3819931,4089329,-269398
114,醫務行政,設備,3348043,1411441,1936602
114,醫務行政,差旅,1910399,527994,1382405
114,醫務行政,教育訓練,1456524,1064143,392381
114,醫務行政,資訊維護,2126582,2351835,-225253
114,藥劑科,人事,3430772,1890697,1540075
114,藥劑科,物料,1738912,758633,980279
114,藥劑科,設備,1728463,788124,940339
114,藥劑科,差旅,1955415,1569023,386392
114,藥劑科,教育訓練,1132109,426970,705139
114,藥劑科,資訊維護,4644954,3084031,1560923
114,護理部,人事,4265690,3758642,507048
114,護理部,物料,3211267,3417580,-206313
114,護理部,設備,3151965,1106205,2045760
114,護理部,差旅,1072826,717635,355191
114,護理部,教育訓練,3040241,3029082,11159
114,護理部,資訊維護,971205,536049,435156
114,教研中心,人事,1122356,572859,549497
114,教研中心,物料,4290928,1019555,3271373
114,教研中心,設備,3593195,3707087,-113892
114,教研中心,差旅,1143666,966016,177650
114,教研中心,教育訓練,1257461,1024841,232620
114,教研中心,資訊維護,4753593,2778391,1975202
114,資訊室,人事,844123,548455,295668
114,資訊室,物料,2079067,1084289,994778
114,資訊室,設備,4489865,3149044,1340821
114,資訊室,差旅,1019034,662905,356129
114,資訊室,教育訓練,3380964,3997603,-616639
114,資訊室,資訊維護,1207404,850675,356729
114,總務,人事,1947529,465736,1481793
114,總務,物料,4172182,4969010,-796828
114,總務,設備,4896205,3538722,1357483
114,總務,差旅,1831659,1032868,798791
114,總務,教育訓練,2873083,1687696,1185387
114,總務,資訊維護,3338429,2934137,404292
114,財會,人事,939273,929154,10119
114,財會,物料,3307242,879434,2427808
114,財會,設備,1292773,979874,312899
114,財會,差旅,3742735,1812033,1930702
114,財會,教育訓練,1761422,939475,821947
114,財會,資訊維護,1686387,1883266,-196879
114,公關,人事,3102412,3622675,-520263
114,公關,物料,3787981,1246062,2541919
114,公關,設備,1210674,616937,593737
114,公關,差旅,3659815,3087029,572786
114,公關,教育訓練,3255461,3298383,-42922
114,公關,資訊維護,4915707,1442528,3473179
