採購單號,廠商名稱,下單日,採購金額
PO-114-A0000,康那香,11411-12,286594
PO-114-A0001,資安顧問,11411-08,120666
PO-114-A0002,健喬信元,11411-10,60456
PO-114-A0003,友華生技,11411-11,367041
PO-114-A0004,健喬信元,11411-13,333129
PO-114-A0005,健喬信元,11411-15,398107
PO-114-A0006,3M 醫療,11411-24,414469
PO-114-A0007,資安顧問,11411-27,493942
PO-114-A0008,資安顧問,11411-10,423407
PO-114-A0009,宏德化工,11411-20,440090
PO-114-A0010,永猷企業,11411-04,310739
PO-114-A0011,生達化學,11411-06,420092
PO-114-A0012,宏德化工,11411-15,448187
PO-114-A0013,友華生技,11411-02,237525
PO-114-A0014,永猷企業,11411-01,137722
