發票號,廠商名稱,發票日,發票金額,對應採購單號
AC38748452,康那香,11411-11,286594,PO-114-A0000
AC82446804,健喬信元,11411-27,60456,PO-114-A0002
AC93851247,健喬信元,11411-26,333129,PO-114-A0004
AC41880763,健喬信元,11411-15,398107,PO-114-A0005
AC42100652,3M 醫療,11411-10,414469,PO-114-A0006
AC86560394,資安顧問,11411-15,493942,PO-114-A0007
AC66191704,資安顧問,11411-06,423407,PO-114-A0008
AC96057593,宏德化工,11411-16,440090,PO-114-A0009
AC26733967,永猷企業,11411-10,310739,PO-114-A0010
AC68716573,生達化學,11411-03,419742,PO-114-A0011
AC61830338,友華生技,11411-03,237525,PO-114-A0013
AC97236246,永猷企業,11411-11,137722,PO-114-A0014
AC29602406,健喬信元,11411-25,12510,
AC48504300,資安顧問,11411-25,19095,
