年月,部門,KPI名稱,實績,目標,達成率%
11409,內科,門急住量,5397.1,5000,107.9
11409,內科,佔床率,79.4,85,93.4
11409,內科,營收,50383.7,50000,100.8
11409,內科,毛利率,13.8,12,115.0
11409,內科,人均產值,248.3,350,70.9
11409,內科,平均住院日,4.4,5.5,125.0
11409,外科,門急住量,3873.8,5000,77.5
11409,外科,佔床率,99.5,85,117.1
11409,外科,營收,50222.0,50000,100.4
11409,外科,毛利率,10.9,12,90.8
11409,外科,人均產值,380.8,350,108.8
11409,外科,平均住院日,4.5,5.5,122.2
11409,婦產,門急住量,3804.6,5000,76.1
11409,婦產,佔床率,69.6,85,81.9
11409,婦產,營收,50973.8,50000,101.9
11409,婦產,毛利率,12.1,12,100.8
11409,婦產,人均產值,256.0,350,73.1
11409,婦產,平均住院日,6.2,5.5,88.7
11409,小兒,門急住量,4749.6,5000,95.0
11409,小兒,佔床率,82.3,85,96.8
11409,小兒,營收,50798.9,50000,101.6
11409,小兒,毛利率,11.9,12,99.2
11409,小兒,人均產值,370.7,350,105.9
11409,小兒,平均住院日,4.7,5.5,117.0
11409,急診,門急住量,3503.9,5000,70.1
11409,急診,佔床率,74.5,85,87.6
11409,急診,營收,49266.6,50000,98.5
11409,急診,毛利率,9.5,12,79.2
11409,急診,人均產值,361.9,350,103.4
11409,急診,平均住院日,5.3,5.5,103.8
11409,護理部,門急住量,4401.5,5000,88.0
11409,護理部,佔床率,100.0,85,117.6
11409,護理部,營收,48602.0,50000,97.2
11409,護理部,毛利率,13.1,12,109.2
11409,護理部,人均產值,333.8,350,95.4
11409,護理部,平均住院日,3.9,5.5,141.0
11409,整體,門急住量,5683.3,5000,113.7
11409,整體,佔床率,61.4,85,72.2
11409,整體,營收,44672.0,50000,89.3
11409,整體,毛利率,10.6,12,88.3
11409,整體,人均產值,375.8,350,107.4
11409,整體,平均住院日,4.8,5.5,114.6
11410,內科,門急住量,3668.9,5000,73.4
11410,內科,佔床率,69.7,85,82.0
11410,內科,營收,51427.6,50000,102.9
11410,內科,毛利率,9.0,12,75.0
11410,內科,人均產值,346.8,350,99.1
11410,內科,平均住院日,5.9,5.5,93.2
11410,外科,門急住量,3833.5,5000,76.7
11410,外科,佔床率,74.5,85,87.6
11410,外科,營收,43463.7,50000,86.9
11410,外科,毛利率,12.3,12,102.5
11410,外科,人均產值,390.3,350,111.5
11410,外科,平均住院日,5.7,5.5,96.5
11410,婦產,門急住量,5952.0,5000,119.0
11410,婦產,佔床率,79.8,85,93.9
11410,婦產,營收,39556.9,50000,79.1
11410,婦產,毛利率,9.2,12,76.7
11410,婦產,人均產值,370.3,350,105.8
11410,婦產,平均住院日,6.4,5.5,85.9
11410,小兒,門急住量,3592.5,5000,71.9
11410,小兒,佔床率,68.1,85,80.1
11410,小兒,營收,54777.7,50000,109.6
11410,小兒,毛利率,13.7,12,114.2
11410,小兒,人均產值,300.2,350,85.8
11410,小兒,平均住院日,4.7,5.5,117.0
11410,急診,門急住量,4495.6,5000,89.9
11410,急診,佔床率,94.2,85,110.8
11410,急診,營收,46835.0,50000,93.7
11410,急診,毛利率,8.6,12,71.7
11410,急診,人均產值,358.2,350,102.3
11410,急診,平均住院日,4.6,5.5,119.6
11410,護理部,門急住量,5655.3,5000,113.1
11410,護理部,佔床率,61.5,85,72.4
11410,護理部,營收,51393.3,50000,102.8
11410,護理部,毛利率,10.0,12,83.3
11410,護理部,人均產值,384.9,350,110.0
11410,護理部,平均住院日,5.1,5.5,107.8
11410,整體,門急住量,4500.1,5000,90.0
11410,整體,佔床率,78.2,85,92.0
11410,整體,營收,58912.0,50000,117.8
11410,整體,毛利率,10.4,12,86.7
11410,整體,人均產值,277.7,350,79.3
11410,整體,平均住院日,5.8,5.5,94.8
11411,內科,門急住量,4418.4,5000,88.4
11411,內科,佔床率,93.4,85,109.9
11411,內科,營收,41668.0,50000,83.3
11411,內科,毛利率,8.9,12,74.2
11411,內科,人均產值,319.3,350,91.2
11411,內科,平均住院日,5.0,5.5,110.0
11411,外科,門急住量,5987.7,5000,119.8
11411,外科,佔床率,67.2,85,79.1
11411,外科,營收,42344.2,50000,84.7
11411,外科,毛利率,9.0,12,75.0
11411,外科,人均產值,302.4,350,86.4
11411,外科,平均住院日,4.7,5.5,117.0
11411,婦產,門急住量,4614.8,5000,92.3
11411,婦產,佔床率,90.0,85,105.9
