項次,會議名稱,會議日期,行動內容,負責人,期限,狀態,備註
1,院務會議,11411-15,提出庫存削減清單,陳藥師,11411-22,進行中,含三大削減品項
2,院務會議,11411-15,新人座位安排,李經理,11411-30,已完成,
3,醫教會,11411-08,5月課程計畫,王主任,11411-15,已完成,
4,業務週會,11411-22,講師費流程檢視,王主任,11411-30,進行中,需與人資協同
5,資安會議,11410-18,資安弱點掃描第二期,資訊室,11411-15,逾期,合約已到
6,品安會議,11411-05,跌倒事件改善 PDCA,護理督導,11411-25,進行中,
7,院務會議,11410-25,評鑑文件初稿,醫管,11411-10,已完成,
8,採購會議,11411-12,筆電採購規格書,採購,11411-20,逾期,
9,人事會議,11411-18,離職趨勢分析,李經理,11411-28,未開始,
10,業務週會,11411-22,本月 KPI 檢視,經營管理,11411-30,進行中,
11,醫教會,11411-08,文獻摘要工作坊,王主任,11411-25,進行中,
12,院務會議,11411-15,跨院藥品調撥 SOP,陳藥師,11412-05,未開始,
