年月,菌種,藥品學名,檢驗株數,敏感株數,敏感率%
11406,E. coli,Cefazolin,80,55,68.8
11406,E. coli,Ceftriaxone,26,8,30.8
11406,E. coli,Vancomycin,29,12,41.4
11406,E. coli,Amikacin,35,35,100.0
11406,S. aureus,Cefazolin,69,58,84.1
11406,S. aureus,Ceftriaxone,23,18,78.3
11406,S. aureus,Vancomycin,63,56,88.9
11406,S. aureus,Amikacin,74,55,74.3
11406,K. pneumoniae,Cefazolin,47,14,29.8
11406,K. pneumoniae,Ceftriaxone,29,29,100.0
11406,K. pneumoniae,Vancomycin,49,35,71.4
11406,K. pneumoniae,Amikacin,29,17,58.6
11406,P. aeruginosa,Cefazolin,70,31,44.3
11406,P. aeruginosa,Ceftriaxone,73,21,28.8
11406,P. aeruginosa,Vancomycin,48,46,95.8
11406,P. aeruginosa,Amikacin,37,27,73.0
11407,E. coli,Cefazolin,28,28,100.0
11407,E. coli,Ceftriaxone,53,47,88.7
11407,E. coli,Vancomycin,40,16,40.0
11407,E. coli,Amikacin,62,28,45.2
11407,S. aureus,Cefazolin,15,13,86.7
11407,S. aureus,Ceftriaxone,56,47,83.9
11407,S. aureus,Vancomycin,17,6,35.3
11407,S. aureus,Amikacin,61,37,60.7
11407,K. pneumoniae,Cefazolin,45,16,35.6
11407,K. pneumoniae,Ceftriaxone,45,18,40.0
11407,K. pneumoniae,Vancomycin,25,22,88.0
11407,K. pneumoniae,Amikacin,23,23,100.0
11407,P. aeruginosa,Cefazolin,31,13,41.9
11407,P. aeruginosa,Ceftriaxone,75,57,76.0
11407,P. aeruginosa,Vancomycin,36,18,50.0
11407,P. aeruginosa,Amikacin,69,33,47.8
11408,E. coli,Cefazolin,40,34,85.0
11408,E. coli,Ceftriaxone,54,41,75.9
11408,E. coli,Vancomycin,62,46,74.2
11408,E. coli,Amikacin,72,28,38.9
11408,S. aureus,Cefazolin,46,27,58.7
11408,S. aureus,Ceftriaxone,23,16,69.6
11408,S. aureus,Vancomycin,17,14,82.4
11408,S. aureus,Amikacin,44,27,61.4
11408,K. pneumoniae,Cefazolin,15,5,33.3
11408,K. pneumoniae,Ceftriaxone,22,13,59.1
11408,K. pneumoniae,Vancomycin,23,7,30.4
11408,K. pneumoniae,Amikacin,57,21,36.8
11408,P. aeruginosa,Cefazolin,80,39,48.8
11408,P. aeruginosa,Ceftriaxone,50,46,92.0
11408,P. aeruginosa,Vancomycin,42,29,69.0
11408,P. aeruginosa,Amikacin,31,27,87.1
11409,E. coli,Cefazolin,75,37,49.3
11409,E. coli,Ceftriaxone,75,73,97.3
11409,E. coli,Vancomycin,67,32,47.8
11409,E. coli,Amikacin,27,11,40.7
11409,S. aureus,Cefazolin,70,43,61.4
11409,S. aureus,Ceftriaxone,69,46,66.7
11409,S. aureus,Vancomycin,74,68,91.9
11409,S. aureus,Amikacin,21,9,42.9
11409,K. pneumoniae,Cefazolin,22,18,81.8
11409,K. pneumoniae,Ceftriaxone,58,23,39.7
11409,K. pneumoniae,Vancomycin,46,25,54.3
11409,K. pneumoniae,Amikacin,39,28,71.8
11409,P. aeruginosa,Cefazolin,72,29,40.3
11409,P. aeruginosa,Ceftriaxone,69,31,44.9
11409,P. aeruginosa,Vancomycin,50,44,88.0
11409,P. aeruginosa,Amikacin,46,17,37.0
11410,E. coli,Cefazolin,71,56,78.9
11410,E. coli,Ceftriaxone,27,9,33.3
11410,E. coli,Vancomycin,16,5,31.2
11410,E. coli,Amikacin,45,23,51.1
11410,S. aureus,Cefazolin,67,51,76.1
11410,S. aureus,Ceftriaxone,76,35,46.1
11410,S. aureus,Vancomycin,66,22,33.3
11410,S. aureus,Amikacin,36,22,61.1
11410,K. pneumoniae,Cefazolin,15,10,66.7
11410,K. pneumoniae,Ceftriaxone,48,43,89.6
11410,K. pneumoniae,Vancomycin,51,42,82.4
11410,K. pneumoniae,Amikacin,77,32,41.6
11410,P. aeruginosa,Cefazolin,39,20,51.3
11410,P. aeruginosa,Ceftriaxone,42,42,100.0
11410,P. aeruginosa,Vancomycin,22,7,31.8
11410,P. aeruginosa,Amikacin,55,19,34.5
11411,E. coli,Cefazolin,21,21,100.0
11411,E. coli,Ceftriaxone,79,77,97.5
11411,E. coli,Vancomycin,35,11,31.4
11411,E. coli,Amikacin,80,29,36.2
11411,S. aureus,Cefazolin,38,13,34.2
11411,S. aureus,Ceftriaxone,23,13,56.5
11411,S. aureus,Vancomycin,66,26,39.4
11411,S. aureus,Amikacin,46,15,32.6
11411,K. pneumoniae,Cefazolin,25,20,80.0
11411,K. pneumoniae,Ceftriaxone,55,32,58.2
11411,K. pneumoniae,Vancomycin,41,33,80.5
11411,K. pneumoniae,Amikacin,55,31,56.4
11411,P. aeruginosa,Cefazolin,48,39,81.2
11411,P. aeruginosa,Ceftriaxone,31,30,96.8
11411,P. aeruginosa,Vancomycin,53,44,83.0
11411,P. aeruginosa,Amikacin,55,20,36.4
