月份,庫存類別,項目代碼,項目名稱,採購包裝,售出單位,廠商代碼,廠商名稱,藥局庫存量,進價
11405,口服藥,ETRIMB,Trimbow 120dose/1支/盒(冰)(吸入劑),支,支,A0125,友華生技醫藥(股)公司,10.0,1185.0
11405,口服藥,OACAR,Acarose 50mg 1000'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,4842.0,1.319
11405,口服藥,OACET,Acetazolamax 250mg(Diamox)/1000/瓶,TAB,TAB,A0422,妙仁企業有限公司,570.0,2.8
11405,口服藥,OACETI,Actein effervescent 600mg 28'S/盒 140'S/排,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,6618.0,4.028
11405,口服藥,OACME,Acmet 60mg 1000'S/盒,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,2991.0,1.079
11405,口服藥,OACT,Actos 30mg 30/盒,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,2886.0,4.62
11405,口服藥,OACTE4,Actein Granules 40mg 200'S/盒/2800包/箱,包,包,A0226,健喬信元醫藥生技股份有限公司,6629.0,1.421
11405,口服藥,OALLOP,Allopurinol 100mg 1000'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,1227.0,0.66
11405,口服藥,OALLR,All-Right Calcium 180ml 50bot/箱,BOT,BOT,A0026,生達化學製藥(股)公司,80.0,92.149
11405,口服藥,OALPRA,Alpraline 0.5mg(管4) 1000's/盒,TAB,TAB,A0259,信東生技股份有限公司,30105.0,0.35
11405,口服藥,OALUZ,Aluzaine 1000'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,4435.0,0.97
11405,口服藥,OAM2,Amoxicllin 250mg 1000/瓶,TAB,TAB,A0056,永信藥品工業(股)公司,1150.0,1.0
11405,口服藥,OAMAN,Amanda 100mg/1000/瓶(Enzil),TAB,TAB,A0557,全達藥業有限公司,693.0,1.4
11405,口服藥,OAMOX5,Amoxicillin 500mg 1000'S/瓶,TAB,TAB,A0056,永信藥品工業(股)公司,2676.0,1.5
11405,口服藥,OAMTR,Amtrel 10mg/840/盒,TAB,TAB,A0490,東生華製藥(股)公司,1173.0,6.53
11405,口服藥,OANDR,Androcur 50mg 50/瓶,TAB,TAB,A0002,裕利股份有限公司,277.0,21.12
