採購單號,品項,廠商,下單日,預計到貨日,實際到貨日,狀態
PO-114-0001,OACAR,宏德,11411-20,11411-18,11411-23,已到
PO-114-0002,ETRIMB,健喬信元,11411-03,11411-22,11411-22,取消
PO-114-0003,OCEFA,友華生技,11411-22,11411-24,,未到
PO-114-0004,ETRIMB,健喬信元,11411-04,11411-18,,已到
PO-114-0005,OCEFA,健喬信元,11411-20,11411-21,,已到
PO-114-0006,OCEFA,宏德,11411-09,11411-16,11411-26,已到
PO-114-0007,OACAR,友華生技,11411-11,11411-19,,已到
PO-114-0008,ETRIMB,宏德,11411-18,11411-28,11411-21,未到
PO-114-0009,ETRIMB,友華生技,11411-27,11411-26,11411-22,取消
PO-114-0010,ETRIMB,友華生技,11411-10,11411-26,,未到
PO-114-0011,OPARC,生達化學,11411-22,11411-22,,已到
PO-114-0012,OMETF,生達化學,11411-08,11411-20,,已到
PO-114-0013,OMETF,友華生技,11411-06,11411-25,,取消
PO-114-0014,OAMOX,健喬信元,11411-06,11411-18,11411-20,取消
PO-114-0015,OAMOX,生達化學,11411-27,11411-29,11411-23,已到
PO-114-0016,OACAR,生達化學,11411-13,11411-25,11411-21,已到
PO-114-0017,OPARC,宏德,11411-22,11411-25,,未到
PO-114-0018,OCEFA,生達化學,11411-19,11411-23,11411-29,取消
PO-114-0019,OPARC,健喬信元,11411-14,11411-18,11411-29,已到
PO-114-0020,OCEFA,友華生技,11411-23,11411-28,11411-28,已到
