月份,醫材代碼,品項,單位,月初庫存,入庫,出庫,月底庫存,單價
11410,M693,手術手套 M,個,857,275,74,1058,183.07
11410,M434,口罩 N95,個,184,96,342,0,373.99
11410,M905,點滴管,個,229,152,175,206,270.16
11410,M379,抽血管 5ml,個,424,321,553,192,415.41
11410,M925,酒精棉片,個,313,472,533,252,148.28
11410,M579,3M 透明貼膜,個,941,223,157,1007,481.48
11410,M980,紗布卷,個,194,436,271,359,338.49
11410,M192,靜脈留置針,個,740,253,414,579,395.55
11411,M226,手術手套 M,個,64,185,589,0,227.94
11411,M698,口罩 N95,個,738,433,308,863,191.13
11411,M791,點滴管,個,703,240,150,793,117.68
11411,M724,抽血管 5ml,個,75,367,375,67,111.46
11411,M817,酒精棉片,個,114,375,515,0,151.79
11411,M146,3M 透明貼膜,個,468,109,183,394,473.18
11411,M199,紗布卷,個,361,302,158,505,118.17
11411,M564,靜脈留置針,個,600,119,437,282,186.13
