產品型號,銅(NTD),矽鋼片(NTD),其他材料(NTD),加工費(NTD),銷管攤銷(NTD),標準成本(NTD),建議底價(NTD),標準毛利率
AESV2-IE3-005,"3,200","2,400","1,500","2,000","1,400","10,500","12,000",12.5%
AESV2-IE3-010,"5,800","4,200","2,500","3,200","2,300","18,000","21,000",14.3%
AESV2-IE3-020,"11,500","8,400","4,800","6,500","4,800","36,000","42,000",14.3%
AESV5-IE5-010,"8,500","5,800","3,200","4,000","2,800","24,300","30,000",19.0%
AESV5-IE5-050,"65,000","42,000","22,000","28,000","20,000","177,000","210,000",15.7%
AEXD-IIB-030,"32,000","22,000","28,000","35,000","18,000","135,000","165,000",18.2%
AEXD-IIB-100,"115,000","78,000","92,000","105,000","60,000","450,000","560,000",19.6%
GR-W-025,"8,500",0,"12,500","10,000","5,500","36,500","42,000",13.1%
GR-H-150,"85,000",0,"150,000","120,000","65,000","420,000","490,000",14.3%
INV-G-022,0,0,"8,500","4,500","2,000","15,000","18,500",18.9%
INV-G-150,0,0,"32,000","18,000","8,500","58,500","72,000",18.7%
INV-V-075,0,0,"55,000","32,000","15,000","102,000","128,000",20.3%
SVR-A-3KW,0,0,"85,000","45,000","22,000","152,000","192,000",20.8%
BLW-CF-200,"180,000",0,"1,250,000","850,000","320,000","2,600,000","3,000,000",13.3%
MCC-IP31-65kA,0,0,"420,000","180,000","85,000","685,000","820,000",16.5%
