日期,店號,品類,銷售件數,銷售額NTD,毛利率
2026-03-01,S001,分離式冷氣,8,280000,22%
2026-03-01,S001,變頻窗型,12,168000,18%
2026-03-01,S001,多聯機,2,320000,28%
2026-03-01,S001,家用冰箱,5,95000,20%
2026-03-01,S007,分離式冷氣,3,105000,22%
2026-03-01,S007,變頻窗型,6,84000,18%
2026-03-01,S007,家用冰箱,2,38000,20%
2026-03-15,S001,分離式冷氣,9,315000,22%
2026-03-15,S007,分離式冷氣,2,70000,22%
2026-03-15,S007,變頻窗型,3,42000,18%
2026-03-01,S004,分離式冷氣,4,140000,22%
2026-03-15,S004,分離式冷氣,6,210000,22%
2026-03-15,S004,變頻窗型,8,112000,18%
2026-03-01,S012,分離式冷氣,10,350000,22%
2026-03-01,S012,多聯機,3,480000,28%
2026-03-15,S012,分離式冷氣,11,385000,22%
2026-03-22,S007,分離式冷氣,1,35000,22%
2026-03-22,S007,變頻窗型,2,28000,18%
2026-03-29,S007,分離式冷氣,1,35000,22%
