工程類型,案件規模區間,自有設計人月,外包設計人月,自有施工人月,外包施工人月,單位人月成本NTD,備註
太陽能 EPC,1-3 MW,3,1,8,20,"180,000",屋頂型，外包施工為主
太陽能 EPC,3-10 MW,6,3,15,50,"180,000",地面型，含併網工程
太陽能 EPC,10MW 以上,12,8,25,120,"180,000",大型案場，多包工
ESS,1-3 MWh,4,1,6,12,"200,000",純儲能案
ESS,3-10 MWh,8,3,10,30,"200,000",工商業大型案
微電網,MW 級整合,10,4,12,40,"210,000",含 EMS 整合
重電（配電盤）,MCC 50 面以下,5,0,10,8,"190,000",標準化產品
重電（GIS）,12kV 10 面以下,8,2,12,15,"200,000",高壓開關
重電（GIS）,12kV 10 面以上,15,5,25,40,"200,000",大型變電站
離岸風電組件,MW 級風機機組,20,10,30,60,"230,000",含葉片運輸
車用動力,100 套以下,6,2,5,0,"200,000",依車型客製
