年月,BU,客戶代碼,產品線,訂單金額,已收款,應收帳款,應收天數,毛利率,採購金額,付款狀態
2025-01,BU-A,C-001,變壓器,3200000,3200000,0,0,30.0%,1800000,已結清
2025-01,BU-A,C-002,LED 模組,2400000,2400000,0,0,26.0%,1500000,已結清
2025-01,BU-B,C-005,主機板,2800000,2800000,0,0,25.0%,1700000,已結清
2025-01,BU-C,C-008,感測器,1200000,1200000,0,0,21.0%,800000,已結清
2025-04,BU-A,C-001,變壓器,3500000,3500000,0,0,31.0%,1900000,已結清
2025-04,BU-A,C-003,LED 模組,2800000,2800000,0,0,27.0%,1700000,已結清
2025-04,BU-B,C-005,主機板,3000000,3000000,0,0,26.0%,1800000,已結清
2025-04,BU-C,C-008,感測器,1400000,1400000,0,0,21.0%,900000,已結清
2025-12,BU-A,C-001,變壓器,4200000,4200000,0,0,33.0%,2100000,已結清
2025-12,BU-A,C-003,LED 模組,3600000,3600000,0,0,27.0%,2100000,已結清
2025-12,BU-B,C-005,主機板,3800000,3800000,0,0,27.0%,2300000,已結清
2025-12,BU-B,C-006,通訊模組,2600000,2600000,0,0,28.0%,1500000,已結清
2025-12,BU-C,C-008,感測器,1600000,1600000,0,0,22.0%,1000000,已結清
2026-01,BU-A,C-001,變壓器,4000000,4000000,0,0,35.0%,1800000,已結清
2026-01,BU-A,C-003,LED 模組,4000000,4000000,0,0,28.0%,2200000,已結清
2026-01,BU-B,C-005,主機板,3000000,3000000,0,0,28.0%,1700000,已結清
2026-01,BU-B,C-006,通訊模組,3000000,3000000,0,0,28.0%,1800000,已結清
2026-01,BU-C,C-008,感測器,2000000,2000000,0,0,22.0%,1200000,已結清
2026-02,BU-A,C-001,變壓器,4200000,4200000,0,0,35.0%,1900000,已結清
2026-02,BU-A,C-003,LED 模組,3800000,3800000,0,0,28.0%,2100000,已結清
2026-02,BU-A,C-004,LED 模組,2200000,1100000,1100000,30,28.0%,1300000,部分入帳
2026-02,BU-B,C-005,主機板,3200000,3200000,0,0,28.0%,1800000,已結清
2026-02,BU-B,C-006,通訊模組,2800000,1400000,1400000,45,28.0%,1700000,部分入帳
2026-02,BU-C,C-008,感測器,1800000,1800000,0,0,22.0%,1100000,已結清
2026-02,BU-C,C-009,感測器,2400000,0,2400000,75,22.0%,1400000,逾期未付
2026-03,BU-A,C-001,變壓器,4100000,4100000,0,0,35.0%,1900000,已結清
2026-03,BU-A,C-003,LED 模組,4000000,2000000,2000000,15,28.0%,2300000,部分入帳
2026-03,BU-A,C-004,LED 模組,2400000,0,2400000,40,28.0%,1400000,部分入帳
2026-03,BU-B,C-005,主機板,3000000,3000000,0,0,28.0%,1700000,已結清
2026-03,BU-B,C-006,通訊模組,2900000,1450000,1450000,30,28.0%,1700000,部分入帳
2026-03,BU-B,C-007,通訊模組,1800000,0,1800000,65,28.0%,1100000,逾期未付
2026-03,BU-C,C-008,感測器,2000000,2000000,0,0,22.0%,1200000,已結清
2026-03,BU-C,C-009,感測器,2200000,0,2200000,75,22.0%,1300000,逾期未付
