日期,產線,機台,工單,產品料號,計畫工時,稼動時間,停機時間,停機原因,計畫產量,實際產量,良品數,不良數,良率
2026-04-22,A 線,M-001,WO-2604001,PROD-A-001,8,7.2,0.8,機台保養,1000,920,910,10,98.9%
2026-04-22,A 線,M-002,WO-2604002,PROD-A-002,8,7.6,0.4,換料,1200,1160,1145,15,98.7%
2026-04-22,A 線,M-003,WO-2604003,PROD-A-003,8,6.8,1.2,待料,800,720,705,15,97.9%
2026-04-22,B 線,M-004,WO-2604004,PROD-B-001,8,5.5,2.5,異常待修,2000,1500,1430,70,95.3%
2026-04-22,B 線,M-005,WO-2604005,PROD-B-002,8,7.0,1.0,模具更換,1500,1380,1360,20,98.6%
2026-04-23,A 線,M-001,WO-2604001,PROD-A-001,8,7.0,1.0,機台保養,1000,900,890,10,98.9%
2026-04-23,A 線,M-002,WO-2604006,PROD-A-002,8,7.8,0.2,換料,1200,1190,1180,10,99.2%
2026-04-23,A 線,M-003,WO-2604003,PROD-A-003,8,7.2,0.8,待料,800,760,748,12,98.4%
2026-04-23,B 線,M-004,WO-2604004,PROD-B-001,8,5.0,3.0,異常待修,2000,1380,1300,80,94.2%
2026-04-23,B 線,M-005,WO-2604005,PROD-B-002,8,7.5,0.5,換料,1500,1450,1430,20,98.6%
2026-04-24,A 線,M-001,WO-2604007,PROD-A-002,8,7.5,0.5,換料,1200,1170,1155,15,98.7%
2026-04-24,A 線,M-002,WO-2604008,PROD-A-001,8,7.6,0.4,換料,1000,975,968,7,99.3%
2026-04-24,A 線,M-003,WO-2604009,PROD-A-003,8,7.8,0.2,換料,800,790,780,10,98.7%
2026-04-24,B 線,M-004,WO-2604010,PROD-B-002,8,6.0,2.0,異常待修,1500,1175,1115,60,94.9%
2026-04-24,B 線,M-005,WO-2604005,PROD-B-002,8,7.6,0.4,模具更換,1500,1465,1450,15,99.0%
2026-04-25,A 線,M-001,WO-2604011,PROD-A-002,8,7.2,0.8,機台保養,1200,1085,1075,10,99.1%
2026-04-25,A 線,M-002,WO-2604012,PROD-A-001,8,7.7,0.3,換料,1000,985,975,10,99.0%
2026-04-25,A 線,M-003,WO-2604013,PROD-A-003,8,7.0,1.0,待料,800,710,700,10,98.6%
2026-04-25,B 線,M-004,WO-2604014,PROD-B-001,8,5.2,2.8,異常待修,2000,1450,1390,60,95.9%
2026-04-25,B 線,M-005,WO-2604015,PROD-B-002,8,7.0,1.0,模具更換,1500,1380,1365,15,98.9%
2026-04-26,A 線,M-001,WO-2604016,PROD-A-001,8,7.4,0.6,機台保養,1000,930,922,8,99.1%
2026-04-26,A 線,M-002,WO-2604017,PROD-A-002,8,7.8,0.2,換料,1200,1195,1185,10,99.2%
2026-04-26,A 線,M-003,WO-2604018,PROD-A-003,8,6.0,2.0,待料,800,610,602,8,98.7%
2026-04-26,B 線,M-004,WO-2604019,PROD-B-001,8,4.5,3.5,異常待修,2000,1180,1100,80,93.2%
2026-04-26,B 線,M-005,WO-2604020,PROD-B-002,8,7.4,0.6,模具更換,1500,1410,1395,15,98.9%
2026-04-27,A 線,M-001,WO-2604021,PROD-A-001,8,7.1,0.9,機台保養,1000,895,887,8,99.1%
2026-04-27,A 線,M-002,WO-2604022,PROD-A-002,8,7.6,0.4,換料,1200,1175,1165,10,99.1%
2026-04-27,A 線,M-003,WO-2604023,PROD-A-003,8,6.6,1.4,待料,800,680,670,10,98.5%
2026-04-27,B 線,M-004,WO-2604024,PROD-B-001,8,5.3,2.7,異常待修,2000,1410,1340,70,95.0%
2026-04-27,B 線,M-005,WO-2604025,PROD-B-002,8,7.2,0.8,模具更換,1500,1370,1355,15,98.9%
2026-04-28,A 線,M-001,WO-2604026,PROD-A-001,8,7.3,0.7,機台保養,1000,915,907,8,99.1%
2026-04-28,A 線,M-002,WO-2604027,PROD-A-002,8,7.6,0.4,換料,1200,1180,1170,10,99.2%
2026-04-28,A 線,M-003,WO-2604028,PROD-A-003,8,7.4,0.6,待料,800,750,742,8,98.9%
2026-04-28,B 線,M-004,WO-2604029,PROD-B-001,8,5.0,3.0,異常待修,2000,1350,1280,70,94.8%
2026-04-28,B 線,M-005,WO-2604030,PROD-B-002,8,7.4,0.6,模具更換,1500,1430,1415,15,98.9%
