日期,產線,機台,批號,檢測數,良品數,不良品數,良率,主要缺陷類型,備註
2026-06-10,L01,AOI-01,B2606100011,1200,1186,14,98.8%,偏移,示範資料
2026-06-10,L02,AOI-02,B2606100012,1200,1084,116,90.3%,溢膠,示範資料-低良率
2026-06-10,L03,AOI-03,B2606100013,1100,985,115,89.5%,氣泡,示範資料-低良率
2026-06-10,L04,AOI-04,B2606100014,1300,1289,11,99.2%,刮傷,示範資料
2026-06-11,L01,AOI-01,B2606110021,1250,1238,12,99.0%,偏移,示範資料
2026-06-11,L02,AOI-02,B2606110022,1200,1182,18,98.5%,溢膠,示範資料
2026-06-11,L03,AOI-03,B2606110023,1150,1131,19,98.3%,氣泡,示範資料
2026-06-11,L04,AOI-04,B2606110024,1300,1287,13,99.0%,刮傷,示範資料
2026-06-12,L01,AOI-01,B2606120031,1220,1206,14,98.9%,偏移,示範資料
2026-06-12,L02,AOI-02,B2606120032,1180,1166,14,98.8%,溢膠,示範資料
2026-06-12,L03,AOI-03,B2606120033,1140,1126,14,98.8%,氣泡,示範資料
2026-06-12,L04,AOI-04,B2606120034,1320,1308,12,99.1%,刮傷,示範資料
2026-06-13,L01,AOI-01,B2606130041,1200,1188,12,99.0%,偏移,示範資料
2026-06-13,L02,AOI-02,B2606130042,1200,1185,15,98.8%,溢膠,示範資料
