時間,系統,錯誤碼,等級,訊息,狀態,工單
2026-06-10 02:13,ERP-BC,ERR-5001,CRITICAL,資料庫連線逾時，批次拋轉中斷,已結案,TK-20260610-001
2026-06-10 09:25,MES,ERR-3102,ERROR,報工站別代碼不存在,已結案,TK-20260610-002作廢
2026-06-11 08:40,ERP-BC,ERR-4021,WARNING,報表查詢回應緩慢,已結案,
2026-06-11 14:02,WMS,ERR-3300,ERROR,庫位掃描重複,已結案,
2026-06-11 23:55,MES,ERR-3102,ERROR,報工站別代碼不存在,未結案,TK-20260611-002
2026-06-12 01:47,ERP-BC,ERR-5001,CRITICAL,資料庫連線逾時，批次拋轉中斷,未結案,TK-20260612-003
2026-06-12 10:18,Portal,ERR-2001,WARNING,SSO 票證即將到期,已結案,
2026-06-12 16:33,MES,ERR-3210,ERROR,掃描槍離線,已結案,
2026-06-13 03:05,Backup,ERR-1100,INFO,每日備份完成,已結案,
2026-06-13 11:20,WMS,ERR-3300,ERROR,庫位掃描重複,已結案,
2026-06-13 13:46,ERP-BC,ERR-4021,WARNING,報表查詢回應緩慢,已結案,
2026-06-13 18:09,MES,ERR-3210,ERROR,掃描槍離線,已結案,
