客戶代號,客戶名稱,結帳日期,付款條件名稱,預計收款日,逾期天數,結帳單號,INVOICE_NO,發票號碼,幣別,匯率,未收帳款,本幣未收帳款,收款業務員
TG003,東莞聯柏,2025/11/10,月結90天(T/T),2026/02/28,79,6105-20251110025,TG25111042,UY50699463,USD,30.755,104576.25,3216243,東莞辦公室
TG003,東莞聯柏,2025/11/13,月結90天(T/T),2026/02/28,79,6105-20251113003,TG25111329,UY50699468,USD,30.885,194974,6021772,東莞辦公室
TG003,東莞聯柏,2025/12/01,月結90天(T/T),2026/03/31,48,6105-20251201001,TG25120146,UY50702450,USD,31.39,3438.12,107923,東莞辦公室
TG003,東莞聯柏,2025/12/08,月結90天(T/T),2026/03/31,48,6105-20251208010,TG25120827,UY50702455,USD,31.39,20182.28,633528,東莞辦公室
TG003,東莞聯柏,2025/12/15,月結90天(T/T),2026/03/31,48,6105-20251215025,TG25121552,UY50702461,USD,31.19,3004.43,93709,東莞辦公室
TG003,東莞聯柏,2025/12/18,月結90天(T/T),2026/03/31,48,6105-20251218010,TG25121841,UY50702463,USD,31.19,63773.45,1989094,東莞辦公室
TG003,東莞聯柏,2026/01/05,月結90天(T/T),2026/04/30,18,6105-20260105009,TG26010527,WZ05653404,USD,31.425,16684.58,524313,東莞辦公室
TG003,東莞聯柏,2026/01/09,月結90天(T/T),2026/04/30,18,6105-20260109003,TG26010926,WZ05653409,USD,31.425,15329.41,481727,東莞辦公室
TG003,東莞聯柏,2026/01/12,月結90天(T/T),2026/04/30,18,6105-20260112002,TG26011246,WZ05653412,USD,31.49,12664.99,398821,東莞辦公室
TG003,東莞聯柏,2026/01/13,月結90天(T/T),2026/04/30,18,6105-20260113002,TG26011341,WZ05653413,USD,31.49,3434.54,108154,東莞辦公室
TG003,東莞聯柏,2026/01/16,月結90天(T/T),2026/04/30,18,6105-20260116010,TG26011643,WZ05653416,USD,31.49,5075.49,159827,東莞辦公室
TG003,東莞聯柏,2026/01/19,月結90天(T/T),2026/04/30,18,6105-20260119007,TG26011926,WZ05653421,USD,31.49,1293.66,40737,東莞辦公室
TG003,東莞聯柏,2026/01/26,月結90天(T/T),2026/04/30,18,6105-20260126001,TG26012647,WZ05653425,USD,31.525,6705.8,211400,東莞辦公室
TG003-1,東莞聯柏.,2025/04/21,月結90天(T/T),2025/07/31,291,6105-20250421017,TG25042132-T,LY50702412,USD,32.45,37.69,1223,東莞辦公室
