產品品號,單位,品      名,規      格,生產入庫,託外進貨,材料在製約量,人工製費在製約量,加工費用在製約量,材料成本,單位材料成本,材料成本(％),人工成本,單位人工成本,人工成本(％),製造費用,單位製造費用,製造費用(％),加工費用,單位加工費用,加工費用(％),生產成本,單位生產成本,本階人工成本,本階製造費用,本階加工費用
16102-0000101,PCS,銅網(100目)-切片,0.10mm(線徑) L15cm X W25.4cm,240,,,,,7336,30.5667,99.7,7,0.0292,0.1,15,0.0625,0.2,,,,7358,30.6584,7,15,
16202-0000101,PCS,銅網(200目)-切片,0.05mm(線徑) L15cm X W25.4cm,240,,,,,8240,34.3333,99.65,9,0.0375,0.11,20,0.0833,0.24,,,,8269,34.4541,9,20,
17010-1000101,PCS,Hsink_cpu,147*143*68.5mm/AL6063/化鎳,32,,,,,26320,822.5,100,,,,,,,,,,26320,822.5,,,
17010-2000101,PCS,Hsink_gpu,110*143*67.5mm/AL6063/化鎳,32,,,,,26179,818.0938,100,,,,,,,,,,26179,818.0938,,,
17061-0000301,PCS,Cofan_vc_block_2,49.1*8.1*6.2mm/化鎳,10,,269,,269,74784,268.043,99.84,,,,,,,120,0.4301,0.16,74904,268.4731,,,120
17061-0000401,PCS,Cofan_vc_cu_block_3w,17*14.05*8.3mm/化鎳,10,,269,,269,69243,248.1828,99.83,,,,,,,120,0.4301,0.17,69363,248.6129,,,120
17061-0000501,PCS,Cofan_vc_cu_block_20w,21.2*17.4*8.3mm/化鎳,10,,269,,269,55410,198.6022,99.78,,,,,,,120,0.4301,0.22,55530,199.0323,,,120
31001-0128801,PCS,T62-1 310*310*0.16mm,長寬±0.5厚±0.005 單背C293,1200,,200.008,,,73145,52.2461,70.9,5,0.0042,,10,0.0083,0.01,30000,25,29.08,103160,77.2586,5,10,30000
31001-0153601,ROLL,TG-T1000G 50M*340*0.15mm,長-0/+50cm寬±0.55厚±0.020 綠色/含白色底紙,12,,,,,69930,5827.5,90.74,,,,,,,7140,595,9.26,77070,6422.5,,,7140
31001-0154001,ROLL,TG-T1000B 50M*340*0.25mm,長-0/+50cm寬±0.55厚±0.025 藍色/含白色底紙,6,,,,,48300,8050,93.12,,,,,,,3570,595,6.88,51870,8645,,,3570
31001-0157401,PCS,Li98CN 400*400*0.18mm,長寬±0.25厚±0.020 20PCS/20箱,,,375,,,21875,58.3333,100,,,,,,,,,,21875,58.3333,,,
31001-0192801,PCS,T62-2 310*310*0.2mm,長寬±0.5厚±0.005 單背C293+PET,160,,200.008,,,18698,51.9377,66.62,408,2.55,1.45,879,5.4938,3.13,8080,50.5,28.79,28065,110.4815,408,879,8080
31001-0280201,PCS,L37-3F 315*315*0.25mm 單背S203,長寬±1.5厚±0.03 20PCS/20箱 兩面皆刷普萊馬/黃色玻纖/TG-A373F,,,175,,,8488,48.5029,100,,,,,,,,,,8488,48.5029,,,
31001-0307901,PCS,L37-3F 315*315*0.25mm 不背膠,長寬±1.5厚±0.03 20PCS/20箱 黃色玻纖/TG-A373F,179,,,,,5656,31.5978,98.35,30,0.1676,0.52,65,0.3631,1.13,,,,5751,32.1285,30,65,
31001-0308001,PCS,L37-3F 315*315*0.3mm 不背膠,長寬±1.5厚±0.03 20PCS/20箱 黃色玻纖/TG-A373F,18,,,,,520,28.8889,98.3,3,0.1667,0.57,6,0.3333,1.13,,,,529,29.3889,3,6,
31001-0308101,PCS,L37-3F 315*315*0.45mm 不背膠,長寬±1.5厚±0.05 20PCS/20箱 黃色玻纖/TG-A373F,267,,,,,18064,67.6554,99.73,15,0.0562,0.08,33,0.1236,0.18,,,,18112,67.8352,15,33,
31001-0310101,PCS,L37-3F 630*315*0.45mm 不背膠,長寬±1.5厚±0.05 20PCS/20箱 黃色玻纖/TG-A373F,13,,,,,1669,128.3846,99.58,2,0.1538,0.12,5,0.3846,0.3,,,,1676,128.923,2,5,
31001-0331901,PCS,T62 310*310*0.19mm 雙背C293,長寬±0.55厚±0.020 50PCS/500箱,50,,,,,2568,51.36,50.54,4,0.08,0.08,9,0.18,0.18,2500,50,49.2,5081,101.62,4,9,2500
31001-0368401,ROLL,L37-3F 50M*315*0.25mm 雙面塗普來瑪,長寬±1.5厚±0.03 黃色玻纖/TG-A373F,4,,4,4,4,31574,3946.75,75.79,17,2.125,0.04,38,4.75,0.09,10029,1253.625,24.07,41658,5207.25,10,22,4800
31001-0376401,PCS,L37-3F 315*300*0.3mm 不背膠,長寬±1.5厚±0.03 20PCS/20箱 黃色玻纖/TG-A373F,81,,,,,2385,29.4444,99.13,7,0.0864,0.29,14,0.1728,0.58,,,,2406,29.7036,7,14,
31001-0380401,PCS,L37-3F 315*300*0.25mm 不背膠,長寬±1.5厚±0.03 20PCS/20箱 黃色玻纖/TG-A373F,71,,,,,2212,31.1549,88.55,90,1.2676,3.6,196,2.7606,7.85,,,,2498,35.1831,90,196,
36010-0000401,PCS,Cofan-VC,厚VC(委外表處前入庫),50,,187.801,187.801,,68750,289.1073,99.93,16,0.0673,0.02,35,0.1472,0.05,,,,68801,289.3218,,,
36111-0000401,PCS,Cofan-VC,委外-厚VC(化鎳),10,,,,,2891,289.1,74.26,1,0.1,0.03,1,0.1,0.03,1000,100,25.69,3893,389.3,,,1000
41004-0004301,PCS,Li98 422*5*0.15mm 沖型,長±0.3寬±0.15厚±0.020 1000PCS/10000箱 半斷/左邊留助撕20mm(5)/Z4001-0069001/量產模/1穴/正視面為綠膜/撕起端加一條離型紙,3333,,,,,5185,1.5557,22.38,5533,1.6601,23.88,11922,3.577,51.45,530,0.159,2.29,23170,6.9518,5522,11897,
41004-0004501,PCS,Li98 1120*12*0.25mm,長±0.85寬±0.25厚±0.025 50PCS/2000箱 全斷,58,,,,,,,,363,6.2586,25.38,783,13.5,54.76,284,4.8966,19.86,1430,24.6552,363,783,284
41004-0005301,PCS,Li98CN 307.1*3.9*0.18mm,長±0.5寬±0.2厚±0.03 250PCS/7500箱 半斷/跳間隔1.5mm/加助撕5mm(3.9),1783,,,,,1485,0.8329,23.03,1501,0.8418,23.28,3243,1.8188,50.29,219,0.1228,3.4,6448,3.6163,1488,3207,
41004-0005401,PCS,Li98CN 440.35*5.5*0.18mm,長+0.4/-0.6寬±0.2厚±0.020 250PCS/7500箱 整張半斷切白色面/跳間隔1.5mm(5.5)/助斯10mm(5.5)/不要有回膠/1/2板全斷/用已作更新離型紙材料(輕離型底紙藍綠色)/一邊換輕離型紙/輕離型紙邊助撕,3820,,,,,7059,1.8479,29.24,5079,1.3296,21.04,10977,2.8736,45.47,1026,0.2686,4.25,24141,6.3197,5028,10834,
41004-0007701,PCS,Li98 DIA30*DIA30*0.15mm 沖型,長寬±0.3厚±0.020 1000PCS/8000箱 Z4001-0092301/量產模/1穴/連續沖型捲料出貨/(寬幅一排三個沖型圓)/委外生產,100000,,,,,46611,0.4661,22.96,510,0.0051,0.25,1102,0.011,0.54,154760,1.5476,76.24,202983,2.0298,405,873,150000
41004-0009501,PCS,Li98C 213*5*0.15mm,長±0.45寬±0.25厚±0.020 1000PCS/10000箱 膜斷/加拉拔5mm(5),300,,,,,264,0.88,12.01,600,2,27.3,1295,4.3167,58.92,39,0.13,1.77,2198,7.3267,597,1286,
41004-0009701,PCS,Li98C 267.51*10.2*0.15mm 沖型,長±0.45寬±0.25厚±0.020 2000PCS/10000箱 半斷/ZM-4-MOD-2475/1080924-02/量產模/1套,100,,,,,264,2.64,20.26,317,3.17,24.33,683,6.83,52.42,39,0.39,2.99,1303,13.03,313,675,
41004-0009901,PCS,Li98C 25*10*0.15mm,長寬±0.25厚±0.020 1000PCS/60000箱 膜斷,500,,,,,59,0.118,9.83,169,0.338,28.17,363,0.726,60.5,9,0.018,1.5,600,1.2,168,361,
41004-0012501,PCS,Li98C 310.8*8.7*0.15mm 沖型,長±0.55寬±0.25厚±0.020 3000PCS/15000箱 半斷/ZM-4-MOD-2476/1080924-03/量產模/1套,500,,,,,1174,2.348,22.86,1201,2.402,23.39,2589,5.178,50.42,171,0.342,3.33,5135,10.27,1185,2554,
41004-0013502,PCS,Li2000A 86*22*0.25mm 沖型,長寬±0.25厚±0.025 1000PCS/2000箱 膜斷/加拉拔3mm(22)/跳間隔2mm/捲料/Z4001-0379701/量產模/1穴/料朝內捲,11000,,18000.02,,,217633,7.5046,88.18,528,0.048,0.21,1138,0.1035,0.46,27500,2.5,11.14,246799,10.1561,528,1138,27500
41004-0013602,PCS,Li2000A 66.5*25*0.25mm 沖型,長±0.25寬±0.2厚±0.025 1000PCS/2000箱 膜斷/加拉拔3mm(25)/跳間隔2mm/捲料/Z4001-0379801/量產模/1穴/料朝內捲,16000,,20000.022,,,222534,6.1815,85.82,495,0.0309,0.19,1067,0.0667,0.41,35200,2.2,13.58,259296,8.4791,495,1067,35200
41004-0014001,PCS,Li98 343*5.5*0.15mm 沖型,長±0.3寬±0.2厚±0.020 1000PCS/20000箱 半斷/Z4001-0077801/量產膜/3穴/加左拉拔20mm(5.5)/綠膜朝上孔位偏下,2303,,,,,3437,1.4924,6.77,14883,6.4624,29.33,32068,13.9244,63.2,351,0.1524,0.69,50739,22.0316,14875,32052,
