工單號,料號,途程序,製程站別,標準工時(hr),計畫開始,實際開始,計畫完成,實際完成,在站數量(片),站別負責人,備註
WO-2025-04201,GS-TIM-5010-10,10,配料混練,4,2025-06-10,2025-06-10,2025-06-10,2025-06-10,0,張組長,示範用，正式上線請換成實際資料
WO-2025-04201,GS-TIM-5010-10,20,押出成型,8,2025-06-11,2025-06-11,2025-06-12,2025-06-12,0,李組長,示範用，正式上線請換成實際資料
WO-2025-04201,GS-TIM-5010-10,30,後段熟化,12,2025-06-12,2025-06-12,2025-06-13,2025-06-13,0,王組長,示範用，正式上線請換成實際資料
WO-2025-04201,GS-TIM-5010-10,40,裁切成型,6,2025-06-14,2025-06-14,2025-06-15,2025-06-15,0,陳組長,示範用，正式上線請換成實際資料
WO-2025-04201,GS-TIM-5010-10,50,QC全檢,4,2025-06-16,2025-06-16,2025-06-17,,300,QC林,示範用，正式上線請換成實際資料
WO-2025-04201,GS-TIM-5010-10,60,入庫,1,2025-06-18,,2025-06-18,,0,倉管,示範用，正式上線請換成實際資料
WO-2025-04202,GS-TIM-3010-15,10,配料混練,5,2025-06-08,2025-06-08,2025-06-09,2025-06-09,0,張組長,示範用，正式上線請換成實際資料
WO-2025-04202,GS-TIM-3010-15,20,押出成型,10,2025-06-09,2025-06-10,2025-06-11,2025-06-12,0,李組長,示範用，正式上線請換成實際資料
WO-2025-04202,GS-TIM-3010-15,30,後段熟化,14,2025-06-12,2025-06-13,2025-06-14,,0,王組長,示範用，正式上線請換成實際資料
WO-2025-04202,GS-TIM-3010-15,40,裁切成型,8,2025-06-16,,2025-06-17,,1200,陳組長,示範用，正式上線請換成實際資料
WO-2025-04203,GS-TIM-8010-10,10,配料混練,2,2025-06-13,2025-06-13,2025-06-13,2025-06-13,0,張組長,示範用，正式上線請換成實際資料
WO-2025-04203,GS-TIM-8010-10,20,押出成型,3,2025-06-14,2025-06-14,2025-06-14,2025-06-14,0,李組長,示範用，正式上線請換成實際資料
WO-2025-04203,GS-TIM-8010-10,30,後段熟化,4,2025-06-15,2025-06-15,2025-06-15,2025-06-15,0,王組長,示範用，正式上線請換成實際資料
WO-2025-04203,GS-TIM-8010-10,40,裁切成型,2,2025-06-16,2025-06-16,2025-06-16,2025-06-16,0,陳組長,示範用，正式上線請換成實際資料
WO-2025-04203,GS-TIM-8010-10,50,QC抽檢,1,2025-06-17,2025-06-17,2025-06-17,,20,QC林,示範用，正式上線請換成實際資料
