權責單位,設備名稱,車號,數量(台),使用油類,年度使用總重量(公升),資料來源
總務,公務車,AVS-3353,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,AXF-7675,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,AYG-5682,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,AYG-5972,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,AZE-9398,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BCE-1303,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BCE-1305,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BGV-5962,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BGW-0892,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BGW-1872,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BLL-1512,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BLS-3195,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BLS-7533,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BNE-3072,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BNE-6082,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BNM-2927,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BNM-2930,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BPE-3860,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BPE-7850,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BUT-1701,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BUT-7661,1,95汽油,,請款油單/收據/記帳資料
總務,公務車,BUT-7661,1,92汽油,,請款油單/收據/記帳資料
總務,公務車,AVS-3353,1,98汽油,,請款油單/收據/記帳資料
總務,公務車,BUT-1701,1,98汽油,,請款油單/收據/記帳資料
總務,貨車,RCV-6526,1,柴油,,請款油單/收據/記帳資料
