料號,品名,規格,長(cm),寬(cm),高(cm),淨重(kg/pcs),毛重(kg/pcs),裝箱數量(pcs/箱),箱長(cm),箱寬(cm),箱高(cm),箱毛重(kg),備註
TIM-A10-0.5T,導熱介面材料,A10系列 0.5mm,10.0,10.0,0.05,0.012,0.015,500,35,25,28,8.5,成捲包裝
TIM-B20-1.0T,導熱介面材料,B20系列 1.0mm,10.0,10.0,0.10,0.022,0.026,300,35,25,32,9.2,成捲包裝
HSF-G200-120,散熱模組,G200 120mm,12.5,12.5,5.0,0.185,0.220,24,40,35,30,6.5,含風扇已組裝
THP-C80-3MM,導熱墊片,C80 3.0mm 100x100,10.2,10.2,0.30,0.035,0.040,200,42,32,22,9.0,防靜電袋
FAN-DC12-4010,DC散熱風扇,12V 40x40x10mm,4.2,4.2,1.2,0.038,0.045,100,28,22,18,5.2,
IVC-P100-200,均溫板,P100型 200x150mm,20.5,15.5,0.60,0.125,0.145,10,32,25,15,1.9,泡綿緩衝
IVC-P80-150,均溫板,P80型 150x100mm,15.5,10.5,0.60,0.085,0.100,15,28,20,12,1.8,泡綿緩衝
EMI-S30-A,電磁波吸收材,S30-A型,10.0,10.0,0.20,0.018,0.022,400,38,30,24,10.0,
HPS-L50-AL,散熱片,L50鋁擠型 50x50x15mm,5.2,5.2,1.60,0.042,0.050,200,35,30,22,11.0,
TCP-T90-6MM,導熱相變材料,T90 6.0mm,10.0,10.0,0.60,0.055,0.065,100,38,30,18,7.5,需冷藏運輸
