欄位名稱,欄位英文Key,說明,資料型別,範例值
報價單編號,quote_number,系統自動產生,字串,QUO-2024-0088
客戶名稱,company_name,關聯至Company物件,字串,Panasonic JP
客戶代號,customer_code,自訂欄位,字串,CUS-JP001
報價日期,quote_date,ISO 8601格式,日期,2024-10-15
有效期限,expiry_date,ISO 8601格式,日期,2024-11-15
料號,line_item_sku,Line Item欄位,字串,TIM-A10-0.5T
品名,line_item_name,Line Item欄位,字串,導熱介面材料 A10系列
數量,line_item_quantity,Line Item欄位,數字,200
單位,line_item_unit,自訂欄位,字串,PCS
報價單價(USD),line_item_unit_price,Line Item欄位,數字,1.20
折扣(%),line_item_discount,Line Item欄位,數字,0
小計(USD),line_item_amount,系統計算,數字,240.00
報價狀態,quote_status,Draft/Approved/Rejected/Expired,字串,Approved
業務負責人,owner_name,關聯至User,字串,陳大明
備註,notes,自由文字,字串,含技術驗證樣品
