公司料號,品名(中),品名(英),客戶料號(JP001),客戶料號(US003),客戶料號(DE007),規格,單位,備註
TIM-A10-0.5T,導熱介面材料A10系列0.5mm,Thermal Interface Material A10 0.5mm,PAC-TIM-001A,NV-TI-0050-A,SM-TIM-A10-05,0.5mm 厚,PCS,
TIM-B20-1.0T,導熱介面材料B20系列1.0mm,Thermal Interface Material B20 1.0mm,PAC-TIM-002B,NV-TI-0100-B,SM-TIM-B20-10,1.0mm 厚,PCS,
HSF-G200-120,散熱模組G200 120mm,Heatsink Fan Module G200 120mm,PAC-HSF-G200,NV-HSF-1200,SM-HSF-G2-12,120mm Fan,SET,含風扇
THP-C80-3MM,導熱墊片C80 3.0mm,Thermal Pad C80 3.0mm,PAC-PAD-C80-3,NV-TP-030-C8,SM-PAD-C80-3,100x100x3mm,PCS,
FAN-DC12-4010,DC散熱風扇12V 40mm,DC Cooling Fan 12V 40mm,PAC-FAN-DC40,NV-FAN-4010,SM-FAN-DC-40,40x40x10mm,PCS,
IVC-P100-200,均溫板P100 200x150mm,Vapor Chamber P100 200x150mm,PAC-VC-P100,NV-VC-2015,SM-VC-P1-200,200x150mm,PCS,
IVC-P80-150,均溫板P80 150x100mm,Vapor Chamber P80 150x100mm,PAC-VC-P080,NV-VC-1510,SM-VC-P0-150,150x100mm,PCS,
EMI-S30-A,電磁波吸收材S30-A,EMI Absorber S30-A,PAC-EMI-S30A,NV-EMI-030A,SM-EMI-S3-A,標準型,PCS,
HPS-L50-AL,散熱片L50鋁擠型,Heatsink L50 Aluminum Extrusion,PAC-HS-L50A,NV-HS-5015,SM-HS-L50-A,50x50x15mm,PCS,
TCP-T90-6MM,導熱相變材料T90 6mm,Thermal Phase Change Material T90 6mm,PAC-PCM-T90,NV-PCM-060,SM-PCM-T9-6,6.0mm厚,PCS,需冷藏
