工單批號,品號,作業站別,計畫開始,計畫結束,實際開始,實際結束,計畫人時(hr),實際人時(hr),計畫機時(hr),實際機時(hr),作業員工號,備註
WO-2025-0101,YT-TG-2015-05,調配站,2025-01-10 08:00,2025-01-10 12:00,2025-01-10 08:05,2025-01-10 12:10,8.0,8.25,6.0,6.5,E001,
WO-2025-0101,YT-TG-2015-05,充填站,2025-01-10 13:00,2025-01-10 17:00,2025-01-10 13:00,2025-01-10 17:30,8.0,9.0,6.0,6.5,E002,機台C02暫停15min
WO-2025-0101,YT-TG-2015-05,QC站,2025-01-10 17:30,2025-01-10 18:30,2025-01-10 17:35,2025-01-10 18:45,4.0,4.5,3.0,3.5,E003,
WO-2025-0215,YT-TG-2015-05,調配站,2025-02-20 08:00,2025-02-20 12:00,2025-02-20 08:00,2025-02-20 11:50,8.0,7.75,6.0,6.0,E001,
WO-2025-0215,YT-TG-2015-05,充填站,2025-02-20 13:00,2025-02-20 17:00,2025-02-20 13:05,2025-02-20 16:55,8.0,7.75,6.0,5.8,E004,
WO-2025-0318,YT-TG-2015-05,調配站,2025-03-18 08:00,2025-03-18 12:00,2025-03-18 08:00,2025-03-18 12:10,8.0,8.25,6.0,6.2,E001,
WO-2025-0318,YT-TG-2015-05,充填站,2025-03-18 13:00,2025-03-18 17:00,2025-03-18 13:10,2025-03-18 17:30,8.0,8.5,6.0,6.5,E002,
WO-2025-0105,YT-TG-3010-10,調配站,2025-01-15 08:00,2025-01-15 12:00,2025-01-15 08:00,2025-01-15 12:20,10.0,10.5,8.0,8.5,E005,
WO-2025-0105,YT-TG-3010-10,充填站,2025-01-15 13:00,2025-01-15 18:00,2025-01-15 13:00,2025-01-15 18:30,16.0,17.5,12.0,12.5,E006,
WO-2025-0108,YT-TP-1520-15,壓製站,2025-01-18 08:00,2025-01-18 16:00,2025-01-18 08:10,2025-01-18 16:30,8.0,8.5,10.0,10.5,E007,
WO-2025-0108,YT-TP-1520-15,裁切站,2025-01-18 14:00,2025-01-18 18:00,2025-01-18 14:15,2025-01-18 18:20,4.0,4.5,4.0,4.5,E008,
WO-2025-0112,YT-VC-1010-10,銅板衝壓,2025-01-22 08:00,2025-01-22 12:00,2025-01-22 08:00,2025-01-22 12:30,8.0,8.5,10.0,10.5,E009,
WO-2025-0112,YT-VC-1010-10,燒結站,2025-01-22 13:00,2025-01-22 17:00,2025-01-22 13:00,2025-01-22 17:45,8.0,9.5,10.0,11.0,E010,高溫爐溫度校正
