訂單號,客戶名稱,品號,品名,規格,訂單日期,交期,訂購數量(pcs),成交單價(NTD),訂單金額(NTD),訂單狀態,備註
PO-2025-0088,台達電子,KB-TG-5015-10,高柏導熱膏,導熱係數5.0W/mk 15g,2025-01-05,2025-01-25,500,138,69000,已出貨,季度合約
PO-2025-0089,廣達電腦,KB-TG-5015-10,高柏導熱膏,導熱係數5.0W/mk 15g,2025-01-08,2025-02-05,800,135,108000,已出貨,大客戶折扣
PO-2025-0092,緯創資通,KB-TP-2025-20,高柏導熱片,2.0mm/200x250mm,2025-01-10,2025-02-10,250,320,80000,已出貨,
PO-2025-0095,仁寶電腦,KB-VC-1515-10,高柏均溫板,15x15cm/1.0mm,2025-01-12,2025-02-15,100,1350,135000,已出貨,新客戶首單
PO-2025-0102,英業達,KB-TG-5015-10,高柏導熱膏,導熱係數5.0W/mk 15g,2025-02-01,2025-02-20,600,132,79200,已出貨,大客戶折扣
PO-2025-0108,鴻海精密,KB-TG-1010-05,高柏導熱膏,導熱係數10.0W/mk 5g,2025-02-05,2025-03-05,350,420,147000,已出貨,
PO-2025-0115,和碩聯合,KB-TP-2025-20,高柏導熱片,2.0mm/200x250mm,2025-02-10,2025-03-10,280,315,88200,出貨中,
PO-2025-0118,台達電子,KB-VC-1515-10,高柏均溫板,15x15cm/1.0mm,2025-02-15,2025-03-20,100,1300,130000,出貨中,季度合約
PO-2025-0122,廣達電腦,KB-TG-1010-05,高柏導熱膏,導熱係數10.0W/mk 5g,2025-02-20,2025-03-25,400,415,166000,備料中,
PO-2025-0130,緯創資通,KB-TG-5015-10,高柏導熱膏,導熱係數5.0W/mk 15g,2025-03-01,2025-03-25,700,135,94500,備料中,大客戶折扣
