銷貨日期,品號,品名,規格,產品系列,客戶名稱,客戶地區,數量(pcs),單價(NTD),銷貨金額(NTD),幣別
2023-03-15,YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,導熱膏系列,華碩電腦,台灣,200,145,29000,NTD
2023-06-20,YT-TG-3010-10,英騰導熱膏,導熱係數3.0W/mk 10g,導熱膏系列,技嘉科技,台灣,300,105,31500,NTD
2023-08-10,YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,導熱膏系列,Dell Technologies,美國,500,148,74000,NTD
2023-10-05,YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,導熱片系列,台達電子,台灣,150,320,48000,NTD
2023-11-12,YT-TG-8020-05,英騰高導熱膏,導熱係數8.0W/mk 20g,導熱膏系列,HPE,美國,100,385,38500,NTD
2023-12-20,YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,均溫板系列,聯想集團,中國,80,1200,96000,NTD
2024-01-15,YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,導熱膏系列,廣達電腦,台灣,600,138,82800,NTD
2024-02-20,YT-TG-3010-10,英騰導熱膏,導熱係數3.0W/mk 10g,導熱膏系列,仁寶電腦,台灣,800,100,80000,NTD
2024-03-10,YT-TG-8020-05,英騰高導熱膏,導熱係數8.0W/mk 20g,導熱膏系列,Lenovo,美國,200,382,76400,NTD
2024-04-05,YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,導熱片系列,英業達,台灣,250,315,78750,NTD
2024-05-20,YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,導熱膏系列,和碩聯合,台灣,700,140,98000,NTD
2024-06-15,YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,均溫板系列,鴻海精密,台灣,120,1180,141600,NTD
2024-07-10,YT-TG-3010-10,英騰導熱膏,導熱係數3.0W/mk 10g,導熱膏系列,緯創資通,台灣,900,102,91800,NTD
2024-08-05,YT-TG-8020-05,英騰高導熱膏,導熱係數8.0W/mk 20g,導熱膏系列,Dell Technologies,美國,250,380,95000,NTD
2024-09-20,YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,導熱片系列,台達電子,台灣,300,318,95400,NTD
2024-10-12,YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,導熱膏系列,廣達電腦,台灣,800,136,108800,NTD
2024-11-08,YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,均溫板系列,聯想集團,中國,100,1190,119000,NTD
2024-12-05,YT-TG-3010-10,英騰導熱膏,導熱係數3.0W/mk 10g,導熱膏系列,英業達,台灣,1000,100,100000,NTD
2025-01-10,YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,導熱膏系列,廣達電腦,台灣,600,138,82800,NTD
2025-01-18,YT-TG-8020-05,英騰高導熱膏,導熱係數8.0W/mk 20g,導熱膏系列,HPE,美國,150,385,57750,NTD
2025-02-12,YT-TG-3010-10,英騰導熱膏,導熱係數3.0W/mk 10g,導熱膏系列,仁寶電腦,台灣,900,100,90000,NTD
2025-02-20,YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,導熱片系列,緯創資通,台灣,280,316,88480,NTD
2025-03-05,YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,導熱膏系列,和碩聯合,台灣,750,138,103500,NTD
2025-03-15,YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,均溫板系列,台達電子,台灣,90,1200,108000,NTD
2025-04-02,YT-TG-3010-10,英騰導熱膏,導熱係數3.0W/mk 10g,導熱膏系列,廣達電腦,台灣,1000,100,100000,NTD
2025-04-18,YT-TG-8020-05,英騰高導熱膏,導熱係數8.0W/mk 20g,導熱膏系列,Lenovo,美國,220,382,84040,NTD
2025-05-10,YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,導熱膏系列,英業達,台灣,500,140,70000,NTD
2025-05-22,YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,導熱片系列,鴻海精密,台灣,320,316,101120,NTD
