異動日期,品號,品名,異動類型,異動數量(pcs),異動後庫存(pcs),關聯單號,異動原因,操作人員
2025-01-10,YT-TG-2015-05,英騰導熱膏,入庫,500,1800,WO-2025-0101,生產入庫,倉管A
2025-01-15,YT-TG-2015-05,英騰導熱膏,出庫,-600,1200,SO-2025-0088,銷貨出庫,倉管A
2025-01-20,YT-TG-3010-10,英騰導熱膏,入庫,1000,2800,WO-2025-0105,生產入庫,倉管B
2025-02-05,YT-TG-3010-10,英騰導熱膏,出庫,-900,1900,SO-2025-0102,銷貨出庫,倉管B
2025-02-10,RM-SIL-OIL-01,矽油基礎料,領料,-150,850,WO-2025-0215,生產領料,倉管C
2025-02-15,RM-AL2O3-01,氧化鋁粉,入庫,500,1400,PO-2025-0055,採購入庫,倉管C
2025-03-01,YT-VC-1010-10,英騰均溫板,入庫,100,200,WO-2025-0305,生產入庫,倉管B
2025-03-10,YT-VC-1010-10,英騰均溫板,出庫,-90,110,SO-2025-0118,銷貨出庫,倉管B
2025-03-15,YT-TP-1520-15,英騰導熱片,出庫,-280,420,SO-2025-0115,銷貨出庫,倉管A
2025-04-02,RM-BN-01,氮化硼粉,領料,-80,480,WO-2025-0318,生產領料,倉管C
2025-04-15,YT-TG-8020-05,英騰高導熱膏,出庫,-150,530,SO-2025-0122,銷貨出庫,倉管A
2025-05-10,YT-TG-2015-05,英騰導熱膏,出庫,-500,1500,SO-2025-0130,銷貨出庫,倉管A
2025-05-15,RM-AL2O3-01,氧化鋁粉,領料,-200,1200,WO-2025-0520,生產領料,倉管C
2025-05-20,YT-TG-3010-10,英騰導熱膏,入庫,1000,2500,WO-2025-0220,生產入庫,倉管B
2025-05-25,RM-SIL-OIL-01,矽油基礎料,非生產領料,-50,800,REQ-2025-088,品保取樣,倉管C
