工單號,品號,站別,進站時間,出站時間,模溫_℃,環境溫度_℃,操作員,良品數(pcs),報廢數(pcs),未進站數(pcs),站別狀態,異常備註
WO-2026-0101,A035,鋁擠壓站,2026-01-03 08:00,2026-01-03 16:30,185,25,E021,500,0,0,已出站,
WO-2026-0101,A035,銅底壓合站,2026-01-04 08:00,2026-01-04 15:00,220,24,E022,498,2,0,已出站,2pcs銅底偏移
WO-2026-0101,A035,表面處理站,2026-01-05 08:00,2026-01-05 14:00,40,23,E023,498,0,0,已出站,
WO-2026-0101,A035,QC站,2026-01-05 14:30,2026-01-05 17:30,25,23,E024,497,1,0,已出站,1pcs熱阻偏高
WO-2026-0105,A035,鋁擠壓站,2026-01-06 08:00,2026-01-06 14:00,185,25,E021,300,0,0,已出站,
WO-2026-0105,A035,銅底壓合站,2026-01-07 08:00,2026-01-07 14:00,222,25,E022,300,0,0,已出站,
WO-2026-0110,A035,鋁擠壓站,2026-01-10 08:00,2026-01-10 17:00,188,26,E021,400,0,0,已出站,
WO-2026-0110,A035,銅底壓合站,2026-01-11 08:00,2026-01-11 16:00,218,25,E022,395,5,0,已出站,5pcs壓合不良
WO-2026-0301,A035,鋁擠壓站,2026-03-01 08:00,,"190,26",,E025,0,0,500,在站中,尚未出站
WO-2026-0310,A035,鋁擠壓站,,,,,,0,0,350,挑邊站,等待進站
WO-2026-0320,A035,鋁擠壓站,,,,,,0,0,400,挑邊站,等待進站
WO-2026-0401,YT-TG-2015-05,調配站,,,,,,0,0,600,挑邊站,等待進站
WO-2026-0405,KB-TG-5015-10,調配站,,,,,,0,0,800,挑邊站,緊急工單，待插單
