工作中心編號,機台名稱,機型代碼,可生產料號前綴,最大尺寸_mm,最小尺寸_mm,導熱係數範圍_W/mK,備註
WC-101,切割機A,CUT-A,"TIM-,FIN-",300x300,50x50,—,適用薄片類 <3mm
WC-102,切割機B,CUT-B,"TIM-,PAD-",200x200,20x20,—,適用小尺寸精密切
WC-103,壓合機A,LAM-A,"VAP-,HEP-",400x400,100x100,—,均溫板壓合
WC-104,壓合機B,LAM-B,"VAP-,GRP-",300x300,50x50,—,石墨/碳纖壓合
WC-105,塗布機A,COT-A,"TIM-,TPA-",600x400,100x100,1.0-6.0,導熱膠帶塗布
WC-106,塗布機B,COT-B,"TPA-,TPC-",500x300,80x80,3.0-12.0,高導熱相變材料
WC-107,沖壓機A,STM-A,"FIN-,HSP-",250x250,30x30,—,散熱片沖壓
WC-108,沖壓機B,STM-B,"FIN-,COP-",350x250,50x50,—,銅/鋁片沖壓
WC-109,焊接機,WLD-A,"HEP-,VAP-",200x200,40x40,—,熱管焊接
WC-110,烤箱A,OVN-A,"TIM-,TPA-,TPC-",600x400,50x50,—,固化/烘烤
WC-111,點膠機,DSP-A,"TIM-,TPC-",300x300,10x10,—,精密點膠
WC-112,雷射切割,LSR-A,"FIN-,GRP-,VAP-",500x400,10x10,—,石墨/均溫板精切
WC-113,CMC壓合,CMC-A,CMC-,200x150,30x30,—,金屬基板壓合
WC-114,TEC組裝,TEC-A,TEC-,100x100,10x10,—,致冷晶片組裝
WC-115,EMI壓製,EMI-A,"EMI-,EMA-",400x300,50x50,—,電磁波吸收材壓製
